Gene = Mt2
index = 1289
Annotated 5SS: [122]
Annotated 3SS: [170]
SMsplice 5SS: [122]
SMsplice 3SS: [170]
top_k =  500
Partition function (log Z): -10.891373204187472

Sorted 5' Splice Sites (High to Low Probability):
Position 122: 0.8536950143620681
Position 980: 0.1155126577100023
Position 252: 0.009972895838657736
Position 290: 0.009507600289228677
Position 29: 0.00899596182835066
Position 36: 0.007351468060591735
Position 64: 0.005640347675170034
Position 32: 0.004191971841557282
Position 27: 0.0034098229196862745
Position 260: 0.0023297470709279216
Position 230: 0.0012031395950778563
Position 126: 0.0009194486731201668
Position 3: 0.0006106068062172303
Position 918: 0.00046985442041743005
Position 13: 0.000347941872037179
Position 612: 0.00012062688960029047
Position 716: 0.00011259342396968905
Position 795: 0.00011048878824348786
Position 681: 0.00010172835781877404
Position 734: 9.713461526760929e-05
Position 895: 6.109132070711175e-05
Position 761: 4.177826277603149e-05
Position 73: 3.9704728775384385e-05
Position 288: 3.862006359273101e-05
Position 541: 2.6808998940544878e-05
Position 767: 1.6788963276101035e-05
Position 520: 1.6699348387191597e-05
Position 445: 1.6670508039949642e-05
Position 660: 1.3923084462585989e-05
Position 342: 8.491738899165456e-06
Position 194: 7.901743688996081e-06
Position 412: 7.534654404267508e-06
Position 704: 7.35772194823997e-07
Position 805: 6.388068152450656e-07
Position 569: 3.2400391918436516e-07
Position 471: 2.626941506338396e-07
Position 464: 2.389631010321035e-07
Position 299: 1.0456855539287637e-07
Position 218: 9.00670349162488e-08
Position 209: 8.02640274009057e-08
Position 89: 7.550958122033927e-08
Position 130: 6.171912208956279e-08
Position 499: 1.4423631923522286e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 170: 0.8122712390016028
Position 1055: 0.11454314598096073
Position 194: 0.038972913197006964
Position 346: 0.023389381754845694
Position 79: 0.01342157918745281
Position 428: 0.003065155746852872
Position 282: 0.001688651711768844
Position 817: 0.0016535269447755737
Position 361: 0.00153024485393684
Position 270: 0.0014194057305392937
Position 313: 0.0014157529275984945
Position 1108: 0.0013412213604324856
Position 295: 0.0012735397053445419
Position 252: 0.0012426955016457684
Position 89: 0.0012277947065756406
Position 610: 0.0011631362788683893
Position 640: 0.0007746945967827567
Position 798: 0.0007338675365570824
Position 307: 0.0005280024308169483
Position 979: 0.00048603628234414385
Position 668: 0.00047057550909217156
Position 759: 0.00043116290746457995
Position 871: 0.0003212948568912965
Position 299: 0.00031276582735380076
Position 795: 0.0002762232224109177
Position 1075: 0.0002449641942560232
Position 469: 0.00022998759448473338
Position 1095: 0.00011715826559810115
Position 487: 0.000106269303222214
Position 955: 6.658491432558962e-05
Position 617: 5.867050764800899e-05
Position 673: 4.030132394491084e-05
Position 946: 3.784819698765187e-05
Position 925: 3.069652015841006e-05
Position 904: 1.8744871825682724e-05
Position 838: 1.850294291704104e-05
Position 679: 1.8273346329907297e-05
Position 937: 1.732511789680668e-05
Position 126: 1.6528482947031326e-05
Position 499: 1.1657088188559044e-05
Position 383: 1.1099156512264056e-05
Position 895: 8.678687224105193e-07
Position 436: 1.895003887703073e-07
Position 288: 1.0423779747264026e-11
