Gene = Msr-110
index = 1288
Annotated 5SS: [2409 3717 8232 9617]
Annotated 3SS: [3518 7986 8351 9744]
SMsplice 5SS: [ 198  511 3717 8232 9617]
SMsplice 3SS: [ 406 3518 7986 8351 9744]
top_k =  500
Partition function (log Z): 5.924715726463782

Sorted 5' Splice Sites (High to Low Probability):
Position 8232: 0.9968693708551993
Position 511: 0.9783696024245699
Position 3717: 0.92308378903596
Position 198: 0.8727491755905216
Position 9617: 0.7909995223666092
Position 2409: 0.06174337864947585
Position 778: 0.04277587157295584
Position 3708: 0.04183129282971335
Position 1654: 0.04037973335618207
Position 880: 0.03575113326596837
Position 96: 0.030505582996628363
Position 3465: 0.029146928725956627
Position 8072: 0.021691653131833497
Position 4090: 0.017585900647275932
Position 254: 0.014764462661470912
Position 3353: 0.012508102605415855
Position 8806: 0.010057057455927498
Position 1822: 0.009068091296666199
Position 544: 0.008228386954154494
Position 4221: 0.007828930914895994
Position 9891: 0.007306204140981656
Position 49: 0.006959564194342127
Position 267: 0.006575897727718544
Position 840: 0.006261160767582956
Position 247: 0.005627350061937072
Position 100: 0.004802881446148134
Position 4083: 0.00439050056780503
Position 9071: 0.004385590390119727
Position 3916: 0.004252446806603548
Position 6313: 0.004076362005432471
Position 782: 0.003960761949514576
Position 9860: 0.003405619040164609
Position 269: 0.003129041300673361
Position 9917: 0.0029159980528409373
Position 1131: 0.0028539972118225383
Position 9943: 0.002657500335679162
Position 1066: 0.00256299892232373
Position 9400: 0.0025159871721383165
Position 3206: 0.002420657549593904
Position 4357: 0.0023098151640577524
Position 9653: 0.0022319292575284826
Position 202: 0.002065808174427887
Position 868: 0.0020642278703473364
Position 8866: 0.001994256082934605
Position 4122: 0.0017894489085036355
Position 10145: 0.0017611647807589264
Position 2654: 0.0017489851706142723
Position 586: 0.0016690985871109481
Position 8857: 0.001610132841462893
Position 2090: 0.0015519770679988027
Position 5242: 0.001532206020002041
Position 3339: 0.0012853240122146247
Position 6794: 0.0012816367330437946
Position 2893: 0.0012207412659912568
Position 4293: 0.0011702528349446287
Position 2298: 0.001135489811311789
Position 8897: 0.0011308295173088599
