Gene = HP4
index = 1205
Annotated 5SS: [393]
Annotated 3SS: [466]
SMsplice 5SS: [393]
SMsplice 3SS: [466]
top_k =  500
Partition function (log Z): -4.101475027292077

Sorted 5' Splice Sites (High to Low Probability):
Position 393: 0.9654040999012171
Position 61: 0.12726766611839344
Position 397: 0.024638344204680387
Position 404: 0.004438100723136798
Position 47: 0.0038524537577785665
Position 209: 0.003180116226351072
Position 305: 0.0022767999361454887
Position 224: 0.0014010200265580507
Position 585: 0.00046353689374410023
Position 197: 0.00043535686810895877
Position 613: 0.00034352599996018536
Position 11: 0.00018739559258811573
Position 576: 0.00018011249145670133
Position 4: 0.00016287986826212726
Position 23: 9.893628167316006e-05
Position 244: 3.6760603604920245e-05
Position 217: 2.829630778765337e-05
Position 247: 2.038244702431696e-05
Position 202: 1.0824932075622845e-05
Position 486: 4.977006897272302e-06
Position 309: 4.3880196629439375e-06
Position 185: 3.602079819078052e-06
Position 363: 2.3446641539966758e-06
Position 112: 2.227981859366335e-06
Position 277: 2.1082371943896835e-06
Position 591: 2.0568540182623778e-06
Position 329: 1.841769737696563e-06
Position 350: 1.3440759074958623e-06
Position 566: 1.0016633518966992e-06
Position 219: 5.932042272691988e-07
Position 167: 4.022318147177709e-07
Position 137: 2.819143467058813e-07
Position 311: 2.639887440147504e-07
Position 470: 1.0248667698713683e-07
Position 454: 4.35182317704354e-08
Position 267: 6.735730314983758e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 466: 0.9979083513426366
Position 172: 0.09210411160514055
Position 121: 0.03437497462730692
Position 142: 0.004694465564982739
Position 289: 0.0019763397803147903
Position 314: 0.0006334154062420096
Position 363: 0.00059575375120774
Position 470: 0.0005878201729427999
Position 680: 0.0005159615966944846
Position 650: 0.0003966020985440127
Position 504: 0.00034603935972004084
Position 521: 9.922295434398947e-05
Position 663: 9.6425080116866e-05
Position 295: 3.8367778096312744e-05
Position 440: 3.277837586063055e-05
Position 539: 1.816163507247808e-05
Position 196: 1.6046376369785945e-05
Position 339: 6.087314559019851e-06
Position 610: 4.112857250168886e-06
Position 79: 1.616288614378362e-06
Position 208: 1.333223231158186e-06
Position 476: 1.3042615158457486e-06
Position 583: 8.805864287159908e-07
Position 523: 7.938183182001592e-07
Position 297: 7.478804235750195e-07
Position 244: 5.765857049246943e-07
Position 428: 5.148423961134964e-07
Position 566: 4.309596837144515e-07
Position 576: 3.074453905782482e-07
Position 60: 2.0058427340341776e-07
Position 217: 1.1651112005160922e-07
Position 396: 6.330204626284107e-08
Position 597: 6.236088401074943e-08
Position 483: 5.457242773332709e-08
Position 190: 4.473563249475907e-08
Position 334: 3.5264694832763844e-08
Position 81: 3.517686317316157e-08
Position 202: 2.8726636597122387e-08
Position 235: 1.0109919821405203e-08
Position 391: 6.952755949812493e-10
Position 56: 4.015243828023769e-12
Position 183: 2.2031327219944782e-14
