Gene = Ptip
index = 1392
Annotated 5SS: [ 352 3275 3863 5534 6942 7235]
Annotated 3SS: [ 730 3331 3936 5639 7002 7296]
SMsplice 5SS: [ 352 3275 3863 5534 6942 7235]
SMsplice 3SS: [ 730 3331 5001 5639 7002 7296]
top_k =  500
Partition function (log Z): 10.088740384387176

Sorted 5' Splice Sites (High to Low Probability):
Position 6942: 0.9954030175514366
Position 7235: 0.9948647089909528
Position 5534: 0.9777325888008468
Position 3863: 0.9710989766258269
Position 352: 0.9323020468484076
Position 3275: 0.8502010177801612
Position 4858: 0.23787362804502338
Position 7446: 0.15341402716159835
Position 3008: 0.13904308656505232
Position 6336: 0.07456850675895778
Position 3464: 0.059913579929278496
Position 2492: 0.05333856055756714
Position 986: 0.052831570237306655
Position 952: 0.04741164512486637
Position 6329: 0.03528763827199039
Position 866: 0.02910190170027995
Position 4854: 0.025378787448179285
Position 1668: 0.021316561579285694
Position 406: 0.0210132813144373
Position 3446: 0.01741685802343136
Position 1163: 0.015896418344252317
Position 5538: 0.01508313374409124
Position 2505: 0.013719622675092174
Position 5813: 0.01273093291386843
Position 1598: 0.012697154553658418
Position 4841: 0.012191007302474709
Position 2147: 0.009822422524661685
Position 454: 0.00951509697738973
Position 7397: 0.006946375921600528
Position 402: 0.0067760733656976125
Position 1502: 0.0056806792533261406
Position 2474: 0.004830319253257569
Position 6417: 0.004827862257121292
Position 7414: 0.00480157583155574
Position 538: 0.004746115457710402
Position 2126: 0.0045243620318224115
Position 1148: 0.004366995804714684
Position 6203: 0.004287938234253255
Position 1079: 0.003999837176556229
Position 1098: 0.003976121482714142
Position 410: 0.0034996488131607078
Position 1180: 0.003456648867974625
Position 7239: 0.0033325852858559647
Position 7406: 0.0032280213307497936
Position 7998: 0.0031899589838374092
Position 4888: 0.002960225633114873
Position 1035: 0.0029507973454659113
Position 2111: 0.0028242564776363955
Position 479: 0.002691174914891355
Position 3728: 0.0025576792302482716
Position 3680: 0.002518776486901808
Position 6615: 0.002501344535933516
Position 316: 0.0024641460657792553
Position 6946: 0.002366268558319325
