Gene = Plap
index = 1383
Annotated 5SS: [ 138  738 1671 2354]
Annotated 3SS: [ 406  803 1726 2410]
SMsplice 5SS: [ 738 1313 2354]
SMsplice 3SS: [ 834 1726 2410]
top_k =  500
Partition function (log Z): -7.375942044301226

Sorted 5' Splice Sites (High to Low Probability):
Position 738: 0.9640047993891613
Position 2354: 0.6343796438875339
Position 1313: 0.4300907889636701
Position 1671: 0.08861596450297568
Position 2337: 0.07420739102295655
Position 976: 0.05761435725357905
Position 3009: 0.054185851961207995
Position 1546: 0.029216522383744517
Position 138: 0.020731804382134796
Position 1143: 0.020220254721506174
Position 1845: 0.01760058907719359
Position 1491: 0.011684253596833822
Position 1831: 0.010945740760867113
Position 2877: 0.010334297300659843
Position 1583: 0.010000167192168079
Position 102: 0.008173206310719197
Position 3014: 0.007754514949196602
Position 470: 0.007575199370967156
Position 300: 0.005895739419763886
Position 1317: 0.00491479228550648
Position 1916: 0.004013436961923094
Position 753: 0.003368809959125651
Position 304: 0.00326951872500632
Position 655: 0.0031546913997960546
Position 468: 0.0031383081171820378
Position 2899: 0.003097753408231116
Position 698: 0.003030134031189728
Position 1552: 0.002770187173752082
Position 721: 0.0026028612889605987
Position 2358: 0.002425277277059792
Position 1682: 0.0018258746026514425
Position 1231: 0.0016762660977803167
Position 1652: 0.0015787085558839763
Position 6: 0.0014994525114064242
Position 289: 0.001450414764064713
Position 1541: 0.0014274061502560788
Position 1067: 0.00106876090721779
Position 1435: 0.0009705431472584223
Position 2253: 0.000966086345653534
Position 521: 0.0009036655040285573
Position 1045: 0.0008910076484170291
Position 1612: 0.0007627921086836491
Position 21: 0.0005491679292724587
Position 677: 0.0005236019412573203
Position 1157: 0.00047141555631352805
Position 649: 0.00045369737965517663
Position 167: 0.0004475672274285798
Position 1495: 0.00044300537166437344
Position 2775: 0.00039112707855973853
Position 1390: 0.0003797455524945996
Position 2918: 0.00035416957096056853
Position 1657: 0.0003444738003498937
Position 882: 0.0003358446767505632
Position 758: 0.0002803457008423553
Position 1108: 0.00022321328443452147
Position 640: 0.00015913589871483562
Position 39: 0.0001560726357407033
Position 2259: 0.0001380255911613831
Position 57: 0.00012844060580205358
Position 2984: 0.00011440298325452395
Position 1488: 0.00011095376019873857
Position 1486: 0.00010300327870944488
Position 1154: 0.00010296046669419528
Position 81: 0.0001028152173385785
Position 402: 8.92458379152425e-05
Position 1428: 8.525025601881974e-05
Position 1217: 6.809870677517406e-05
Position 1629: 6.407589699120394e-05
Position 1321: 6.365486739099003e-05
Position 1543: 6.158355712578248e-05
Position 940: 5.006525280757475e-05
Position 3084: 2.706813683038285e-05
Position 182: 2.598459992527562e-05
Position 105: 1.1899900048761599e-05
Position 203: 1.1326431108443597e-05
Position 452: 9.840102101172962e-06
Position 1854: 8.460331320321483e-06
Position 41: 7.14802504498162e-06
Position 1785: 6.875175288373071e-06
Position 693: 6.638185759722751e-06
Position 424: 5.9598004778321845e-06
Position 591: 2.7994317152314223e-06
Position 1147: 2.316005312973429e-06
