Gene = Eaf6
index = 1146
Annotated 5SS: [214 495 749]
Annotated 3SS: [280 616 834]
SMsplice 5SS: [214 495 749]
SMsplice 3SS: [280 616 834]
top_k =  500
Partition function (log Z): 6.020711268972102

Sorted 5' Splice Sites (High to Low Probability):
Position 749: 0.9985279998590083
Position 495: 0.9936142405767996
Position 214: 0.9646909396400012
Position 499: 0.0011682510453679886
Position 1033: 0.0010664816562695116
Position 565: 0.0007278864276957995
Position 1070: 0.00045399151394997323
Position 533: 0.0003373518703300797
Position 563: 0.00010470543904987646
Position 463: 9.822673481832144e-05
Position 433: 5.800754614331153e-05
Position 597: 3.597732113752094e-05
Position 967: 1.9018184067299647e-05
Position 83: 6.978454351735196e-06
Position 1031: 6.496434549740105e-06
Position 518: 6.279109613748555e-06
Position 898: 5.354971357921902e-06
Position 520: 5.132249356533075e-06
Position 177: 3.022227306422182e-06
Position 349: 2.9498884899696892e-06
Position 531: 2.813181912970418e-06
Position 346: 1.8400791046475575e-06
Position 988: 1.4793252022354048e-06
Position 801: 1.013718336072757e-06
Position 867: 9.958970790417928e-07
Position 91: 6.000598997586985e-07
Position 454: 5.574132439482557e-07
Position 10: 4.848470431807507e-07
Position 864: 4.5196991370591995e-07
Position 123: 3.336467396659993e-07
Position 40: 2.2310927348771487e-07
Position 18: 2.1633025341380145e-07
Position 879: 1.4018138669333858e-07
Position 881: 1.3841454422520267e-08
Position 583: 1.1246926167070344e-08
Position 601: 9.015038577849417e-09
Position 265: 4.207777083449038e-09
Position 809: 3.166278940727436e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 834: 0.9991994725712074
Position 280: 0.9585105062125688
Position 616: 0.8585317679538822
Position 583: 0.10416021881267855
Position 561: 0.015914823160184915
Position 545: 0.010693934450526679
Position 655: 0.0037216273840510305
Position 307: 0.0030629214888992233
Position 558: 0.0018751714969923886
Position 1125: 0.0011326142738019764
Position 687: 0.0009774823093035587
Position 672: 0.0005971977837212028
Position 397: 0.0005895517594637847
Position 662: 0.0004363499632407408
Position 335: 0.000371025015957352
Position 1102: 0.00036351202019165393
Position 346: 0.0002129589608379739
Position 796: 0.00014557754748774032
Position 898: 0.00013191867777898023
Position 1111: 7.835169874351115e-05
Position 967: 5.999710928465265e-05
Position 862: 5.127424999531228e-05
Position 301: 3.961923284096236e-05
Position 629: 2.67896721363546e-05
Position 867: 2.3272659294081924e-05
Position 412: 1.3404183913865442e-05
Position 801: 8.248047512192925e-06
Position 151: 5.7832386509146145e-06
Position 621: 4.039781281143237e-06
Position 857: 2.9813903442198843e-06
Position 597: 1.3229317752267455e-06
Position 421: 1.1580286816223347e-06
Position 944: 8.441719150410544e-07
Position 468: 8.042336655599377e-07
Position 463: 6.624074258411423e-07
Position 247: 4.625933204773121e-07
Position 95: 3.80447981034688e-07
Position 911: 3.3584313603279406e-07
Position 1070: 3.2714240453617227e-07
Position 726: 3.2672479488446373e-07
Position 433: 2.3951849481561645e-07
Position 439: 1.7981771080489095e-07
Position 975: 1.6316323929353825e-07
Position 376: 1.0814472598143115e-07
Position 739: 1.073090365651379e-07
Position 783: 1.0111254129145329e-07
Position 114: 9.728925914462348e-08
Position 322: 8.873845533550613e-08
Position 1052: 7.954973613057709e-08
Position 442: 4.157902966691545e-08
Position 337: 3.803036430359227e-08
Position 747: 3.450779421060094e-08
Position 123: 3.2881455133586464e-08
Position 980: 2.501858351392313e-08
Position 83: 2.4439286456467574e-08
Position 1001: 2.0583231861561287e-08
Position 946: 1.7249281946976365e-08
Position 137: 1.1917119723610074e-08
Position 448: 1.1905131901383974e-08
Position 368: 1.0010011439318064e-08
Position 1004: 8.362757400333242e-09
Position 120: 6.769040425673514e-09
Position 985: 5.10855924404701e-09
Position 499: 4.477902573685945e-09
Position 177: 1.1427017997200597e-09
Position 52: 1.0186160915925072e-09
Position 71: 1.0113495258811189e-09
Position 728: 7.051432752619317e-10
Position 195: 1.2123460752751413e-10
Position 198: 6.056488934313046e-11
Position 201: 4.6017154177921533e-11
Position 218: 2.5790977822085804e-20
