Gene = mtDNA-helicase
index = 1801
Annotated 5SS: [319 815]
Annotated 3SS: [376 983]
SMsplice 5SS: [319 815]
SMsplice 3SS: [376 983]
top_k =  500
Partition function (log Z): -4.738081273857085

Sorted 5' Splice Sites (High to Low Probability):
Position 319: 0.9699325206508003
Position 815: 0.7941397347546767
Position 734: 0.12165643751543526
Position 303: 0.00950520465573495
Position 880: 0.005365318427654245
Position 2099: 0.003629961783222978
Position 152: 0.003372006473541306
Position 353: 0.0025613407196238835
Position 1322: 0.0025427756663809905
Position 1528: 0.0019200020335653988
Position 1669: 0.001733787584527743
Position 763: 0.001285680676362357
Position 757: 0.000938156538832471
Position 1407: 0.0008297922874582066
Position 652: 0.0008151475023582549
Position 594: 0.0007321779226058546
Position 922: 0.0006117480041663613
Position 936: 0.0005395658558102463
Position 520: 0.00046572313478564155
Position 864: 0.0004305024680198449
Position 664: 0.0004003773976926583
Position 356: 0.00036237719493477794
Position 1691: 0.0003489402011321773
Position 1313: 0.0003234101541890257
Position 819: 0.00020808810235886963
Position 1327: 0.00014845865579037043
Position 1072: 7.015813481638851e-05
Position 258: 6.0663535535486527e-05
Position 853: 5.844568219549847e-05
Position 646: 5.441754785157373e-05
Position 517: 5.0879702301852014e-05
Position 1343: 4.995105818154565e-05
Position 627: 4.211338707090509e-05
Position 454: 3.821170812503281e-05
Position 40: 3.0195851185723255e-05
Position 111: 2.0074961263504506e-05
Position 61: 1.8249412777433146e-05
Position 403: 8.244353161795993e-06
Position 82: 7.304787650613233e-06
Position 212: 6.201836329097955e-06
Position 487: 3.108826144938826e-06
Position 84: 2.2323796815818975e-06
Position 114: 6.604592336369151e-07
Position 156: 5.10511697318624e-07
Position 131: 3.97309158539052e-07
Position 536: 3.9154092811221106e-07
Position 56: 3.079472358027362e-07
Position 1682: 2.8691519264569656e-07
Position 227: 2.6517076623245746e-07
Position 1238: 1.719659261657026e-07
Position 666: 1.000326930676561e-07
Position 787: 5.107322030559031e-08
Position 1532: 1.399704536862326e-08
Position 1126: 1.0769643461246284e-08
Position 229: 9.961150578294117e-11
Position 441: 3.6194332279945316e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.9040962469234122
Position 983: 0.6862350723950743
Position 859: 0.16685314514561828
Position 441: 0.06540937512816743
Position 801: 0.05093329617170016
Position 1397: 0.006743744587071361
Position 422: 0.006417214694716795
Position 1015: 0.005374069519315643
Position 1772: 0.0047807306756914745
Position 878: 0.003935084242611011
Position 2150: 0.0035240230175982296
Position 1028: 0.0030305547850934347
Position 221: 0.002540268375086435
Position 1630: 0.0020299095222777283
Position 1837: 0.0015389864647171595
Position 1798: 0.0012292734885805186
Position 1627: 0.0009461111451740697
Position 864: 0.0009223719142004305
Position 1459: 0.0009161444452909116
Position 1126: 0.000884104234210391
Position 1759: 0.0008721827490455944
Position 922: 0.000592223358189006
Position 2155: 0.0004448968607998039
Position 1058: 0.00042565300927993496
Position 477: 0.0004242908964034425
Position 1580: 0.00040503278637761574
Position 627: 0.00035691471342483224
Position 663: 0.00034571938270903333
Position 450: 0.0003346744300088228
Position 201: 0.00030082426647680557
Position 1343: 0.0002700766772977883
Position 586: 0.00022402919876932434
Position 1095: 0.00019854429636754735
Position 541: 0.0001669903757992462
Position 948: 0.00015978485665406144
Position 1290: 0.0001590647068227786
Position 1364: 0.00014274098913746663
Position 1883: 0.0001378835344248953
Position 1089: 0.00012423739998664688
Position 893: 0.00011391609886842945
Position 1840: 0.00010601996132298953
Position 356: 9.270430418231093e-05
Position 465: 9.1510336113814e-05
Position 250: 7.464266071675483e-05
Position 1528: 5.810717760208877e-05
Position 111: 3.103348624319748e-05
Position 2121: 2.9668285377927023e-05
Position 227: 2.8216165934869885e-05
Position 1975: 2.7286255811864973e-05
Position 936: 2.6667465084940575e-05
Position 651: 2.6535451240562896e-05
Position 932: 2.358888711990175e-05
Position 1354: 2.3131063698747502e-05
Position 2162: 2.0641087307550327e-05
Position 1106: 1.6192763492101047e-05
Position 837: 1.5182499861343894e-05
Position 830: 1.3938812701915076e-05
Position 646: 8.893087799428919e-06
Position 128: 7.998773302450153e-06
Position 594: 6.093235110581666e-06
Position 483: 6.0490885765977675e-06
Position 379: 5.957481326387742e-06
Position 564: 5.239145457589521e-06
Position 707: 4.876175791964532e-06
Position 141: 4.761927492000744e-06
Position 606: 3.846643906164575e-06
Position 173: 3.7284806695186425e-06
Position 275: 3.463303769489261e-06
Position 713: 3.200971409054394e-06
Position 555: 2.9157865556425246e-06
Position 254: 2.8989551943261886e-06
Position 702: 2.5717484192689875e-06
Position 167: 1.2661637217658146e-06
Position 531: 9.674620131272665e-07
Position 763: 8.107963671742023e-07
Position 589: 7.582912090798627e-07
Position 612: 5.103378804146973e-07
Position 754: 4.794147489464202e-07
Position 149: 4.7217298411111966e-07
Position 152: 3.3977397517650414e-07
Position 690: 1.7013500859452817e-07
Position 91: 3.121674107731508e-08
Position 567: 2.8353066301144092e-08
Position 479: 2.6421085220301328e-08
Position 182: 1.8916952405304912e-08
Position 311: 7.603972757948703e-09
Position 131: 1.3267391914307433e-09
Position 323: 1.1380520403875406e-12
