Gene = smt3
index = 1882
Annotated 5SS: [137]
Annotated 3SS: [258]
SMsplice 5SS: [137]
SMsplice 3SS: [258]
top_k =  500
Partition function (log Z): -8.587842099791073

Sorted 5' Splice Sites (High to Low Probability):
Position 137: 0.823936968073685
Position 28: 0.12593935247239404
Position 631: 0.039775800608767536
Position 584: 0.029712329744872548
Position 366: 0.024277200674154346
Position 178: 0.009386479903579848
Position 771: 0.005782351794194184
Position 779: 0.0030604082310039266
Position 603: 0.0026329371565915077
Position 626: 0.002268325519371147
Position 497: 0.0007890893875549157
Position 392: 0.0005313484122112797
Position 500: 0.0004255866518133207
Position 635: 0.00042236955982589107
Position 253: 0.0003041715984668647
Position 183: 0.0002945526854672761
Position 198: 0.00018890395902627222
Position 203: 0.0001284638153668802
Position 164: 6.423440177643315e-05
Position 200: 6.0687727006433004e-05
Position 421: 5.594323861186481e-05
Position 19: 5.2025676942287515e-05
Position 88: 4.7100115859139455e-05
Position 190: 4.206136445522091e-05
Position 800: 1.1751613565691941e-05
Position 477: 9.028090706757027e-06
Position 56: 2.0161364910911352e-06
Position 413: 9.662399737857317e-07
Position 54: 9.60633964254637e-07
Position 219: 8.223315647323079e-07
Position 416: 7.374176198620279e-07
Position 32: 4.7396886881848336e-07
Position 8: 2.523789187729309e-07
Position 62: 1.2637314346694857e-07
Position 243: 1.1753108454776559e-07
Position 346: 8.698231193205113e-08
Position 43: 7.710320177928858e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 258: 0.5056188407358484
Position 317: 0.15083269637770913
Position 826: 0.13606682506563075
Position 314: 0.1009986746870699
Position 496: 0.06257663076477768
Position 190: 0.042634656513272015
Position 523: 0.012728112198108115
Position 699: 0.01094885635516967
Position 358: 0.008864097357714025
Position 361: 0.0073301651553085235
Position 391: 0.007283972114002546
Position 771: 0.005475325119041374
Position 111: 0.004792160350394491
Position 672: 0.0034864981557940124
Position 403: 0.0025265678978699906
Position 427: 0.002108132607948848
Position 685: 0.0014479099210626728
Position 421: 0.0010801431385279074
Position 164: 0.0009928860331853673
Position 287: 0.0006523092217777305
Position 741: 0.0006230551780594404
Position 782: 0.00046537301876694643
Position 136: 0.00019320830618848204
Position 450: 0.00015633945199460103
Position 847: 0.00010021018480512002
Position 726: 8.636190376342187e-05
Position 365: 6.053115880212568e-05
Position 115: 2.9630937680516708e-05
Position 327: 1.91680143609487e-05
Position 635: 1.3317691138047387e-05
Position 376: 1.0431450545351045e-05
Position 71: 1.4308654710602526e-06
Position 433: 4.3849020078694246e-07
Position 81: 2.862537146723219e-07
Position 436: 2.749255294049739e-07
Position 454: 1.7671724250186277e-07
Position 59: 1.4638217607859526e-07
Position 77: 1.4393630679482112e-07
Position 595: 4.4583057740460735e-08
Position 65: 3.101213277142306e-08
Position 68: 2.2431357166649595e-08
Position 128: 2.071767422941207e-08
Position 535: 3.206329438738372e-09
Position 559: 2.9868999809776253e-09
