Gene = Osi21
index = 1349
Annotated 5SS: [816]
Annotated 3SS: [984]
SMsplice 5SS: [816]
SMsplice 3SS: [984]
top_k =  500
Partition function (log Z): -2.0453635183317274

Sorted 5' Splice Sites (High to Low Probability):
Position 816: 0.9919556317946135
Position 273: 0.035026136931875444
Position 262: 0.017160483773501958
Position 271: 0.005382660141337784
Position 793: 0.004800607952322509
Position 218: 0.0036473852583696134
Position 60: 0.0033763892653749933
Position 852: 0.0011367088446335154
Position 615: 0.0009657978927068874
Position 139: 0.000742155144171891
Position 548: 0.00043650681090479944
Position 559: 0.0004247021745816886
Position 715: 0.00035473637596624785
Position 1079: 0.00033380282269821957
Position 803: 0.0003296346768501638
Position 839: 0.0002435033107463888
Position 830: 0.0001707843415358785
Position 1243: 0.0001650665657530134
Position 1269: 0.00012736844755191596
Position 135: 9.786607418157707e-05
Position 1283: 8.501024846871812e-05
Position 538: 8.258459923131585e-05
Position 245: 8.12170565311147e-05
Position 160: 6.821275892204912e-05
Position 847: 5.889444026453344e-05
Position 190: 5.651458351606127e-05
Position 886: 3.5554564872744424e-05
Position 380: 2.7079440988314593e-05
Position 1087: 2.392778736644254e-05
Position 833: 1.8763096542874535e-05
Position 1117: 1.755320886738283e-05
Position 1228: 1.5108563252132291e-05
Position 1065: 1.1487778991527561e-05
Position 148: 1.0297926468144135e-05
Position 1126: 8.852583618442134e-06
Position 27: 8.733663922795729e-06
Position 1147: 8.699382688547856e-06
Position 665: 8.514805192399196e-06
Position 110: 8.381991035597665e-06
Position 85: 8.141572859119413e-06
Position 1052: 7.614972331975637e-06
Position 1307: 6.016071095204843e-06
Position 1280: 5.40162453208301e-06
Position 1124: 5.171633038189462e-06
Position 212: 4.900014109470129e-06
Position 1046: 4.1060868776127336e-06
Position 1257: 3.5323013681454524e-06
Position 703: 3.2695939739076996e-06
Position 21: 3.1291813579357504e-06
Position 619: 2.4094178827147108e-06
Position 117: 1.643317488791927e-06
Position 605: 1.2967887038528506e-06
Position 1184: 1.1908547828289661e-06
Position 563: 1.176919980731391e-06
Position 557: 8.875964156983508e-07
Position 1149: 8.193384326634701e-07
Position 1041: 6.538201289958381e-07
Position 1168: 3.638025441056063e-07
Position 1135: 2.801633002040186e-07
Position 446: 2.7869283117745035e-07
Position 894: 2.3430141208905513e-07
Position 373: 2.3055754221207315e-07
Position 13: 6.667441702492137e-08
Position 341: 1.4080974835350305e-09
Position 622: 8.152934173821775e-11
Position 656: 2.6282285783015397e-11
Position 947: 5.326050718192609e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 984: 0.9496738653984996
Position 341: 0.06016695021583164
Position 941: 0.04986693709430249
Position 321: 0.003132306378973808
Position 672: 0.0011755052410682453
Position 492: 0.0006184474878297123
Position 773: 0.0005262383685584399
Position 1307: 0.0003557497198220608
Position 142: 0.0003390299947293349
Position 1365: 0.00031298527717731213
Position 1135: 0.0002738016743207271
Position 212: 0.0001673302985702584
Position 696: 0.00011962439380166786
Position 886: 0.00011546158953856776
Position 160: 9.584937406536806e-05
Position 1018: 8.679427595697088e-05
Position 325: 8.568504532546853e-05
Position 710: 4.988096328265399e-05
Position 232: 4.030316925460155e-05
Position 541: 3.69688269185102e-05
Position 597: 3.681624306028501e-05
Position 615: 3.538944996900131e-05
Position 1034: 3.1366918978445124e-05
Position 108: 2.799281712844938e-05
Position 369: 2.5605578447513443e-05
Position 1117: 1.7170180614282814e-05
Position 357: 1.5624820279052936e-05
Position 396: 1.4211450178395646e-05
Position 1114: 1.4163144131038625e-05
Position 868: 1.363656430830993e-05
Position 1195: 1.3302899734899307e-05
Position 750: 1.0673476423938589e-05
Position 753: 9.989459391846041e-06
Position 1228: 8.565509381348723e-06
Position 373: 7.779222996698728e-06
Position 1272: 7.4611094422973685e-06
Position 89: 6.852319658156188e-06
Position 501: 4.786552904403722e-06
Position 714: 4.663015025938029e-06
Position 1286: 4.530489935766195e-06
Position 1367: 3.5068386050395782e-06
Position 93: 2.5717596590342608e-06
Position 173: 2.5476691244426086e-06
Position 417: 2.5107804714965177e-06
Position 600: 2.0388264961123973e-06
Position 1071: 1.7570465876931527e-06
Position 170: 1.6818406344567561e-06
Position 289: 1.3832327841042853e-06
Position 405: 1.0276733914361056e-06
Position 1199: 1.0017384554326527e-06
Position 582: 9.507253095536643e-07
Position 588: 9.468627874050824e-07
Position 117: 6.58483547977355e-07
Position 1330: 6.315992373762674e-07
Position 185: 5.36478498472574e-07
Position 1144: 4.6369035054556163e-07
Position 1254: 3.98593607818e-07
Position 846: 3.551795654190749e-07
Position 1251: 3.3934520789519986e-07
Position 176: 3.120590378507829e-07
Position 266: 1.5797135739852726e-07
Position 1280: 5.900831075509317e-08
Position 64: 3.4822653959245777e-10
Position 59: 6.119060903919261e-11
Position 252: 4.091806573866798e-11
Position 269: 1.907798673663406e-11
Position 393: 1.200828335335247e-11
