Gene = l(2)k09022
index = 1750
Annotated 5SS: [1273 1648 5419]
Annotated 3SS: [1384 1707 5482]
SMsplice 5SS: [1273 1648 2350 5419]
SMsplice 3SS: [1384 1707 5141 5482]
top_k =  500
Partition function (log Z): 1.8640660004486613

Sorted 5' Splice Sites (High to Low Probability):
Position 1648: 0.9980345578173756
Position 5419: 0.9815640935605813
Position 1273: 0.9755345882688935
Position 2350: 0.8276320589406404
Position 3055: 0.36260108160822224
Position 984: 0.29623127720578946
Position 473: 0.10550836155639207
Position 2067: 0.08884894195238893
Position 586: 0.029349132343540276
Position 481: 0.024290009786840906
Position 489: 0.017887929327154887
Position 2317: 0.017380711665848887
Position 158: 0.013577126160248917
Position 454: 0.010830481488881941
Position 2540: 0.008810123613041064
Position 5857: 0.008314706642022412
Position 2503: 0.00643540940572098
Position 3377: 0.004139588936621604
Position 1951: 0.003957108519028446
Position 2043: 0.0027339830012474246
Position 3030: 0.0026346200698934507
Position 1235: 0.0021045531758977078
Position 2220: 0.0019781537802971375
Position 5665: 0.0019617375746221258
Position 5611: 0.0013635912279524715
Position 1652: 0.001164548875544182
Position 394: 0.0010985761523599053
Position 929: 0.0010772219920889574
Position 1070: 0.0009026306815050255
Position 2251: 0.0008954862211108186
Position 1821: 0.0008733845831578887
Position 250: 0.000790496836678939
Position 497: 0.0006967941292371213
Position 2191: 0.0006420424522120424
Position 1470: 0.0006378103986796662
Position 6301: 0.0005531552453112293
Position 704: 0.00047805698883071775
Position 6180: 0.0004722027706672998
Position 6621: 0.0004355623186367601
Position 690: 0.00041743086045573313
Position 2728: 0.0003485470014917865
Position 415: 0.0003432026253117038
Position 2852: 0.0002817565380934577
Position 25: 0.0002730462745732117
Position 1286: 0.00026736868113482636
Position 2028: 0.0002470627685717725
Position 1314: 0.00022240889412456633
Position 18: 0.00020453882305250426
Position 154: 0.00017866924190704895
Position 1277: 0.00015431701834169414
Position 6069: 0.00015339559850527983
Position 3009: 0.0001454114856384084
Position 2187: 0.00013721264081249337
Position 6151: 0.00013055752076991892
Position 1637: 0.00012470797099314122
Position 310: 0.0001168006622605347
Position 2031: 0.00010677246582297877
