Gene = Atxn7
index = 39
Annotated 5SS: [ 303 2435]
Annotated 3SS: [1290 2494]
SMsplice 5SS: [ 303 2435]
SMsplice 3SS: [1290 2494]
top_k =  500
Partition function (log Z): -8.048243022548187

Sorted 5' Splice Sites (High to Low Probability):
Position 2435: 0.9494909104278993
Position 303: 0.5769456313762219
Position 35: 0.2579852285913942
Position 239: 0.1947151940666654
Position 30: 0.17997241286729318
Position 591: 0.09134738497858491
Position 2255: 0.09023250603437813
Position 3729: 0.06292676751558444
Position 244: 0.05322027164365562
Position 2097: 0.020563276280390112
Position 252: 0.019441999218991816
Position 766: 0.010476904119684697
Position 2642: 0.00944853074966057
Position 718: 0.00849099484557059
Position 770: 0.008144346292376021
Position 290: 0.006048440624187687
Position 774: 0.0055688344695326835
Position 828: 0.005257670221002089
Position 1631: 0.004324252592628595
Position 1805: 0.003752422128040768
Position 4355: 0.002640807424026014
Position 423: 0.0023036618470940137
Position 546: 0.001180431675725713
Position 4444: 0.0007346317857751636
Position 715: 0.0007062237086236392
Position 1181: 0.0006910583621572227
Position 2915: 0.0005701769232944279
Position 540: 0.00035156751886153236
Position 452: 0.0003234744391246447
Position 691: 0.0003042757789279707
Position 630: 0.00029477484366338295
Position 556: 0.00026810665158562817
Position 366: 0.0002394192098987906
Position 431: 0.00022948915720343455
Position 1079: 0.00018103172379600524
Position 1116: 0.00013194696250643916
Position 1547: 0.0001257287910840961
Position 1093: 0.00011568981802067893
Position 1065: 8.02565708753534e-05
Position 2450: 7.672475956798519e-05
Position 868: 5.39850027806448e-05
Position 822: 4.086516243064928e-05
Position 787: 3.81502382107096e-05
Position 2558: 4.245962681221063e-06
Position 801: 4.066709841382781e-06
Position 1087: 3.5406587436405955e-06
Position 427: 1.0246107502235535e-06
Position 816: 8.278462132778672e-07
Position 2101: 2.837428934353514e-07
Position 879: 1.9102637299226707e-07
Position 729: 1.300880087146839e-07
Position 722: 8.013214088846196e-08
Position 419: 5.140057768057862e-08
Position 309: 4.085656892150105e-08
Position 380: 3.55230600142609e-08
Position 727: 2.6914808371035607e-08
Position 307: 2.141189496171318e-08
Position 402: 9.417762870968299e-09
Position 294: 9.08103107162063e-09
Position 468: 8.860301637169271e-09
Position 417: 8.825264860855959e-09
Position 450: 8.427232348529538e-09
Position 140: 8.364355722777769e-09
Position 292: 6.270442209904707e-09
Position 442: 5.222754008895882e-09
Position 1048: 4.378004337550453e-09
Position 470: 3.874313772784354e-09
Position 634: 2.9445909878182384e-10
Position 509: 2.343567640168274e-10
Position 2043: 5.574460452798619e-11
Position 184: 1.9457107653078914e-11
Position 173: 1.8996133115600624e-12
Position 478: 1.0519493195387822e-13
Position 503: 1.2048613525109384e-14
Position 393: 4.581029586843974e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 2494: 0.9320784325570759
Position 1290: 0.7950828394062401
Position 146: 0.4360408955635146
Position 2298: 0.1269678733127313
Position 2313: 0.11546616632381695
Position 3788: 0.05101305738302403
Position 1156: 0.022240497408714945
Position 2500: 0.021365041942872188
Position 2144: 0.011608375297010488
Position 2704: 0.011481934901146037
Position 4498: 0.006287075244519078
Position 676: 0.0033254742368981596
Position 1616: 0.0029345948635310683
Position 2836: 0.002295844397325367
Position 1935: 0.002271624503456326
Position 1099: 0.0021675856865730333
Position 999: 0.0019980632856507435
Position 1829: 0.00196252961358797
Position 366: 0.0016533128770099984
Position 785: 0.0015193617047194103
Position 1869: 0.0014095191314972574
Position 1046: 0.0013904012802244765
Position 4179: 0.001282433666023332
Position 3901: 0.0012337765388021602
Position 646: 0.0010986813718342327
Position 4230: 0.0010878511027820142
Position 4093: 0.0010093403566528332
Position 1128: 0.0009919238472076055
Position 4176: 0.0009329959395046393
Position 4509: 0.0009058058675027817
Position 4311: 0.0007855751755393237
Position 4251: 0.0007688493309981434
Position 630: 0.0006903327908888926
Position 1510: 0.0006777764119641097
Position 4579: 0.000650750145562666
Position 1226: 0.0006080065795182989
Position 1213: 0.0005556995604002015
Position 2575: 0.0004505044118541561
Position 1300: 0.00040613452000121174
Position 2974: 0.000405686985391156
Position 427: 0.0003996862175618533
Position 1972: 0.0003928251373253396
Position 2525: 0.00034119092860727983
Position 4417: 0.0003384378556824732
Position 478: 0.000230793310757558
Position 1028: 0.00022608497669309406
Position 4481: 0.00021573320251382536
Position 4639: 0.00017420422175771637
Position 2968: 0.0001512075241145143
Position 156: 9.305071808978402e-05
Position 2508: 7.640155696918508e-05
Position 727: 5.7342336362342724e-05
Position 108: 4.748198099341465e-05
Position 522: 4.724879330573832e-05
Position 696: 4.5664087587243876e-05
Position 2641: 3.905786130322742e-05
Position 307: 2.89051874458804e-05
Position 2992: 1.3282413788758015e-05
Position 435: 1.2151783028073728e-05
Position 290: 1.07939529007332e-05
Position 184: 6.2029115226739075e-06
Position 715: 2.877403670754942e-07
Position 791: 2.3930438465477764e-07
Position 456: 5.1617081996462954e-08
Position 688: 4.561164035565331e-08
Position 210: 3.5410134531696246e-08
Position 112: 3.5255709280661804e-08
Position 531: 8.989414033419518e-09
Position 242: 6.196074574823118e-09
Position 506: 5.952716908561338e-09
Position 121: 4.348836489478874e-09
Position 484: 3.056815667444819e-09
Position 537: 1.2065066526545173e-09
Position 125: 3.3227378351675177e-10
Position 247: 1.0719880971209937e-10
Position 357: 1.344665409265403e-16
