Gene = c-cup
index = 1640
Annotated 5SS: [142]
Annotated 3SS: [198]
SMsplice 5SS: [142]
SMsplice 3SS: [198]
top_k =  500
Partition function (log Z): -6.20722483322031

Sorted 5' Splice Sites (High to Low Probability):
Position 142: 0.9946475668889622
Position 624: 0.012271231306278243
Position 257: 0.009583460556976594
Position 541: 0.004239144511911906
Position 146: 0.003053294499955487
Position 760: 0.00290426068968228
Position 669: 0.00173436900177659
Position 832: 0.0005204493305956126
Position 527: 0.0003230831017239915
Position 709: 0.00027214069346909154
Position 768: 0.0002512796332158366
Position 273: 0.0002364937841200508
Position 780: 0.0002104464830140379
Position 666: 0.00016133389294987512
Position 631: 0.0001180991101296067
Position 296: 0.00010774145001725665
Position 385: 8.011477763459804e-05
Position 368: 5.699063855268394e-05
Position 579: 3.921357689387681e-05
Position 151: 3.791795910926632e-05
Position 105: 3.21374206463589e-05
Position 241: 2.7124145521706528e-05
Position 231: 2.3075200110105212e-05
Position 609: 1.901306777826028e-05
Position 78: 1.660445678984686e-05
Position 102: 1.2869469893035191e-05
Position 90: 9.500802333628918e-06
Position 159: 9.46026111511823e-06
Position 356: 9.185968848527592e-06
Position 131: 8.057257213357009e-06
Position 562: 4.265458997574273e-06
Position 261: 3.2882628590245538e-06
Position 598: 2.588028303142738e-06
Position 545: 2.4583412213326613e-06
Position 162: 1.6572214877686872e-06
Position 868: 1.4299496420789582e-06
Position 791: 8.207078216143935e-07
Position 681: 3.5167009614309775e-07
Position 174: 2.217391672772308e-08
Position 205: 1.910630587513746e-08
Position 511: 7.575130001968711e-09
Position 535: 4.883138181691431e-09
Position 460: 8.723981671693971e-10
Position 347: 1.677664315117853e-11
Position 299: 8.63698653659153e-13
Position 285: 7.948270162475032e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 198: 0.9767203640455326
Position 825: 0.016512912527119474
Position 918: 0.01020367402317719
Position 323: 0.00719829233261383
Position 222: 0.004285655698885866
Position 376: 0.003911238121115023
Position 598: 0.002375073544684147
Position 254: 0.0019416104695619703
Position 800: 0.0018222176244804588
Position 296: 0.001791805518170617
Position 356: 0.0011807746850387268
Position 200: 0.0009260368149503681
Position 741: 0.0005248430731207916
Position 681: 0.0005195805873687129
Position 847: 0.00025692660055049837
Position 696: 0.00022970874901587443
Position 578: 0.00018088972486150458
Position 706: 0.00010120452072433767
Position 231: 9.448751475356304e-05
Position 712: 6.0862686798169064e-05
Position 868: 4.788916025685048e-05
Position 241: 4.2217196968453327e-05
Position 434: 2.4181621516468538e-05
Position 774: 1.9189161413609667e-05
Position 347: 1.570507402842121e-05
Position 335: 1.221084309357754e-05
Position 672: 6.682329187818775e-06
Position 535: 4.961997213244881e-06
Position 395: 3.5364652763797064e-06
Position 405: 3.1678018511905913e-06
Position 527: 2.7747421949263777e-06
Position 165: 2.696623004849307e-06
Position 644: 2.5427485631771454e-06
Position 857: 2.3619422545472163e-06
Position 261: 1.600979406292462e-06
Position 162: 1.544342108021404e-06
Position 832: 1.105476412153305e-06
Position 381: 1.703777386548082e-08
Position 389: 1.0722427838036598e-08
Position 159: 7.817350901208939e-09
Position 460: 3.740114802444357e-09
Position 466: 3.3419496741867486e-09
Position 532: 2.560489181309056e-09
Position 146: 8.933203073057815e-10
Position 142: 7.262711867215202e-10
