Gene = Adi1
index = 14
Annotated 5SS: [193 352 542 793]
Annotated 3SS: [273 413 698 851]
SMsplice 5SS: [193 352 542 793]
SMsplice 3SS: [273 413 698 851]
top_k =  500
Partition function (log Z): 6.952882162398115

Sorted 5' Splice Sites (High to Low Probability):
Position 793: 0.9996578300281257
Position 542: 0.9941346799163645
Position 197: 0.8622099487558023
Position 393: 0.10823449840443647
Position 162: 0.00513298875116292
Position 363: 0.003564914748228405
Position 178: 0.0020419972868659353
Position 329: 0.0017090365551848848
Position 231: 0.0012726128721217093
Position 956: 0.001121741213702073
Position 523: 0.0010773639430866804
Position 79: 0.0004282838697112875
Position 941: 0.00036182272596998994
Position 16: 0.00022090976718707784
Position 574: 0.00020679317583247506
Position 84: 0.00019298144162491448
Position 546: 0.00012697332378497068
Position 797: 0.00011049062592228933
Position 534: 6.617102088511032e-05
Position 969: 6.282167903730746e-05
Position 633: 3.667218028870144e-05
Position 288: 2.920919604879745e-05
Position 604: 2.7927825546497047e-05
Position 73: 1.9113061052186494e-05
Position 551: 1.5975743077484366e-05
Position 431: 8.571995598039579e-06
Position 727: 6.747045448114867e-06
Position 455: 6.352952186087444e-06
Position 43: 3.4594605384194874e-06
Position 36: 3.096954812424785e-06
Position 29: 2.290499434101552e-06
Position 63: 3.9364391338882585e-07
Position 53: 3.828455921029741e-07
Position 666: 5.0223221870443006e-08
Position 931: 4.218056998396423e-08
Position 714: 2.940844948879586e-08
Position 879: 3.5452950578369575e-09
Position 910: 3.1765160402629924e-09
Position 730: 2.7149066364723195e-09
Position 891: 1.341497170630664e-09
Position 835: 4.482453901036316e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 851: 0.9864905356823829
Position 698: 0.9381141271117636
Position 273: 0.817687108186948
Position 441: 0.09935071345260402
Position 604: 0.05851914842280138
Position 413: 0.05784693801409184
Position 862: 0.013380785730703485
Position 455: 0.005891153185643434
Position 1019: 0.001549201974893756
Position 462: 0.0012763196277434622
Position 726: 0.0012045473567218578
Position 610: 0.0004784666363825665
Position 63: 0.00016550962695952313
Position 705: 4.465133636229101e-05
Position 78: 4.334330204642895e-05
Position 294: 1.1155010073071862e-05
Position 431: 1.0058914386055145e-05
Position 757: 7.858869990522955e-06
Position 735: 7.846134001790359e-06
Position 574: 7.84200391865324e-06
Position 231: 4.602725811012556e-06
Position 111: 1.0774691820352078e-06
Position 983: 9.262400672859126e-07
Position 515: 3.0026387683636647e-07
Position 320: 2.665866876097442e-07
Position 739: 2.1049554400271286e-07
Position 99: 1.7923740784215285e-07
Position 582: 7.713831629795253e-08
Position 950: 6.580375155960735e-08
Position 356: 5.536234999897444e-08
Position 351: 2.5723260514172082e-08
Position 494: 2.5411999591572574e-08
Position 171: 1.486209742481403e-08
Position 168: 1.4323237962971637e-08
Position 288: 1.3298498874828788e-08
Position 956: 5.722743167007769e-09
Position 192: 5.153486630374242e-09
Position 296: 3.894696056345314e-09
Position 542: 2.8097501749642e-09
Position 204: 1.2666120985611926e-09
Position 247: 7.775841967473956e-10
Position 546: 6.549163054628724e-10
Position 120: 3.384918695480642e-10
Position 197: 3.064591494067106e-12
