Gene = Svil
index = 1534
Annotated 5SS: [ 89615 107183 107574 117498 118075 118304 120382 120692]
Annotated 3SS: [106908 107417 117355 117563 118145 118362 120443 120750]
SMsplice 5SS: [   211    595  25302  37810  58574  62176  66184  66433  68447  82499
  83614 107183 107574 117498 118075 118304 120382 120692]
SMsplice 3SS: [   276  24899  37735  56970  61843  65734  66332  66843  81935  83490
 106908 107417 117355 117563 118145 118362 120443 120750]
top_k =  500
Partition function (log Z): -114.4464619742008

Sorted 5' Splice Sites (High to Low Probability):
Position 25302: 0.9999952683479947
Position 211: 0.8053459558415726
Position 595: 0.7496507338132328
Position 1789: 0.5000985014144658
Position 14511: 0.2894290030674789
Position 613: 0.19009458646138103
Position 7753: 0.06789609651387529
Position 174: 0.06552220043059995
Position 7546: 0.0570080607724389
Position 12434: 0.0425270757683454
Position 398: 0.023793899070729135
Position 24996: 0.0224845561547491
Position 4269: 0.012734792528453966
Position 2042: 0.01070999051169601
Position 217: 0.0044098005902860685
Position 195: 0.0038689328980678547
Position 277: 0.0033721231477664483
Position 607: 0.0033429476728983223
Position 187: 0.003212115526213017
Position 402: 0.002795018475974291
Position 1660: 0.002676946080888844
Position 1343: 0.0025262947254814754
Position 1302: 0.0017386821804142348
Position 769: 0.001168308213595178
Position 388: 0.0011351951447398402
Position 404: 0.0009702670697765386
Position 948: 0.0008024676706892183
Position 225: 0.0006623304389877877
Position 198: 0.0005433431645784414
Position 474: 0.0003241928316377159
Position 249: 0.00028182438427055956
Position 1491: 0.00026189972318670427
Position 189: 0.00021962954067537567
Position 368: 0.00016777326673578517
Position 1221: 0.0001554731979450271
Position 1313: 0.00014980333757327825
Position 1235: 0.0001495085446301037
Position 643: 0.0001436222077439183
Position 605: 0.00012184783955577576
Position 964: 0.00011427096430449326
Position 636: 0.00010119120345073221
Position 567: 8.521823495666187e-05
Position 1248: 6.371072889813606e-05
Position 3535: 5.718456765869731e-05
Position 599: 5.6772513092183756e-05
Position 795: 4.845988513458678e-05
Position 1318: 4.4120159066530887e-05
Position 372: 4.056892327982799e-05
Position 392: 4.0063513856877614e-05
Position 1316: 3.813190812408956e-05
