Gene = Dscam2
index = 1140
Annotated 5SS: [  665  6309  6554  7391  7624  9794 10209 14507 16650 17554 21762 22084
 22356 22704 23269 24647 25007 25202 25582 26180]
Annotated 3SS: [ 5975  6391  7243  7505  9344 10063 14354 16376 17265 21641 21909 22204
 22422 22767 23329 24715 25054 25417 26052 26751]
SMsplice 5SS: [  665  6309  6554  7391  7624  9794 10209 14507 21762 22084 22356 22704
 23269 24647 25007 25202 26180]
SMsplice 3SS: [ 5975  6391  7243  7452  9166 10063 14354 21641 21909 22204 22422 22782
 23329 24715 25081 26052 26751]
top_k =  500
Partition function (log Z): 27.029562661572317

Sorted 5' Splice Sites (High to Low Probability):
Position 23269: 0.996241431387581
Position 26180: 0.990665622068921
Position 24647: 0.9876723460898643
Position 22356: 0.986509024896294
Position 7391: 0.984009824861551
Position 25202: 0.9776115378346278
Position 25007: 0.9685169793873755
Position 14507: 0.9676330365082497
Position 21762: 0.9625750531646466
Position 6309: 0.9507834005176102
Position 9794: 0.9164817680195758
Position 6554: 0.9136002850636622
Position 22704: 0.8770738077436115
Position 7624: 0.8630216785582919
Position 18259: 0.8497098997476558
Position 22084: 0.7888206788360607
Position 10209: 0.6343591652521733
Position 17554: 0.573994058942908
Position 16650: 0.5616044732959472
Position 665: 0.5088381495867809
Position 10640: 0.2062921044760766
Position 8498: 0.17776778650826705
Position 25582: 0.13596167265677514
Position 18992: 0.1058885547551105
Position 16044: 0.07724936711943246
Position 8785: 0.07329551090006546
Position 25684: 0.06930005624124544
Position 142: 0.06913283012948823
Position 5485: 0.06528640158895015
Position 2105: 0.06105201533675436
Position 26577: 0.06082094310756016
Position 16764: 0.05681324545847817
Position 6493: 0.05269187205968197
Position 26843: 0.04892131078762119
Position 150: 0.04557881903902789
Position 102: 0.042748251371397435
Position 152: 0.03976769360919261
Position 154: 0.037422394255045434
Position 7634: 0.03394388878867695
Position 89: 0.03327682593164058
Position 24154: 0.03311968473402598
Position 22708: 0.0316165082366799
Position 7909: 0.028915060491818103
Position 184: 0.028816099825135905
Position 8474: 0.02842322586944433
Position 146: 0.02652725925791717
Position 6269: 0.026454560856548074
Position 27639: 0.02612090404057071
Position 156: 0.02455705190231171
Position 372: 0.023560477319286396
Position 23569: 0.023287768292442352
Position 8362: 0.0223944912089632
Position 10403: 0.022341446619374192
Position 7588: 0.021707741558473447
Position 6507: 0.019786373255372074
Position 16654: 0.019264740118815
Position 148: 0.019136787277706218
Position 15509: 0.01912519827952336
Position 16264: 0.017940698553052144
Position 6299: 0.01740708036159304
Position 16637: 0.017107887183555947
Position 10123: 0.016748453976431692
Position 8241: 0.01663764250515273
Position 17590: 0.016616566068743784
Position 16059: 0.01632416340089693
Position 26560: 0.015360816347547367
Position 29035: 0.014585650917067173
Position 297: 0.01428048326997891
Position 8433: 0.014223454066260565
Position 16034: 0.012946215545733015
Position 8565: 0.011444170724044316
Position 415: 0.01136843987357296
Position 7628: 0.010460621548790032
Position 15536: 0.010246915919802235
Position 9811: 0.009073300261243915
Position 7883: 0.008802593099611648
Position 5724: 0.00879749273013974
Position 5708: 0.008757251425591394
Position 5265: 0.008435406516335325
Position 11266: 0.00839986144206881
Position 16226: 0.008373546930842675
Position 22675: 0.008310537035240425
Position 816: 0.008136114604261677
Position 443: 0.007853419297569577
Position 25792: 0.007598370421066274
Position 9722: 0.007586763354513741
Position 610: 0.007454171339308728
Position 22062: 0.006801741678520206
Position 15320: 0.006755350559225848
Position 5874: 0.006583172558950004
Position 7162: 0.0063783994577578705
Position 8788: 0.006041661661164207
Position 17523: 0.005997219591899839
Position 9703: 0.005902237672245126
Position 17430: 0.005818535530388745
Position 22077: 0.005356363149530071
Position 287: 0.005253064107480959
Position 23665: 0.004436881680403749
Position 22132: 0.004408565812190432
Position 3089: 0.004330466417450175
Position 15711: 0.004284774808461733
Position 5538: 0.004032024386660573
Position 12050: 0.003927361362115617
Position 772: 0.0036181413430740124
Position 18200: 0.003551998740397966
Position 7354: 0.0034683488244782418
Position 17502: 0.003459713139050887
Position 25688: 0.0033666858068315485
Position 9905: 0.0032278868820643904
Position 1107: 0.003165387525592341
Position 14583: 0.0031004689865664807
Position 253: 0.0030995722944665337
Position 18252: 0.00305206134201185
Position 5246: 0.0029168356814768914
Position 1086: 0.002861294311798665
Position 17547: 0.0027935487600564135
Position 7874: 0.002705048600374396
Position 22746: 0.002580138201922482
Position 669: 0.0025331623420028187
Position 257: 0.002314053411097659
Position 18233: 0.0021628281386446694
Position 7198: 0.00213564044231991
Position 8237: 0.002105568542579461
Position 8219: 0.0021048213349021613
Position 24893: 0.002056126177669147
Position 7360: 0.002034868585734459
Position 25011: 0.002028822373111801
Position 5717: 0.0019528421495883035
Position 1338: 0.001940096004701993
Position 1963: 0.001845636626072695
Position 7640: 0.0018454898380787475
Position 8469: 0.0018140681838792606
Position 479: 0.0017829148971582568
Position 26600: 0.0016325899586774734
Position 8108: 0.0016160443976671482
Position 25973: 0.0015284953366910526
Position 2423: 0.001485389310329101
Position 25631: 0.0013909646533668723
Position 18094: 0.0012560477393813944
Position 14687: 0.0012387392683631958
Position 22713: 0.0011527643542321585
Position 22088: 0.0011375793568863084
Position 22112: 0.0011241801774371058
Position 5216: 0.001079970011674053
Position 7070: 0.0010593232640127973
Position 23691: 0.0010560209592862183
Position 22625: 0.0010080036669314293
Position 6683: 0.0009545362755498144
Position 6329: 0.0009337241168398359
Position 17632: 0.0009284357198604823
Position 6676: 0.0009100419131434367
Position 99: 0.0009054600562373296
Position 7020: 0.0009027610627171574
Position 25871: 0.00089318758943966
Position 23739: 0.0008681878642279363
Position 23277: 0.0008673457855605974
Position 1099: 0.0008425279152871511
Position 23494: 0.0008384171307474672
Position 274: 0.0008365727789630153
Position 6947: 0.0008248272263586868
Position 23527: 0.000800866603631636
Position 182: 0.0007965205864090764
Position 235: 0.0007094787203120329
Position 6477: 0.0006917311948025956
