Gene = Nrt
index = 1332
Annotated 5SS: [ 469 8295]
Annotated 3SS: [7641 8357]
SMsplice 5SS: [ 469 8295]
SMsplice 3SS: [7641 8357]
top_k =  500
Partition function (log Z): -4.61355226231977

Sorted 5' Splice Sites (High to Low Probability):
Position 8295: 0.9992976998495079
Position 469: 0.6820778970160645
Position 172: 0.24225310496804572
Position 9836: 0.13464030192536372
Position 10270: 0.05342743941882695
Position 546: 0.035278043994226356
Position 1525: 0.027036695943690042
Position 1570: 0.020530609197876123
Position 8583: 0.019230708576038626
Position 1723: 0.018537438149862133
Position 9679: 0.015344842446926863
Position 1112: 0.013426184276095479
Position 590: 0.012983120334226512
Position 10770: 0.012586444046628323
Position 6002: 0.009514485738230882
Position 7272: 0.008102651416778404
Position 305: 0.0080754834294709
Position 9206: 0.007607961872174643
Position 1765: 0.007340263204774829
Position 4045: 0.006840292938601923
Position 1023: 0.006759288310597754
Position 4267: 0.005989912290752267
Position 8902: 0.005914668696801651
Position 1268: 0.0058751757419866395
Position 9510: 0.003957150520461368
Position 5414: 0.0038175113009163405
Position 7398: 0.003755001601144261
Position 417: 0.0036663730401438636
Position 626: 0.0032583480625752357
Position 9890: 0.003024808330887341
Position 9489: 0.002946556147376865
Position 1820: 0.0029276371367395197
Position 2327: 0.0028813338515960322
Position 5835: 0.0028115007218343668
Position 9901: 0.0026580955894944212
Position 1277: 0.0026142732876366912
Position 8704: 0.0024420007912895154
Position 2743: 0.0023044894775232807
Position 8505: 0.0021769320917311074
Position 9156: 0.001973828356620532
Position 9091: 0.0019090625640708716
Position 9441: 0.0016243934942597852
Position 10665: 0.0016161683619377388
Position 179: 0.001565185827606373
Position 3556: 0.001387347651791337
Position 3: 0.0013350035309729208
Position 165: 0.0009774693318196639
Position 9407: 0.0007940268479547714
Position 309: 0.0007541059205672202
Position 2594: 0.0007339941308108681
Position 1184: 0.0007082318941085042
Position 2313: 0.0006784642809845848
Position 9344: 0.0006555422533595717
Position 5875: 0.0005959319938595916
Position 2514: 0.0005675866940660427
Position 2016: 0.0005100696530693917
Position 351: 0.0005000090471497934
Position 757: 0.0004735138652717535
Position 1769: 0.0004585151880960472
Position 6198: 0.0004388158424060327
Position 1446: 0.0004300903719073383
Position 6033: 0.0004159542281950513
Position 1326: 0.0003981815346757407
Position 10461: 0.0003957533818365825
Position 9434: 0.0003778873484593566
Position 1286: 0.0003558427640677834
Position 8274: 0.00033844851965251675
Position 4804: 0.00032856342650073336
Position 8555: 0.00032529804361953367
Position 9663: 0.00029765811093735193
Position 10094: 0.0002910980269839027
Position 11040: 0.0002748640506252721
Position 8845: 0.000271932391694076
Position 555: 0.0002660242237320729
Position 9008: 0.0002540152920521295
Position 8290: 0.0002502258967213212
Position 1580: 0.00021780254649969794
Position 9074: 0.00021572988544690032
Position 1725: 0.000203750313858247
Position 5888: 0.00019361317983765058
Position 9086: 0.00015183701252103915
Position 8731: 0.00014670923454005553
Position 9354: 0.0001441380277891682
Position 8765: 0.00013686086306193996
Position 8729: 0.00010136358796814693
Position 4930: 6.674529841147054e-05
Position 11169: 6.63877221585407e-05
Position 186: 4.85676161238282e-05
Position 8480: 4.1492376808227485e-05
Position 682: 2.921037516042755e-05
Position 1037: 2.516816700821358e-05
Position 8299: 2.4858704174991603e-05
Position 1348: 2.1646702344641233e-05
Position 8918: 1.67909378294057e-05
Position 176: 1.630287150992122e-05
Position 1318: 1.4726954378914948e-05
Position 809: 1.4306410995136888e-05
Position 507: 1.2580930721265306e-05
Position 9334: 1.2236092550088239e-05
Position 51: 1.1214588244423825e-05
Position 447: 9.04107269846175e-06
Position 899: 6.48030626039405e-06
Position 9197: 6.452237007581555e-06
Position 973: 6.301506773997503e-06
Position 449: 5.165283657269147e-06
Position 9384: 5.049989313548617e-06
Position 9071: 4.320809693662527e-06
Position 805: 3.991957617868604e-06
Position 487: 3.573618916404798e-06
Position 237: 2.528295473910848e-06
Position 524: 2.025836479951968e-06
Position 725: 1.4798823496372888e-06
Position 8758: 1.4517425084672808e-06
Position 564: 1.3119996946393043e-06
Position 750: 1.2877837062058182e-06
Position 702: 1.1404860793146216e-06
Position 485: 1.0501098381489901e-06
Position 328: 9.732719210279616e-07
Position 8267: 8.357827689993887e-07
Position 669: 7.06804161325988e-07
Position 313: 5.76260150332015e-07
Position 1015: 4.6893111004118836e-07
Position 1099: 4.660392130564598e-07
Position 9210: 4.3021492337604234e-07
Position 246: 4.17402198631516e-07
Position 1101: 4.0907324574802746e-07
Position 1230: 2.8529389481714097e-07
Position 997: 2.0214214808216163e-07
