Gene = Dhpr
index = 1134
Annotated 5SS: [331]
Annotated 3SS: [426]
SMsplice 5SS: [331]
SMsplice 3SS: [426]
top_k =  500
Partition function (log Z): -9.063033916625857

Sorted 5' Splice Sites (High to Low Probability):
Position 331: 0.9873311190595965
Position 755: 0.013379476566484702
Position 596: 0.010965442493393394
Position 599: 0.00792373071451284
Position 113: 0.0051395564771681895
Position 130: 0.0031358605591844785
Position 293: 0.0011812029723533557
Position 827: 0.0008214708318899468
Position 865: 0.0006020107027167589
Position 890: 0.00037696324980154297
Position 122: 0.0003115793877788147
Position 148: 0.00028202541630358875
Position 39: 0.00023619206638014637
Position 186: 0.00016714128509069591
Position 532: 0.00014465433872147746
Position 469: 0.00013185595432725026
Position 29: 0.00012633390482744565
Position 940: 0.00012441978762479957
Position 839: 0.00011511452140115846
Position 265: 0.00011466488555174192
Position 520: 9.902461440260794e-05
Position 275: 9.215513333043403e-05
Position 257: 7.027320012972293e-05
Position 426: 6.594680723816449e-05
Position 335: 4.474057699931395e-05
Position 478: 3.897921832265735e-05
Position 194: 3.725524971770862e-05
Position 481: 3.2433698889974626e-05
Position 497: 2.9315833763966244e-05
Position 639: 2.14296170914563e-05
Position 852: 1.9395571075212377e-05
Position 304: 1.6200884951101874e-05
Position 17: 1.1452555267945744e-05
Position 188: 9.476696337501556e-06
Position 212: 9.427977335210272e-06
Position 262: 8.461053945215393e-06
Position 196: 8.16650588650014e-06
Position 302: 7.136902774688267e-06
Position 430: 1.970608797683399e-08
Position 249: 1.549351248973831e-08
Position 502: 1.0057243744256628e-08
Position 523: 6.1286436513052384e-09
Position 381: 3.677617205233294e-09
Position 577: 2.0350085605481653e-09
Position 525: 1.8544013008834243e-09
Position 393: 3.61619534921269e-10
Position 652: 2.7872910395061264e-10
Position 850: 5.5191831538713435e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 426: 0.7615944797561064
Position 910: 0.08468727399969582
Position 874: 0.07808911925608458
Position 437: 0.06964881993616061
Position 1005: 0.010988986730970356
Position 212: 0.007209937463369615
Position 676: 0.006842529038945024
Position 960: 0.00439920663248041
Position 648: 0.0026220322789669323
Position 510: 0.0014587168986344636
Position 1032: 0.0012689374279762355
Position 238: 0.0006934128881606657
Position 256: 0.0005425176965045954
Position 1283: 0.000522141537484454
Position 459: 0.00043274666792194694
Position 699: 0.00030675091704381193
Position 116: 0.0002838971502172755
Position 1050: 0.00022348834686394947
Position 970: 0.00019837283173321162
Position 497: 0.00018379092647439517
Position 835: 0.00017895328171255395
Position 532: 0.00013713379754682622
Position 732: 0.00010276258262446403
Position 462: 9.271095803162511e-05
Position 727: 9.025293226740617e-05
Position 595: 7.804893846117812e-05
Position 645: 7.218370812159871e-05
Position 1274: 5.4931998945089374e-05
Position 453: 3.7723393041925345e-05
Position 795: 3.421061800596271e-05
Position 784: 3.1311675145775196e-05
Position 473: 2.607230648755284e-05
Position 975: 1.7791005857857107e-05
Position 143: 1.3189593145543704e-05
Position 1260: 1.3186156271057826e-05
Position 624: 1.0960728606575142e-05
Position 612: 1.0143022159913154e-05
Position 780: 8.535555107358343e-06
Position 319: 6.4959022141562205e-06
Position 1251: 6.296118208928827e-06
Position 690: 5.326665125853438e-06
Position 513: 4.713217024758125e-06
Position 155: 1.3342272747617447e-06
Position 72: 3.8264265553495783e-07
Position 283: 1.8271758882496985e-07
Position 262: 1.2927865621601428e-07
Position 609: 2.5509831362645024e-08
Position 286: 8.708408725390666e-12
Position 335: 3.616471662515783e-16
