Gene = RpIIIC53
index = 1432
Annotated 5SS: [415 854 995]
Annotated 3SS: [ 473  925 1046]
SMsplice 5SS: [415 854 995]
SMsplice 3SS: [ 473  925 1046]
top_k =  500
Partition function (log Z): -0.20081147989988418

Sorted 5' Splice Sites (High to Low Probability):
Position 415: 0.9578337948105748
Position 854: 0.9207587822639112
Position 995: 0.8677270961023906
Position 1372: 0.02712296340050306
Position 1152: 0.01780980950286716
Position 261: 0.01637482669635697
Position 374: 0.014027340159949036
Position 563: 0.010104683116637415
Position 240: 0.00859324612454616
Position 1629: 0.0034247205705170538
Position 1645: 0.0031334355398731635
Position 342: 0.002572530857224325
Position 419: 0.0018924222976341228
Position 32: 0.0011799201462386931
Position 1388: 0.0008897926291398297
Position 398: 0.0007419865739169214
Position 1637: 0.0005294059464153253
Position 29: 0.0005212332699959848
Position 1126: 0.00037981042945494346
Position 858: 0.00031814888753211863
Position 1488: 0.0002784268734234493
Position 686: 0.0002752567316897768
Position 554: 0.00027467605759055164
Position 17: 0.00018892934812446532
Position 1328: 0.00014746254086576472
Position 1383: 0.00013379174826945285
Position 156: 0.0001071240537236873
Position 1131: 8.290425399729098e-05
Position 3: 6.726439687272332e-05
Position 643: 6.357264585855871e-05
Position 34: 5.8835918212267046e-05
Position 557: 4.0992175577358354e-05
Position 524: 3.4994459661047856e-05
Position 276: 3.2613461786163305e-05
Position 651: 2.9320189145713666e-05
Position 1462: 1.913500032251128e-05
Position 1466: 1.2699426624492249e-05
Position 422: 1.0580485817955867e-05
Position 270: 1.0502225518868918e-05
Position 19: 8.823915697046726e-06
Position 244: 7.855603134712465e-06
Position 231: 7.847211620942071e-06
Position 696: 7.727367496927874e-06
Position 265: 4.837400051769211e-06
Position 1609: 2.716110869117482e-06
Position 694: 2.615491568964181e-06
Position 771: 2.467348984037017e-06
Position 637: 2.1082217809331146e-06
Position 715: 1.959864610025677e-06
Position 203: 1.1819086352230049e-06
Position 142: 1.1539030919518168e-06
Position 782: 7.978308233362938e-07
Position 530: 7.423636219018607e-07
Position 1272: 4.87327259067148e-07
Position 974: 4.0983410500795695e-07
Position 1104: 1.8876482957467405e-07
Position 1215: 7.964792752481635e-08
Position 700: 5.854233570053062e-08
Position 1431: 2.5993666542665492e-08
Position 441: 2.2741229139785905e-08
