Gene = lt
index = 1760
Annotated 5SS: [  131   313   536   704  1125  2971 14048 14511 14746 15040 15219]
Annotated 3SS: [  186   364   585   770  2642 13978 14108 14558 14799 15091 15277]
SMsplice 5SS: [  536   704  1125  2971 17656]
SMsplice 3SS: [  585   770  2642 17543 17713]
top_k =  500
Partition function (log Z): -6.078653103281633

Sorted 5' Splice Sites (High to Low Probability):
Position 2971: 0.9999034423228815
Position 704: 0.9922994773835342
Position 536: 0.9841590534473783
Position 1125: 0.6885288125100464
Position 1625: 0.19944949251057587
Position 313: 0.1673463849611347
Position 2493: 0.0665471775120231
Position 1310: 0.06015190605756097
Position 1325: 0.04753886818868491
Position 131: 0.04397600683772632
Position 29: 0.028713473996859726
Position 1129: 0.022068957069322808
Position 2473: 0.021949134739135477
Position 1669: 0.015475536729913331
Position 1163: 0.010919267360347632
Position 952: 0.010287197408580133
Position 315: 0.00849235909629243
Position 1153: 0.007831980072645751
Position 23: 0.00775275513975301
Position 2406: 0.005781188109216656
Position 2669: 0.005185648499809684
Position 2267: 0.004211151519109617
Position 959: 0.004129286281368744
Position 1832: 0.0040697588686133485
Position 700: 0.004051074097780988
Position 1949: 0.003983271567166283
Position 293: 0.003707923501892645
Position 1300: 0.003360999810633146
Position 301: 0.0028884525878285186
Position 708: 0.0027150385896100057
Position 126: 0.0025841711227285783
Position 505: 0.0025470848728858853
Position 2163: 0.0020817350569944876
Position 1398: 0.002045356869724181
Position 1636: 0.0019884094014190287
Position 1494: 0.0018810894928936168
Position 1002: 0.0017788693051223987
Position 353: 0.0015400829563949458
Position 1891: 0.0012813730059726381
Position 1134: 0.001230161806637129
Position 1574: 0.0011075205370473984
Position 2246: 0.0010827629000494344
Position 6052: 0.0004398830645989503
Position 6319: 0.00041284317574252565
Position 237: 0.0003328657123220505
Position 339: 0.00032347095029065483
Position 697: 0.00031620735779577634
Position 129: 0.00015140491890524514
Position 540: 0.00010443654049003134
Position 1037: 0.00010359599663296099
Position 473: 7.402238433529414e-05
Position 112: 6.261797922717873e-05
Position 488: 6.171962761775895e-05
Position 58: 5.3933241944998114e-05
Position 7: 5.357439532838725e-05
Position 90: 5.242096046040211e-05
Position 3790: 4.935988538489429e-05
Position 5148: 3.2909454835443695e-05
Position 1058: 2.9571480292144362e-05
Position 3774: 2.470595425582239e-05
Position 66: 2.0006803935144653e-05
Position 1115: 1.96941307659237e-05
Position 140: 1.8684345778642473e-05
Position 905: 1.5693383083429484e-05
Position 220: 1.5072904321479383e-05
Position 162: 1.0133771887836268e-05
Position 245: 9.814095009333315e-06
Position 586: 8.627005079554442e-06
Position 652: 6.653287550790997e-06
Position 364: 6.141979892977125e-06
Position 3820: 5.999337446561108e-06
Position 395: 3.2314619271612505e-06
Position 283: 2.8704538726935945e-06
Position 3293: 2.850983996118954e-06
Position 69: 2.6891704332265074e-06
Position 3109: 1.8823822324630025e-06
Position 2918: 1.7899112553099963e-06
Position 56: 1.5554128811893678e-06
Position 3278: 1.5016423708148081e-06
Position 176: 1.313096697603718e-06
Position 726: 1.2541044419548574e-06
Position 911: 1.2222554824616895e-06
Position 399: 1.1800044816368726e-06
Position 467: 1.1435698105429715e-06
Position 3749: 1.0705102327211245e-06
Position 655: 1.0571327774544588e-06
Position 790: 9.521776050421073e-07
Position 1006: 9.070825186945543e-07
Position 1243: 8.835427212834006e-07
Position 393: 7.60163362373373e-07
Position 894: 6.780494721109866e-07
Position 1193: 5.81368279125446e-07
Position 3669: 3.4531655176654195e-07
Position 3054: 1.762716991280175e-07
Position 3049: 1.7568912433882181e-07
Position 851: 1.752568851659735e-07
Position 849: 9.618790324206242e-08
Position 425: 4.489036281879036e-08
Position 856: 4.1243465933146254e-08
Position 2915: 2.1472106069850237e-08
Position 603: 5.417860786040998e-10
Position 832: 2.62294692075641e-10
Position 453: 1.102274414993327e-12
Position 1052: 1.6751502103767267e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 770: 0.9993680965254741
Position 2642: 0.946394865792174
Position 585: 0.9129423562909035
Position 15892: 0.5197893157361594
Position 15091: 0.3662312123151875
Position 364: 0.1677288566252328
Position 1227: 0.0837263250964928
Position 608: 0.0733375148420874
Position 14904: 0.07229461534761382
Position 186: 0.07221842330373655
Position 2375: 0.05456086262663889
Position 2160: 0.030967085174278028
Position 12956: 0.023636165266805405
Position 1465: 0.01659306352253145
Position 12464: 0.013583070928924613
Position 1239: 0.009483278332117552
Position 416: 0.008963885453707495
Position 2489: 0.008732115408324685
Position 2747: 0.008288641234941021
Position 81: 0.008048242870048763
Position 2022: 0.006267587701129925
Position 1525: 0.005678219914678419
Position 441: 0.005565768672201617
Position 2596: 0.005523470666829823
Position 1366: 0.005092243986741316
Position 11454: 0.0033956259698756357
Position 1924: 0.0032230217997307312
Position 626: 0.001955076037115576
