Gene = RhoGDI
index = 1424
Annotated 5SS: [ 166 2272 2455 2635]
Annotated 3SS: [2071 2344 2519 3238]
SMsplice 5SS: [ 383 2272 2455 2635]
SMsplice 3SS: [2071 2344 2519 3238]
top_k =  500
Partition function (log Z): -1.9771423286822405

Sorted 5' Splice Sites (High to Low Probability):
Position 2455: 0.9873684477566286
Position 2272: 0.9578767880808136
Position 2635: 0.8939894209985952
Position 3170: 0.3888696422181306
Position 383: 0.3501494316500557
Position 68: 0.30273018999088047
Position 782: 0.25141540619750274
Position 206: 0.2287083098334606
Position 166: 0.1097053202599771
Position 32: 0.07195795224389329
Position 3555: 0.03172243391329957
Position 3806: 0.017835165580827872
Position 3352: 0.016404896701427887
Position 2600: 0.014853347453104763
Position 3031: 0.011124172725706054
Position 389: 0.010315828297389987
Position 387: 0.00926182073968244
Position 2268: 0.00900814573713774
Position 492: 0.008930752552889545
Position 399: 0.00874532054047016
Position 407: 0.00792847938837187
Position 2999: 0.007670682325489352
Position 2815: 0.007645266684054531
Position 1062: 0.007595065511989197
Position 2035: 0.007173623907028457
Position 391: 0.006774347954628113
Position 1263: 0.006085726501675524
Position 395: 0.006001464070292221
Position 1621: 0.005355964961216401
Position 393: 0.005093640981285279
Position 2282: 0.004927563509549597
Position 3607: 0.004148293459609565
Position 3794: 0.004050678529503485
Position 196: 0.0037418698556191538
Position 2931: 0.003716219668238657
Position 1570: 0.003328615930208288
Position 3577: 0.002346119271532883
Position 3166: 0.00232896766254169
Position 641: 0.0022799091775121544
Position 2553: 0.00188905651659677
Position 3526: 0.001563432896092063
Position 3640: 0.0015175132421258839
Position 202: 0.0014194364321846158
Position 200: 0.0012966837974037512
Position 198: 0.001194562311276123
Position 891: 0.0008921659021892983
Position 3645: 0.0004921096652747423
Position 3629: 0.0004858561680828314
Position 3592: 0.0004780710489776867
Position 1606: 0.0004014882507265371
Position 22: 0.00038405802603291416
Position 82: 0.0002713784743907516
Position 215: 0.00023745484346472936
Position 3798: 0.00023745290208258826
Position 298: 0.0002273267007403454
Position 3149: 0.00018773378328325888
Position 60: 0.00015876185180866263
Position 104: 9.147830951419672e-05
Position 2935: 6.40638105028934e-05
Position 2658: 6.391365425971708e-05
Position 2810: 5.8400197124894095e-05
Position 210: 3.665175783557314e-05
Position 72: 3.625419203621828e-05
Position 2438: 2.133777517419012e-05
Position 3396: 1.9981149039245813e-05
Position 719: 1.4795564558745964e-05
Position 115: 1.344940811250889e-05
Position 204: 1.1321462166518887e-05
Position 2639: 1.0978388755214786e-05
Position 2628: 1.0544335911905013e-05
Position 85: 8.069813700077694e-06
Position 3163: 5.803091538646238e-06
Position 3095: 3.848449491726939e-06
Position 2626: 1.0612715781495745e-06
Position 170: 9.008978069016271e-07
Position 3009: 4.4549370810461736e-07
Position 3093: 4.255840816129517e-07
Position 6: 3.4579297628219773e-07
Position 302: 1.9543232321665206e-07
Position 310: 1.1933677868762542e-07
Position 2429: 9.128779766677046e-08
Position 176: 3.780359622556996e-08
Position 2578: 2.3137890860225015e-08
Position 179: 1.8355166968604282e-08
Position 135: 1.2715601924685483e-08
Position 305: 4.681063687217111e-09
Position 409: 4.193342112743623e-09
Position 413: 8.092730260234632e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2519: 0.9662536060320706
Position 2344: 0.9547091819780842
Position 3238: 0.6968047804831348
Position 2071: 0.6417275100148161
Position 2863: 0.4295333892683133
Position 2077: 0.24870268842724455
Position 129: 0.2398234685170222
Position 2729: 0.08945945623231717
Position 3698: 0.07966066041290616
Position 115: 0.06295598414519739
Position 2100: 0.035281863505926915
Position 165: 0.028164247010050877
Position 2992: 0.02494616375127036
Position 3861: 0.023354530507749997
Position 636: 0.020866315621014986
Position 279: 0.020325711208140976
Position 1783: 0.019658685606184324
Position 2900: 0.01863065293262394
Position 3638: 0.017475174975538892
Position 1684: 0.01605087167981062
Position 2365: 0.014113261124842139
Position 1719: 0.013511322571574948
Position 319: 0.013025862404736977
Position 305: 0.012080596226599587
Position 104: 0.010135297418352882
Position 2156: 0.00843548037178293
Position 3163: 0.008063300227183705
Position 292: 0.00526564914251695
Position 2802: 0.005042404606079408
Position 3044: 0.0048210926139443
Position 3088: 0.004531959615844739
Position 578: 0.004429547937029416
Position 1452: 0.004106492146726922
Position 2674: 0.0035354548241289434
Position 2576: 0.0035102259926940507
Position 2376: 0.0030476833069877246
Position 3650: 0.002966817894498698
Position 2538: 0.0028474616566477227
Position 1761: 0.0025552263449313125
Position 2948: 0.002251475360145964
Position 3721: 0.0021966555521744056
Position 2082: 0.0021215138303127636
Position 2535: 0.0020951102886150614
Position 1024: 0.0018470099716528065
Position 3282: 0.0016778944090465972
Position 470: 0.0016563729168571773
Position 2849: 0.0016072781835615093
Position 2398: 0.001557244421130118
Position 2975: 0.001406609466780763
Position 3888: 0.0013996903886868968
Position 3926: 0.0012175722661297785
Position 1798: 0.0011026049792668016
Position 3279: 0.0009318186441986092
Position 3575: 0.0008673504533154241
Position 357: 0.0008463657009216486
Position 928: 0.0008401447050242412
Position 3451: 0.0007667562313682382
Position 3246: 0.0006395607211989609
Position 767: 0.000581824390790345
Position 3953: 0.0005748469516273687
Position 4133: 0.0005657962521721295
Position 2686: 0.0005428449256358523
Position 3174: 0.0005026903045803548
Position 131: 0.0004631535605505361
Position 1132: 0.00040117032910342394
Position 4153: 0.0002381484838967922
Position 3704: 0.00022800274402487856
Position 2681: 0.00020206412305005976
Position 3660: 0.0002007575269452771
Position 3947: 0.0001874280551621556
Position 723: 0.00015731362888046007
Position 4018: 0.0001236051616650007
Position 2552: 0.00012212572846942814
Position 1286: 9.190738520662205e-05
Position 2438: 8.305750324480842e-05
Position 2810: 7.552042008225553e-05
Position 645: 7.387256175419421e-05
Position 475: 7.235176844561576e-05
