Gene = DCTN6-p27
index = 1121
Annotated 5SS: [94]
Annotated 3SS: [160]
SMsplice 5SS: [94]
SMsplice 3SS: [160]
top_k =  500
Partition function (log Z): -6.797099593669787

Sorted 5' Splice Sites (High to Low Probability):
Position 94: 0.9907084111251897
Position 53: 0.005256280712839404
Position 43: 0.002148119020894339
Position 274: 0.0017583784866540804
Position 109: 0.0014978914039616453
Position 498: 0.0009394849441434316
Position 240: 0.0003607770588916008
Position 321: 0.00030000276711376574
Position 211: 0.0001976107506839694
Position 258: 0.0001746076712564016
Position 237: 5.506821909448192e-05
Position 227: 2.8889248439776046e-05
Position 462: 2.5232817610371705e-05
Position 490: 1.8248954907445927e-05
Position 411: 1.7317641971073472e-05
Position 495: 1.582138357045467e-05
Position 235: 1.1653994695333886e-05
Position 455: 1.1639765337562563e-05
Position 523: 1.0809697370241089e-05
Position 250: 7.284387547761079e-06
Position 493: 3.0170801786799216e-06
Position 399: 2.5001066556930298e-06
Position 441: 6.206963805301817e-07
Position 472: 5.698249297392223e-07
Position 348: 5.680578476449876e-07
Position 480: 3.4076257789358717e-07
Position 186: 3.1967039411841203e-07
Position 357: 2.58645505866541e-07
Position 474: 2.2293681624512705e-07
Position 633: 1.9277737581138807e-07
Position 390: 1.8154524450042464e-07
Position 183: 3.964642252474147e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 160: 0.9464458373339241
Position 138: 0.048576748110484694
Position 179: 0.003773509003078572
Position 399: 0.00158298164273197
Position 566: 0.0011029317942428975
Position 324: 0.0009400915561708449
Position 93: 0.00026206123781824216
Position 103: 0.00018845845189757355
Position 306: 0.0001693556278748959
Position 561: 0.00011814237592135536
Position 273: 0.00011480648874831803
Position 487: 0.00011469104824144582
Position 338: 8.82336174096013e-05
Position 202: 1.8792751093382425e-05
Position 526: 1.4553533201650653e-05
Position 614: 1.1798942543015655e-05
Position 605: 9.586404866561483e-06
Position 575: 5.8539410286122305e-06
Position 308: 4.543325299261859e-06
Position 596: 4.313738130012423e-06
Position 109: 3.0412387123366584e-06
Position 632: 6.012086546625842e-07
Position 515: 4.76026191209576e-07
Position 194: 4.166296548105966e-07
Position 411: 3.0373141904764925e-07
Position 683: 1.927773758113871e-07
Position 197: 1.031630372195995e-11
Position 250: 4.301688453631529e-12
Position 293: 1.207053916772553e-12
Position 199: 3.594227768844429e-15
