Gene = Acp26Aa
index = 8
Annotated 5SS: [59]
Annotated 3SS: [114]
SMsplice 5SS: [59]
SMsplice 3SS: [114]
top_k =  500
Partition function (log Z): -5.476441254294866

Sorted 5' Splice Sites (High to Low Probability):
Position 59: 0.997132973384243
Position 347: 0.06108699885551726
Position 570: 0.03183486590659112
Position 181: 0.004716800135506974
Position 476: 0.0045074563804701874
Position 676: 0.00413821930298819
Position 196: 0.0026612101733018106
Position 145: 0.002155416531591232
Position 691: 0.0015955634772294228
Position 261: 0.0015200913946291725
Position 922: 0.00038842719248718933
Position 878: 0.0002717745600206995
Position 213: 0.00025324276201964057
Position 754: 0.0002480766905551304
Position 451: 0.000221218448961139
Position 499: 0.0002115580941849387
Position 738: 7.794639680185016e-05
Position 578: 2.786461149941009e-05
Position 722: 2.230392592431661e-05
Position 63: 1.3688424901848066e-05
Position 892: 1.1339519936851819e-05
Position 929: 7.19250605964183e-06
Position 828: 3.8168917831637105e-06
Position 685: 5.902015152615717e-07
Position 99: 9.29272784160529e-08
Position 129: 2.9178275033793256e-08
Position 612: 2.612904342219211e-09
Position 109: 1.3915901633907182e-09
Position 114: 6.725331616003675e-10
Position 662: 1.7090060065972853e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 114: 0.6054502105373204
Position 129: 0.36619202208608453
Position 402: 0.08231271691912906
Position 622: 0.036144738705022175
Position 346: 0.006777950121700249
Position 408: 0.0038940983946961424
Position 780: 0.0024441775957004534
Position 981: 0.002151117422621158
Position 594: 0.0021109364618280254
Position 728: 0.00166474887804546
Position 1010: 0.0013454970456919311
Position 543: 0.00044509093851832754
Position 165: 0.0004088394299540148
Position 426: 0.00020589683169106035
Position 722: 0.0002039643543247712
Position 537: 0.00019771184899342988
Position 908: 0.00013470897418537181
Position 451: 0.00011335916566900835
Position 662: 0.00010939728091308812
Position 196: 0.00010766669669634906
Position 570: 0.00010409769576484762
Position 878: 0.00010224636573174384
Position 438: 8.659852985799742e-05
Position 816: 7.376149073360273e-05
Position 787: 6.248599869393955e-05
Position 239: 4.182555691841679e-05
Position 224: 3.667944802915274e-05
Position 578: 2.683316294542889e-05
Position 691: 2.6793810934540448e-05
Position 264: 2.034077392589946e-05
Position 364: 1.9272044396228235e-05
Position 136: 1.5221553222322449e-05
Position 473: 9.931946733215282e-06
Position 742: 9.78370052292513e-06
Position 732: 9.53650015204487e-06
Position 181: 8.214021232040216e-06
Position 913: 8.075786377424117e-06
Position 671: 7.075606543832086e-06
Position 461: 5.840387245589331e-06
Position 249: 5.435949143653458e-06
Position 794: 4.2817729377609615e-06
Position 145: 3.798058223820305e-06
Position 855: 3.1733810779244444e-06
Position 939: 1.4770092719296645e-06
Position 284: 4.4410004804885366e-07
Position 255: 3.8667330034441986e-07
Position 273: 2.2925178991738274e-07
Position 491: 7.202162527378135e-08
Position 233: 4.029755595662573e-10
Position 149: 3.306130722013553e-11
