Gene = Thor
index = 1559
Annotated 5SS: [327]
Annotated 3SS: [750]
SMsplice 5SS: [327]
SMsplice 3SS: [750]
top_k =  500
Partition function (log Z): -4.161872056035319

Sorted 5' Splice Sites (High to Low Probability):
Position 327: 0.9964726711557509
Position 95: 0.05108579803221713
Position 89: 0.014020588752181151
Position 619: 0.010239646182282775
Position 26: 0.004387942975684475
Position 956: 0.004379677606896441
Position 672: 0.004250386652145998
Position 126: 0.0021337285134235225
Position 875: 0.0011553825886042948
Position 963: 0.0007090850157101678
Position 128: 0.0006366813841188901
Position 93: 0.0005300538530485626
Position 583: 0.0005090801384729131
Position 633: 0.000454985348900171
Position 245: 0.0003739130831950831
Position 651: 0.0003199611854618885
Position 460: 0.00030538338975627603
Position 387: 0.00025222165250010333
Position 363: 0.00025105994630403566
Position 278: 0.00021342938311221947
Position 150: 0.0001956502265016885
Position 392: 0.000178915927088205
Position 579: 0.00017027971841547152
Position 331: 9.40031477226748e-05
Position 972: 7.617399169048956e-05
Position 528: 5.2519311220470805e-05
Position 1007: 4.099228677725614e-05
Position 1049: 3.804701247130681e-05
Position 280: 3.105631850164795e-05
Position 509: 2.9394255505864513e-05
Position 1091: 2.1230376339926858e-05
Position 373: 1.812109217950737e-05
Position 1104: 1.704530935205043e-05
Position 623: 1.5978984954705485e-05
Position 467: 1.43418383245617e-05
Position 941: 1.1290516839141968e-05
Position 138: 9.229989030028126e-06
Position 611: 6.388208665112765e-06
Position 184: 5.895502049704277e-06
Position 1071: 5.800834787052839e-06
Position 503: 4.859677067217096e-06
Position 970: 4.442486508657309e-06
Position 914: 4.081975595082226e-06
Position 1078: 2.6326403783026925e-06
Position 587: 2.4640220284155682e-06
Position 512: 2.4059690961420013e-06
Position 1047: 2.0319237955832224e-06
Position 859: 1.9169454087469075e-06
Position 110: 1.6413294908024152e-06
Position 204: 3.37499946754593e-07
Position 1095: 3.030230142174443e-07
Position 828: 4.5235012276653013e-10
Position 248: 1.2378032754430472e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 750: 0.967096560846066
Position 176: 0.06856159003052137
Position 410: 0.030944319890945544
Position 619: 0.00797412698519342
Position 1137: 0.003994900369407831
Position 707: 0.0036723652119385764
Position 1165: 0.0021957400652346123
Position 209: 0.0013580008664045673
Position 143: 0.001209131531737598
Position 1014: 0.0010298257793033162
Position 497: 0.0008442295488290229
Position 181: 0.0006195511518758131
Position 1063: 0.0005349855483474965
Position 423: 0.0004339479121298713
Position 460: 0.0003781585118286475
Position 387: 0.00026375464963408383
Position 1007: 0.0002635631453831362
Position 835: 0.00025584126399085753
Position 240: 0.0002547075764458186
Position 89: 0.00024958930123938694
Position 785: 0.0002362238408705056
Position 220: 0.0002320120028487442
Position 268: 0.00016417035180892959
Position 1042: 0.0001640112174969404
Position 631: 0.00015060592645024258
Position 875: 0.00010286502350315024
Position 1047: 8.449183770180506e-05
Position 116: 6.832087184001234e-05
Position 373: 6.823426525069306e-05
Position 1078: 5.784678296136622e-05
Position 150: 5.562276445793515e-05
Position 908: 3.2544472015223516e-05
Position 959: 2.8400750983977176e-05
Position 935: 2.7959850256150623e-05
Position 587: 2.763478361671507e-05
Position 636: 1.9451502346335892e-05
Position 660: 1.9256662808307137e-05
Position 583: 1.2250680796128168e-05
Position 672: 8.50788204746382e-06
Position 770: 6.258906824972182e-06
Position 509: 6.036978031814212e-06
Position 941: 5.506081486840984e-06
Position 987: 5.395820806031277e-06
Position 244: 4.890991778943788e-06
Position 905: 4.609362337761448e-06
Position 605: 3.751103677455098e-06
Position 1145: 3.267132251155856e-06
Position 923: 2.3576863129248344e-06
Position 594: 1.2113015237825073e-06
Position 808: 1.1990655757557758e-06
Position 1071: 9.255793559879994e-07
Position 126: 3.8716042351876436e-07
Position 277: 5.078039708642258e-08
Position 326: 1.2498847912059031e-11
Position 347: 1.0322847136160362e-11
Position 331: 3.971980979059346e-12
Position 392: 5.92250503368262e-15
