Gene = Gorab
index = 1194
Annotated 5SS: [191 975]
Annotated 3SS: [ 274 1031]
SMsplice 5SS: [975]
SMsplice 3SS: [1031]
top_k =  500
Partition function (log Z): -4.307980583892486

Sorted 5' Splice Sites (High to Low Probability):
Position 975: 0.9849004847898023
Position 191: 0.6588803798832182
Position 1189: 0.06041131778268042
Position 1193: 0.005348477931752202
Position 1253: 0.005008606034684515
Position 1132: 0.003932423996204677
Position 1262: 0.0027892509951128208
Position 1154: 0.0018794143872181241
Position 970: 0.0015370438183155799
Position 222: 0.0007153570693506278
Position 475: 0.0006064476161186535
Position 579: 0.0005200049747048858
Position 14: 0.0001879726980705572
Position 1415: 0.00015231924458092782
Position 50: 9.8830283148263e-05
Position 30: 9.731413752917866e-05
Position 263: 8.395312443311137e-05
Position 158: 6.46470000654606e-05
Position 32: 5.8286559745166556e-05
Position 902: 5.623000756131159e-05
Position 686: 5.501129218354031e-05
Position 311: 3.753056170079522e-05
Position 638: 3.3055771820745344e-05
Position 919: 2.4422073446925236e-05
Position 57: 2.286314938648041e-05
Position 267: 2.2808416718499174e-05
Position 179: 2.0118959750394917e-05
Position 345: 1.9416391097928404e-05
Position 979: 1.7978789403047585e-05
Position 1404: 1.39744695843465e-05
Position 1260: 1.1518165755141755e-05
Position 1327: 1.0866967108514056e-05
Position 160: 1.03246225902703e-05
Position 40: 9.73341219557394e-06
Position 1304: 9.68146115294684e-06
Position 145: 7.6067701626546825e-06
Position 614: 7.0615487204798405e-06
Position 220: 7.045832294552099e-06
Position 35: 5.6435445925349405e-06
Position 1379: 1.7515728695663811e-06
Position 261: 8.766439009609609e-07
Position 9: 4.1743200694232344e-07
Position 998: 1.0668038240562222e-07
Position 813: 8.327606901289172e-09
Position 81: 3.953288396523328e-09
Position 110: 1.1329733759736566e-09
Position 236: 1.6681964790721492e-10
Position 913: 1.213965208811531e-10
Position 397: 2.7990007659989855e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1031: 0.9909987622593354
Position 614: 0.18602846653883792
Position 586: 0.11978359106777733
Position 274: 0.09722340165732966
Position 526: 0.07763702033625623
Position 1301: 0.06223104004612052
Position 324: 0.062056827866190725
Position 553: 0.03116048171873992
Position 738: 0.018263943536589458
Position 765: 0.014714767694851532
Position 627: 0.011011996054536672
Position 753: 0.010164207628254521
Position 632: 0.006581974659460279
Position 1482: 0.006351676911204266
Position 1241: 0.00552549064539849
Position 1327: 0.004470362514382252
Position 1185: 0.0024301725788005778
Position 831: 0.0024128372354901323
Position 693: 0.0023576377112736286
Position 724: 0.0018608491163634435
Position 557: 0.0018119342955507233
Position 819: 0.0013527363743410068
Position 1053: 0.0011850974165176634
Position 528: 0.0011227939554599381
Position 424: 0.0008957813868957468
Position 674: 0.0008453891111513728
Position 408: 0.0008415598355025431
Position 644: 0.0007606918076583782
Position 1104: 0.0005524088528741537
Position 1074: 0.0005316594514114275
Position 973: 0.0005240376879220267
Position 337: 0.0004896490175659554
Position 1462: 0.0004379885017775834
Position 843: 0.000357539270730709
Position 81: 0.000291922735836043
Position 279: 0.0002530278754051385
Position 1059: 0.00022354157634275096
Position 648: 0.00022059025630539862
Position 116: 0.00018493145533502123
Position 345: 0.0001769769734157843
Position 1101: 0.00017623818736848206
Position 357: 0.00017419897955537928
Position 789: 0.0001716082604592837
Position 656: 0.00013635782100861063
Position 360: 0.00011453801072972548
Position 840: 8.523515619796187e-05
Position 405: 6.86154332611977e-05
Position 441: 5.919526000549409e-05
Position 354: 4.2465284500729494e-05
Position 1132: 3.626398940560876e-05
Position 564: 3.134506958564927e-05
Position 795: 2.9668164418407882e-05
Position 1488: 2.8811698857401154e-05
Position 804: 2.6953532773579425e-05
Position 363: 2.31766068731176e-05
Position 1117: 2.193812127211183e-05
Position 922: 1.4825173877653769e-05
Position 1107: 1.4112702975623308e-05
Position 559: 1.2736018153812827e-05
Position 686: 1.217021027116399e-05
Position 894: 1.0728716058332387e-05
Position 786: 1.0457534605137384e-05
Position 798: 9.436893799115743e-06
Position 1189: 8.965084563027321e-06
Position 1078: 8.380626793496521e-06
Position 271: 6.2647478691777315e-06
Position 218: 4.189858033589348e-06
Position 864: 3.4853227655185915e-06
Position 711: 2.817313537399094e-06
Position 468: 1.958283429836812e-06
Position 366: 1.3659612099743502e-06
Position 375: 1.3042055789046696e-06
Position 1496: 1.3012512624984047e-06
Position 885: 1.1695858144737002e-06
Position 478: 5.255676629586349e-07
Position 135: 1.4139181355400686e-08
Position 99: 2.943185521559451e-09
Position 150: 1.540715800738496e-09
Position 153: 1.3314655067008185e-09
Position 126: 2.8199625152218356e-10
Position 170: 1.0520461539724579e-10
Position 187: 1.1822102990329372e-12
Position 190: 1.9722319155463975e-13
Position 195: 1.8385047797153194e-13
Position 204: 1.5948044853960167e-13
Position 179: 3.1999650164873555e-18
