Gene = BBS1
index = 41
Annotated 5SS: [ 301 1432]
Annotated 3SS: [ 363 1513]
SMsplice 5SS: [ 301  468 1432]
SMsplice 3SS: [ 363  537 1513]
top_k =  500
Partition function (log Z): 3.9130029122365864

Sorted 5' Splice Sites (High to Low Probability):
Position 1432: 0.9955431955803679
Position 301: 0.9741714746512604
Position 468: 0.6694709503972388
Position 1651: 0.09453617421856392
Position 1993: 0.08389652196449034
Position 630: 0.04526382128906145
Position 1633: 0.01717147232286755
Position 1729: 0.0045203760921612235
Position 1436: 0.003959459308509356
Position 312: 0.0027192426784626383
Position 1038: 0.00243297599904275
Position 201: 0.001848054715998596
Position 486: 0.0009166166077774512
Position 639: 0.0009107023202454722
Position 386: 0.0006785352951522864
Position 1840: 0.0004460162072307356
Position 489: 0.0003009206419613616
Position 1661: 0.0002718624788199595
Position 1831: 0.00018324918177147073
Position 499: 0.0001407726574195994
Position 765: 0.00013336188364489383
Position 1593: 0.00010046250120708709
Position 1690: 9.861541583848726e-05
Position 363: 9.392371591994552e-05
Position 634: 7.109337955085586e-05
Position 852: 6.680519208295423e-05
Position 265: 6.069297837296814e-05
Position 122: 5.558918635785888e-05
Position 659: 4.217524582749665e-05
Position 1059: 4.034912975325098e-05
Position 1903: 4.0331682172037206e-05
Position 211: 4.026532087954431e-05
Position 874: 3.441374597842624e-05
Position 1252: 3.121170836051726e-05
Position 2109: 2.6648551994896138e-05
Position 1199: 2.6541380714340288e-05
Position 1046: 2.633448787034373e-05
Position 208: 2.5606244474004824e-05
Position 1004: 2.2976487919781595e-05
Position 425: 2.2783147447640698e-05
Position 1306: 2.1285580579219564e-05
Position 28: 1.9166462966136896e-05
Position 117: 1.5153188298983696e-05
Position 855: 1.1355639273229888e-05
Position 1104: 8.976295019644284e-06
Position 876: 7.700714856345536e-06
Position 1279: 7.1005543092989505e-06
Position 698: 4.426959915446736e-06
Position 1701: 4.3625359388793395e-06
Position 708: 3.30163667730027e-06
Position 1834: 3.1625116285956493e-06
Position 1732: 2.777474923264794e-06
Position 1534: 2.2497486242511317e-06
Position 2050: 2.2440794230706627e-06
Position 2097: 1.7117084910263576e-06
Position 48: 1.6845152865393352e-06
Position 2062: 7.122759157780651e-07
Position 1754: 4.054593479342946e-07
Position 135: 3.9845149382078524e-07
Position 97: 3.2447543757705906e-07
Position 1260: 2.439089244817936e-07
Position 1255: 2.223011357029674e-07
Position 1185: 1.6958801292859575e-07
Position 1263: 1.5898168041925385e-07
Position 1819: 1.5800635592341492e-07
Position 390: 1.2374141684532162e-07
Position 1471: 1.1186183757128806e-07
Position 1547: 8.530347393744252e-08
Position 1166: 6.017660728892596e-08
Position 1239: 2.9163163098592322e-08
Position 372: 2.7770322352812165e-08
Position 1136: 1.0074405685564515e-08
Position 1395: 9.918881958057344e-09
Position 1350: 6.579283663197021e-09
Position 651: 3.2867031021498106e-09
Position 1227: 2.978900073235224e-09
Position 1131: 2.4606290766603303e-09
Position 801: 1.2449372042769886e-09
Position 1128: 1.1983257610090568e-09
Position 1028: 7.028356131724197e-10
Position 819: 6.490805016068097e-10
Position 1526: 8.243762103585809e-11
Position 403: 1.7065241240906157e-11
Position 551: 1.2161458914745542e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1513: 0.9959817084664542
Position 363: 0.9621106891134985
Position 537: 0.5979217325488272
Position 1148: 0.0907621751535574
Position 1773: 0.07064947162903286
Position 2039: 0.06324038735552089
Position 1713: 0.04516509076196011
Position 2112: 0.018235165577765725
Position 773: 0.016471647238632627
Position 443: 0.013818377154891247
Position 682: 0.004402680277425843
Position 824: 0.0025154063465268705
Position 413: 0.002165146924877186
Position 2043: 0.001560831007932129
Position 1488: 0.0015560663856256948
Position 2157: 0.0013343127833715144
Position 968: 0.001227911421175979
Position 1120: 0.0011494730602101808
Position 752: 0.001006904377058565
Position 1301: 0.0008548991777620403
Position 2073: 0.0008525716188240812
Position 1016: 0.0008498694655080567
Position 2050: 0.0008148809784384468
Position 548: 0.0006315127741317504
Position 1534: 0.0005534778917021934
Position 590: 0.0005276864475651959
Position 1037: 0.0005233612801243677
Position 779: 0.00042644176254048475
Position 566: 0.0004093810278096989
Position 1804: 0.0004084867631881459
Position 1268: 0.00037624637600734316
Position 1561: 0.00032706695000557864
Position 620: 0.0003256405490461928
Position 2062: 0.0002824183865097892
Position 911: 0.0001646112661188891
Position 425: 0.0001511729241359128
Position 1564: 9.754683422494512e-05
Position 1373: 8.937557966295681e-05
Position 1526: 7.260100462794397e-05
Position 1181: 7.107772444390682e-05
Position 671: 5.312485619596734e-05
Position 2189: 4.396827938925984e-05
Position 895: 4.31454322028536e-05
Position 1322: 4.274107742854214e-05
Position 593: 4.0213645393690763e-05
Position 2019: 2.6611653351518507e-05
Position 630: 2.45445021727435e-05
Position 2045: 2.3254668722303922e-05
Position 1874: 2.1523456566133093e-05
Position 1166: 2.01284058552035e-05
Position 97: 2.002579252802658e-05
Position 794: 1.8680616653407273e-05
Position 1403: 1.5502627259739208e-05
Position 337: 1.5128505520403939e-05
Position 1539: 1.3107422348311562e-05
Position 1793: 1.2673656285055528e-05
Position 1025: 7.281552519561815e-06
Position 1178: 7.152456421822363e-06
Position 1382: 5.63389753932511e-06
Position 390: 4.7978147268134e-06
Position 252: 4.480850689790094e-06
Position 2183: 3.03794404591776e-06
Position 746: 2.801676397765687e-06
Position 1638: 2.3539776309359085e-06
Position 494: 1.4499026022128105e-06
Position 224: 7.209012569928181e-07
Position 265: 6.652661043124321e-07
Position 200: 5.248787259057187e-07
Position 1807: 5.243821014433783e-07
Position 1917: 4.564737423044148e-07
Position 233: 3.5685894380297946e-07
Position 122: 1.7819397430680126e-07
Position 1570: 1.1315121125445282e-07
Position 230: 3.567349334165398e-08
Position 386: 2.9694504562827836e-08
Position 179: 1.689915818010575e-08
Position 461: 4.9197016112730105e-09
Position 293: 2.579734758575458e-09
Position 452: 2.105680142555285e-09
Position 304: 1.3905131775696492e-09
Position 499: 1.2831794648912062e-09
Position 182: 9.897634919602114e-10
Position 287: 6.527264252534746e-10
Position 587: 4.4323214623075094e-10
Position 467: 2.665791138153834e-10
Position 112: 2.193123166555871e-10
