Gene = Fitm
index = 1170
Annotated 5SS: [191 869]
Annotated 3SS: [264 927]
SMsplice 5SS: [191 869]
SMsplice 3SS: [264 927]
top_k =  500
Partition function (log Z): -3.531320244177339

Sorted 5' Splice Sites (High to Low Probability):
Position 191: 0.9750679233052933
Position 869: 0.896583048262429
Position 562: 0.0169617831504366
Position 873: 0.01658500776542184
Position 195: 0.014928979335915839
Position 570: 0.005014546126124609
Position 377: 0.003840629957668406
Position 447: 0.002968015214029141
Position 1908: 0.0027600035686608545
Position 1254: 0.0016453100130479157
Position 1731: 0.0015747953689705832
Position 1293: 0.0015062737765120114
Position 1736: 0.0014976789546323195
Position 581: 0.0013243824144973328
Position 888: 0.0007390988861184984
Position 353: 0.000631318737424196
Position 585: 0.0005751545041175922
Position 505: 0.0005440771181194103
Position 598: 0.00044213612925028906
Position 1250: 0.00032087819686520196
Position 1325: 0.00021520331964300054
Position 525: 0.00017587509348667387
Position 362: 0.00014395164498243215
Position 1268: 0.000125791208858655
Position 514: 0.00011183044432697475
Position 109: 0.00011082792486266702
Position 58: 7.445543015934032e-05
Position 1238: 4.863270756413078e-05
Position 1175: 4.8628624771060004e-05
Position 1346: 4.111966673057304e-05
Position 179: 3.998021486470455e-05
Position 741: 3.5836885814487524e-05
Position 706: 3.2350093394500955e-05
Position 302: 3.207937730427148e-05
Position 1360: 3.140914407099911e-05
Position 1686: 2.9409108870584052e-05
Position 807: 2.7196904276489675e-05
Position 832: 2.5071115381392958e-05
Position 928: 2.1840730852086073e-05
Position 404: 2.0065709592333336e-05
Position 1681: 1.8720017747378088e-05
Position 718: 1.6235658649904236e-05
Position 210: 1.4283245215851267e-05
Position 589: 1.1525704453238004e-05
Position 1912: 1.0522022017993799e-05
Position 961: 1.0467061627816387e-05
Position 389: 8.996534364734046e-06
Position 1453: 8.795209373159377e-06
Position 1042: 6.187817924583548e-06
Position 199: 2.9019890519616777e-06
Position 630: 2.645985824667767e-06
Position 7: 2.5081286408960252e-06
Position 703: 1.7625574485725554e-06
Position 151: 1.367642234864096e-06
Position 113: 1.0686434512660029e-06
Position 184: 7.287353394847123e-07
Position 613: 3.6141161149336294e-07
Position 14: 2.6967770257484054e-07
Position 294: 8.929852981921352e-08
Position 33: 7.138584756058713e-08
Position 886: 3.990482379476629e-08
Position 835: 3.6899407827804e-08
Position 949: 3.649027001318493e-08
Position 916: 6.694932135942648e-09
Position 914: 4.596443152308602e-09
Position 968: 3.9112464940309094e-09
Position 825: 2.4991861595521923e-09
Position 670: 1.996649076984013e-09
Position 1023: 1.4362944731636363e-09
Position 787: 8.879791612246932e-10
Position 663: 6.224319573004713e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 264: 0.9572154270597371
Position 927: 0.8748002460643249
Position 627: 0.035661395835650575
Position 1018: 0.03273930372419406
Position 422: 0.02176729256473009
Position 956: 0.006287598567535239
Position 1775: 0.004546032054124785
Position 1964: 0.0020980176532684686
Position 1810: 0.0015695923806613393
Position 1430: 0.0014076742521344214
Position 282: 0.0013337949376927597
Position 663: 0.0012868515819200997
Position 1817: 0.0008432095645145103
Position 581: 0.000825192130142704
Position 1970: 0.0007889159809194422
Position 328: 0.0006357120602383458
Position 675: 0.0005833377758944346
Position 1814: 0.0004594914469038339
Position 302: 0.00044613682342927856
Position 793: 0.0003413047184369473
Position 1483: 0.00019267152287592019
Position 1622: 0.00016733354581161387
Position 1625: 0.00015506627743262476
Position 946: 0.00013008916898515078
Position 294: 0.000105574744508854
Position 565: 0.00010500601578739882
Position 1102: 7.16768917918281e-05
Position 974: 6.943831121560687e-05
Position 1232: 6.402285911430275e-05
Position 534: 5.8134987650524545e-05
Position 1396: 4.615557977925886e-05
Position 446: 4.447577980615418e-05
Position 109: 4.090651741762176e-05
Position 488: 2.9322393010839247e-05
Position 430: 2.1030152735040524e-05
Position 1292: 1.438128013256776e-05
Position 822: 1.4351418041872561e-05
Position 1576: 1.0125551489837323e-05
Position 334: 8.588029746409625e-06
Position 151: 7.97093511836652e-06
Position 1169: 6.923619076548737e-06
Position 322: 6.440752493365074e-06
Position 1070: 5.911460001612569e-06
Position 562: 2.4285509192508326e-06
Position 122: 1.9117789322432317e-06
Position 190: 1.8938410886902208e-06
Position 78: 1.3933320895544558e-06
Position 531: 7.802096907249314e-07
Position 348: 6.08049589305214e-07
Position 867: 5.409730747625616e-07
Position 454: 2.030571879468218e-07
Position 135: 1.8728593785388498e-07
Position 389: 1.6326735531120175e-07
Position 99: 5.454612349323464e-09
Position 195: 3.111111758364757e-11
