Gene = Mpp6
index = 1285
Annotated 5SS: [41]
Annotated 3SS: [103]
SMsplice 5SS: [41]
SMsplice 3SS: [103]
top_k =  500
Partition function (log Z): -5.742718522847474

Sorted 5' Splice Sites (High to Low Probability):
Position 41: 0.9906482006950456
Position 410: 0.23658190197976967
Position 221: 0.07788722466916166
Position 405: 0.05254589928868429
Position 401: 0.00652831600918914
Position 1007: 0.003172718531168411
Position 277: 0.0026129525048131145
Position 388: 0.002069142951518351
Position 397: 0.0015712822525194984
Position 989: 0.0010899509959939346
Position 580: 0.001026559037229401
Position 160: 0.000916623152044675
Position 608: 0.0009101716197683893
Position 266: 0.0007985142474843013
Position 1161: 0.00026353888923505724
Position 470: 0.00023540135228377845
Position 191: 0.00021922525692107386
Position 570: 0.00017208670831203745
Position 618: 0.0001412681518523453
Position 215: 9.45084395732302e-05
Position 228: 7.158633584844476e-05
Position 629: 4.790534760768903e-05
Position 1171: 4.024641730383275e-05
Position 150: 3.9385771144738075e-05
Position 1322: 3.104436817139205e-05
Position 342: 2.6930236963443098e-05
Position 1305: 1.019367997694055e-05
Position 1063: 8.340282568298043e-06
Position 138: 2.345055488543152e-06
Position 96: 2.381227266553145e-07
Position 103: 1.246181399909938e-07
Position 573: 1.0345400384624501e-07
Position 108: 6.397378103848824e-08
Position 371: 4.8147320955063606e-08
Position 359: 3.306078499338949e-08
Position 115: 1.4230848406921008e-08
Position 320: 5.0386380815555285e-09
Position 314: 2.5009542241521864e-09
Position 454: 2.329213093493291e-09
Position 329: 1.5304012716783454e-09
Position 1110: 6.65911930388437e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 103: 0.9166697596683057
Position 470: 0.2791261639972004
Position 276: 0.09348965616572831
Position 108: 0.037117527985225975
Position 336: 0.010063051673927716
Position 661: 0.009168800248825984
Position 700: 0.008356161638529952
Position 307: 0.0072075565958900755
Position 1304: 0.003990249931625619
Position 629: 0.0019309896215281117
Position 528: 0.0018218658135442528
Position 191: 0.001819764902362401
Position 551: 0.0012586138290274402
Position 1078: 0.001030029157400372
Position 644: 0.0009638711002936688
Position 115: 0.0008821042820584617
Position 127: 0.0008057260315355936
Position 678: 0.0008026280804933142
Position 742: 0.0006892087084043017
Position 1050: 0.0004645055400174536
Position 291: 0.0004003159080153766
Position 220: 0.00029299797520002173
Position 1089: 0.00027686967212630194
Position 208: 0.0002535315913741025
Position 1203: 0.00022654089595148987
Position 1355: 9.78140080575812e-05
Position 1365: 9.473362696992844e-05
Position 532: 9.269038271616397e-05
Position 1268: 7.962088776445091e-05
Position 940: 5.2471232812479926e-05
Position 1093: 4.857638930742755e-05
Position 320: 3.8405028480784235e-05
Position 884: 3.398393038570097e-05
Position 1210: 3.339432020109155e-05
Position 733: 2.7299172391160687e-05
Position 509: 1.8195882935910455e-05
Position 431: 1.811866773140107e-05
Position 1388: 1.2413857695983514e-05
Position 1325: 6.371823808055535e-06
Position 347: 6.025755865328603e-07
Position 352: 4.771780260328181e-07
Position 897: 1.305271224213288e-07
Position 408: 1.2064708458132832e-07
Position 382: 1.1632657433013673e-07
Position 369: 7.442012189845023e-08
