Gene = Pomp
index = 1386
Annotated 5SS: [130 460]
Annotated 3SS: [193 746]
SMsplice 5SS: [130 460]
SMsplice 3SS: [193 746]
top_k =  500
Partition function (log Z): -1.2859570184171512

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9456302417849236
Position 460: 0.788957763974675
Position 431: 0.1912699261917458
Position 986: 0.06478811655940966
Position 657: 0.0035322812909103427
Position 630: 0.002474384682146248
Position 1198: 0.0006807419652260177
Position 665: 0.0006139739723238919
Position 476: 0.0005948238540916752
Position 1129: 0.000537734121280534
Position 970: 0.0005173283700285024
Position 426: 0.0004625408263453975
Position 23: 0.000354301664572762
Position 677: 0.0003522548542313844
Position 1351: 0.0003489213402951757
Position 1219: 0.0003277264411483324
Position 66: 0.0002464094287145086
Position 1276: 0.00024076517123410604
Position 39: 0.0002027697919213917
Position 648: 0.00019946854111198506
Position 853: 0.00018894317761525292
Position 134: 0.0001821008740699082
Position 646: 0.00011984357959808945
Position 1065: 0.00011712966439375171
Position 343: 8.724570105128698e-05
Position 389: 6.800172715573217e-05
Position 898: 6.62009480651877e-05
Position 836: 5.7496939721290346e-05
Position 850: 5.688874577738087e-05
Position 1032: 5.525542016143737e-05
Position 1369: 5.13746159607276e-05
Position 492: 3.827191248679836e-05
Position 883: 2.438099216625362e-05
Position 254: 2.1702424026016867e-05
Position 1025: 1.8968443220395476e-05
Position 229: 1.865963560879985e-05
Position 1241: 1.2251913601342326e-05
Position 299: 1.0645910739212424e-05
Position 227: 5.7438659199141255e-06
Position 1135: 5.603036188808204e-06
Position 12: 5.016954169865598e-06
Position 539: 4.009159437246861e-06
Position 1178: 3.2832726963951214e-06
Position 155: 2.6626437354459777e-06
Position 1150: 2.3439203660200477e-06
Position 1069: 1.823649979075439e-06
Position 252: 1.6679134607302509e-06
Position 146: 1.5927625463173264e-06
Position 212: 1.392087320850042e-06
Position 454: 1.2474555981844749e-06
Position 70: 1.02183662541917e-06
Position 193: 2.7167144168654627e-08
Position 233: 1.184682738547565e-08
Position 779: 6.84465588582783e-09
Position 1036: 3.1235939110451413e-09
Position 1132: 5.443716530987562e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 746: 0.9908574574846233
Position 193: 0.9199962093920758
Position 1065: 0.04919060904015368
Position 199: 0.01648282985651587
Position 1250: 0.011379747205212986
Position 677: 0.005348928520121267
Position 1396: 0.0023762469935884093
Position 1125: 0.002184549277024403
Position 1338: 0.0013871426022795715
Position 1436: 0.0008404638273940492
Position 212: 0.0006216814968842774
Position 700: 0.0005414113655589843
Position 1263: 0.0004288249675381688
Position 361: 0.0003627989021308856
Position 1128: 0.00028640775761304323
Position 79: 0.00018411892657131033
Position 217: 0.0001823217784940502
Position 115: 0.00013375284505860743
Position 554: 0.00012043223227269751
Position 1340: 8.843132541045434e-05
Position 589: 6.617929623315598e-05
Position 920: 6.242207808470252e-05
Position 492: 5.1797580400185966e-05
Position 1169: 3.9573521099382525e-05
Position 226: 3.681329161014522e-05
Position 1369: 3.19825090028183e-05
Position 657: 3.189404387466489e-05
Position 322: 2.7052686499727332e-05
Position 501: 2.4850415152592033e-05
Position 514: 2.2730673967245183e-05
Position 1285: 2.1814663467859907e-05
Position 946: 2.1602373780412886e-05
Position 1145: 2.0906096380129656e-05
Position 459: 2.0904762112658478e-05
Position 158: 1.5996386209742363e-05
Position 1213: 1.5969902962294802e-05
Position 400: 7.858543196362778e-06
Position 979: 7.775977776695413e-06
Position 343: 6.695978215145312e-06
Position 155: 6.394824185955936e-06
Position 271: 5.977764022980741e-06
Position 824: 5.861433892142839e-06
Position 1215: 5.399125001621369e-06
Position 522: 4.097769279673513e-06
Position 430: 3.873167138289804e-06
Position 935: 2.0059028350944653e-06
Position 1351: 1.583178857159366e-06
Position 134: 3.344355185828394e-07
Position 529: 1.4312579010045653e-07
Position 819: 1.1718828336868443e-07
Position 883: 6.957981455069531e-08
Position 898: 6.564974033531911e-08
Position 798: 6.053041991968611e-08
Position 337: 3.4492256275530663e-08
Position 951: 3.139288007979699e-08
Position 412: 2.7210349201903e-08
Position 146: 2.4558577957002602e-08
Position 840: 7.072051569668466e-09
Position 379: 6.901589473202719e-11
Position 160: 8.945126010996381e-16
