Gene = Syx8
index = 1536
Annotated 5SS: [617]
Annotated 3SS: [669]
SMsplice 5SS: [617]
SMsplice 3SS: [669]
top_k =  500
Partition function (log Z): -5.831824630039526

Sorted 5' Splice Sites (High to Low Probability):
Position 617: 0.9418899141940601
Position 601: 0.046889952171457444
Position 621: 0.00903184543502305
Position 151: 0.002919898775051463
Position 544: 0.0012187759874864048
Position 375: 0.0011652016719482946
Position 195: 0.0008294614116544963
Position 265: 0.0005076011983430004
Position 797: 0.000325956740071646
Position 449: 0.00011210073099183435
Position 747: 0.00010909674128654102
Position 14: 7.138590644575627e-05
Position 386: 6.822722534759719e-05
Position 849: 6.526745832134042e-05
Position 8: 4.3492933737253976e-05
Position 114: 3.15598036515055e-05
Position 852: 2.163784399216508e-05
Position 268: 1.7675819280305736e-05
Position 819: 1.587992577778694e-05
Position 763: 1.0124496144642568e-05
Position 484: 6.675269803548119e-06
Position 715: 5.19979843136432e-06
Position 35: 4.113753533268687e-06
Position 825: 3.838163072625742e-06
Position 666: 2.8646120856961884e-06
Position 886: 2.7587381845300067e-06
Position 416: 1.5764171787783677e-06
Position 88: 9.160020393397283e-07
Position 783: 8.762473222549535e-07
Position 816: 6.786532218086538e-07
Position 199: 6.46852402098438e-07
Position 879: 6.333768343893823e-07
Position 801: 1.9808985486748265e-07
Position 703: 1.8584977199840785e-07
Position 813: 1.545020026163822e-07
Position 561: 1.1056792979561663e-07
Position 894: 8.881827788234802e-08
Position 400: 4.581567810695462e-08
Position 717: 4.0137576674030705e-08
Position 38: 2.6951799879960408e-08
Position 631: 3.0393106053302778e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 669: 0.9984224313479713
Position 429: 0.003075496695578936
Position 746: 0.0013161588943608042
Position 215: 0.0011229624759018773
Position 849: 0.0003115565841454778
Position 435: 0.0002616105575447668
Position 905: 0.00020582279599626118
Position 65: 0.00010959996075586808
Position 354: 8.660720507640466e-05
Position 566: 8.175022599170222e-05
Position 722: 6.250663875613722e-05
Position 264: 5.6699524262039326e-05
Position 830: 5.595616250924782e-05
Position 501: 2.7162601916211066e-05
Position 792: 2.646574242555482e-05
Position 935: 2.5147301291387023e-05
Position 734: 1.8112407901659524e-05
Position 938: 1.2705937418886357e-05
Position 528: 1.0156891536880668e-05
Position 341: 9.92102830648032e-06
Position 588: 7.537053077115763e-06
Position 507: 7.010425932508929e-06
Position 212: 6.120906052053493e-06
Position 763: 5.592171722909645e-06
Position 255: 5.198192215741253e-06
Position 455: 4.805087524495511e-06
Position 222: 4.63586007829892e-06
Position 489: 4.27251441638991e-06
Position 232: 4.108366724389982e-06
Position 165: 3.96855746872525e-06
Position 237: 3.5246478413164213e-06
Position 553: 3.49536399817741e-06
Position 71: 2.5212559437603864e-06
Position 448: 2.3762588799707735e-06
Position 74: 2.324357069727113e-06
Position 389: 2.1291621580576898e-06
Position 525: 1.690384984050996e-06
Position 570: 1.602535982520136e-06
Position 386: 1.239350401190823e-06
Position 171: 1.064529121700953e-06
Position 631: 7.560822463198032e-07
Position 375: 4.319520317225115e-07
Position 498: 3.465209592611366e-07
Position 294: 3.439383625960502e-07
Position 246: 2.294554929869529e-07
Position 174: 1.5320337608311642e-07
Position 312: 1.1337856320436418e-07
Position 513: 8.511762320103958e-08
Position 612: 7.224656031258412e-08
Position 195: 2.3064787147507932e-08
Position 144: 1.977506166776281e-08
Position 114: 1.8881747703838387e-08
Position 321: 1.7016516954091305e-08
Position 234: 1.6192743405599357e-08
Position 363: 6.405317741864759e-09
Position 600: 3.888818870129067e-09
Position 120: 5.6865260335321254e-12
Position 306: 2.290653739198019e-12
Position 76: 6.107301134126433e-13
Position 185: 7.556096391867722e-14
Position 129: 1.621522512249016e-16
Position 191: 2.4676463248796678e-17
