Gene = Sbp2
index = 1470
Annotated 5SS: [530 812]
Annotated 3SS: [590 864]
SMsplice 5SS: [530 812]
SMsplice 3SS: [590 864]
top_k =  500
Partition function (log Z): -3.481250507554232

Sorted 5' Splice Sites (High to Low Probability):
Position 530: 0.9813810957943305
Position 812: 0.7653465978524457
Position 244: 0.04503432507044774
Position 321: 0.006136751815084557
Position 763: 0.0039006479250138833
Position 498: 0.0027599683562262918
Position 393: 0.002182758053685508
Position 390: 0.0013116689434540538
Position 544: 0.0009671082277342926
Position 457: 0.0008633281899466689
Position 308: 0.0007570338928755497
Position 816: 0.0006899104119268562
Position 113: 0.000512175954935954
Position 317: 0.00044739923842389506
Position 438: 0.0002947270306629554
Position 397: 0.00016840592016863774
Position 327: 0.00012080326851021444
Position 547: 8.062303339157869e-05
Position 771: 5.079148403816323e-05
Position 865: 4.43404404149279e-05
Position 325: 2.835297926957936e-05
Position 384: 2.586408906860394e-05
Position 360: 2.5759235908906964e-05
Position 255: 1.4127379195387618e-05
Position 918: 1.1900753947587751e-05
Position 827: 5.765426472830472e-06
Position 990: 4.206522041345367e-06
Position 1067: 2.7399415319573927e-06
Position 165: 2.2706023308766686e-06
Position 774: 1.5189350497045785e-06
Position 985: 1.3548899009890066e-06
Position 1088: 1.058425629212707e-06
Position 596: 9.846294347077787e-07
Position 642: 7.9283253997e-07
Position 727: 7.114189551743069e-07
Position 718: 6.586522548601195e-07
Position 575: 1.7058931620508198e-07
Position 1060: 1.6014949848992753e-07
Position 611: 9.998933670559578e-08
Position 562: 9.40581242285711e-08
Position 627: 7.539826582098248e-08
Position 639: 6.457508855856478e-08
Position 72: 4.147318452757705e-08
Position 725: 9.790314185319872e-12
Position 868: 6.6900948799427966e-12
Position 701: 1.3515741479425945e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 590: 0.9968977956068731
Position 864: 0.6735350535838308
Position 911: 0.03598423283345392
Position 296: 0.028174717551113088
Position 908: 0.020098303468086692
Position 873: 0.015330127421639837
Position 293: 0.00963955574508451
Position 971: 0.00606867420398482
Position 888: 0.006002987428613196
Position 885: 0.005108871529197491
Position 457: 0.0043942222768770635
Position 946: 0.003662958068195829
Position 1032: 0.002459153722186609
Position 307: 0.0017035548415442385
Position 1050: 0.000790006402761885
Position 839: 0.0007324447883921893
Position 299: 0.000637610756100802
Position 347: 0.0005448447603510519
Position 344: 0.00037606038456945733
Position 269: 0.00011695462589568438
Position 381: 0.00011011771025800588
Position 489: 0.00010646833457145071
Position 975: 9.109109993065827e-05
Position 943: 8.723303479656106e-05
Position 1126: 5.55968021503423e-05
Position 393: 5.230755183974355e-05
Position 526: 5.089497487602054e-05
Position 639: 4.750003380577026e-05
Position 390: 4.7188033726752886e-05
Position 666: 4.136945192460954e-05
Position 498: 3.860263759901854e-05
Position 669: 3.67438534338986e-05
Position 624: 2.0348949231087032e-05
Position 1052: 1.902879714898268e-05
Position 1014: 1.5201046668515273e-05
Position 1120: 1.4261066676971854e-05
Position 1078: 1.2534510160379023e-05
Position 431: 1.0322076064705055e-05
Position 173: 9.914924326419397e-06
Position 231: 8.134804093122526e-06
Position 1132: 8.010513972005953e-06
Position 317: 7.883237784978215e-06
Position 647: 5.4383753202990235e-06
Position 366: 4.066990119635987e-06
Position 1135: 3.533409701421983e-06
Position 247: 3.2957569041635136e-06
Position 438: 3.0954443931709177e-06
Position 360: 1.408431862714906e-06
Position 812: 1.3311002655730426e-06
Position 402: 1.06580603110133e-06
Position 221: 1.059788162761764e-06
Position 243: 7.905480932177798e-07
Position 736: 7.756873976358805e-07
Position 384: 7.193202275568424e-07
Position 241: 6.101729909533366e-07
Position 697: 4.48406507351741e-07
Position 529: 4.471311739672857e-07
Position 918: 4.301707849669273e-07
Position 255: 3.9456858106592797e-07
Position 193: 3.680259826633175e-07
Position 627: 3.4234023209677847e-07
Position 690: 3.0874559772786793e-07
Position 203: 2.097454224432323e-07
Position 314: 1.0938536131150699e-07
Position 368: 3.8967412054877994e-08
Position 178: 3.309018188766267e-08
Position 733: 2.0170628524233412e-08
Position 752: 8.119564239883508e-09
Position 130: 6.181472551448034e-10
Position 125: 1.035036613234807e-10
Position 143: 3.551320262671841e-12
Position 140: 1.6350098356862212e-15
