Gene = arx
index = 1612
Annotated 5SS: [235]
Annotated 3SS: [302]
SMsplice 5SS: [235]
SMsplice 3SS: [302]
top_k =  500
Partition function (log Z): -8.199461617764962

Sorted 5' Splice Sites (High to Low Probability):
Position 235: 0.8233362952108819
Position 187: 0.15592036311161012
Position 453: 0.01636654743594948
Position 477: 0.011531362040483857
Position 653: 0.0053454380762844355
Position 239: 0.004883095445418898
Position 430: 0.0042715506787915835
Position 266: 0.004115048880792894
Position 175: 0.0033446716168564535
Position 252: 0.0014834183336546064
Position 650: 0.0011853806860398187
Position 155: 0.0002086228839333096
Position 203: 0.00016309574041917994
Position 460: 0.0001586017676210099
Position 255: 9.307358601369255e-05
Position 401: 8.554712229621668e-05
Position 791: 6.901564417449016e-05
Position 157: 6.713783447350576e-05
Position 432: 6.435230318319719e-05
Position 45: 6.304802522929341e-05
Position 4: 2.8884336806366854e-05
Position 659: 1.9329624610322015e-05
Position 258: 1.9065907706105553e-05
Position 880: 1.4536897298667637e-05
Position 494: 1.0326390696181866e-05
Position 228: 9.81914467184407e-06
Position 299: 9.116893421788594e-06
Position 763: 8.690253293671907e-06
Position 657: 7.813913306253331e-06
Position 803: 5.976732748334496e-06
Position 888: 2.3019700626109185e-06
Position 725: 1.1229334637644354e-06
Position 50: 3.76560219497485e-07
Position 85: 2.4698817456607663e-07
Position 317: 5.3678521666553907e-08
Position 339: 2.993811846458685e-08
Position 270: 1.172887046033405e-08
Position 96: 9.185599992910506e-09
Position 191: 2.4772763731402565e-09
Position 366: 1.1709097478820352e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 302: 0.6296167757648308
Position 350: 0.1415322758823317
Position 281: 0.10319340417950867
Position 509: 0.034607863321771154
Position 339: 0.031433912884806174
Position 286: 0.023862459495755717
Position 244: 0.019806426612098107
Position 530: 0.014292688731743082
Position 921: 0.012147522145194937
Position 373: 0.010022913216092506
Position 452: 0.003793895335393147
Position 514: 0.0022202813812545836
Position 803: 0.0021249349833732598
Position 355: 0.0014884342024377361
Position 255: 0.000438163354649376
Position 258: 0.00037388526614390635
Position 378: 0.0003697920340004661
Position 466: 0.00036893351466199553
Position 808: 0.00036560976243716037
Position 791: 0.0002692159305330197
Position 395: 0.00014298684871446752
Position 385: 0.00011272030312638794
Position 938: 0.00011236061039550457
Position 105: 6.130602911182115e-05
Position 628: 4.735422323958352e-05
Position 220: 3.2035366261160216e-05
Position 688: 2.4000630828168975e-05
Position 203: 2.1964506405940153e-05
Position 323: 3.7381554377407863e-06
Position 846: 3.564721750123812e-06
Position 108: 1.5543118507410334e-06
Position 129: 2.693833800410417e-07
Position 228: 5.148911426224459e-08
Position 407: 1.9759079086411218e-08
Position 138: 1.7631304329974584e-08
Position 239: 1.6632970370630385e-08
Position 126: 1.2214805494832179e-08
Position 563: 5.922707871644869e-09
Position 169: 5.847778324629801e-09
Position 572: 3.495433718299694e-09
Position 575: 3.447242558173541e-09
Position 222: 1.9116744357118566e-09
Position 135: 5.490530154813502e-10
