Gene = l(2)35Be
index = 1744
Annotated 5SS: [226]
Annotated 3SS: [274]
SMsplice 5SS: [226]
SMsplice 3SS: [274]
top_k =  500
Partition function (log Z): -5.065106265005477

Sorted 5' Splice Sites (High to Low Probability):
Position 226: 0.9993650074546953
Position 44: 0.007564474066207012
Position 164: 0.0002481597543751595
Position 168: 0.0001386062957917477
Position 230: 9.513425863856296e-05
Position 17: 7.386528279718538e-05
Position 559: 3.967121923867851e-05
Position 700: 3.141193325640248e-05
Position 435: 2.2174020010056154e-05
Position 328: 1.7655562979630954e-05
Position 52: 1.5423211412588883e-05
Position 447: 4.413063646954426e-06
Position 361: 4.27580142314427e-06
Position 304: 1.8627173001620461e-06
Position 741: 1.8381320976724598e-06
Position 510: 1.4119654598036563e-06
Position 713: 1.315433438681097e-06
Position 297: 8.476521678325759e-07
Position 421: 7.536970890382862e-07
Position 126: 7.054015636741032e-07
Position 710: 6.691417967502582e-07
Position 253: 6.316711071817527e-07
Position 150: 6.021325652435336e-07
Position 725: 1.2203908160405586e-07
Position 637: 1.0518966697059167e-07
Position 546: 8.065951509537947e-08
Position 612: 6.072145456479316e-09
Position 620: 5.04677200755656e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 274: 0.6003047344515573
Position 278: 0.37631800552341566
Position 355: 0.012961149219970295
Position 125: 0.007625028279128546
Position 323: 0.004282797000656794
Position 546: 0.0025363247114583752
Position 447: 0.0017052022721090953
Position 820: 0.0006268847638375252
Position 327: 0.000362607400029291
Position 312: 0.00023499013686703336
Position 435: 0.0002019924083738909
Position 510: 0.00019103476446649195
Position 585: 8.113960781323714e-05
Position 797: 4.537012800699981e-05
Position 372: 4.044063199207568e-05
Position 477: 3.551994461075144e-05
Position 663: 3.0508723552391704e-05
Position 134: 1.0177922023079318e-05
Position 672: 7.699886208815543e-06
Position 150: 7.1689558901396785e-06
Position 582: 6.011201551509197e-06
Position 245: 5.426192330638777e-06
Position 403: 4.5821144190401075e-06
Position 741: 2.0723814356479285e-06
Position 675: 1.7862954639110251e-06
Position 253: 1.416326305258062e-06
Position 131: 8.201494577889786e-07
Position 781: 1.2735918753594555e-07
Position 247: 9.191096422964336e-08
Position 725: 8.095429149975751e-08
Position 687: 2.07997386661828e-08
Position 207: 9.852986687812243e-09
Position 215: 6.58959762955894e-09
Position 172: 1.1637095661305276e-11
Position 226: 2.2590752907000583e-12
Position 209: 1.7265677129878908e-12
Position 233: 6.454565617658714e-13
Position 230: 2.7297268233143034e-13
