Gene = ND-MLRQ
index = 1304
Annotated 5SS: [ 151  355 2277]
Annotated 3SS: [ 207 2130 6516]
SMsplice 5SS: [ 151  355 1742]
SMsplice 3SS: [ 207 1431 2130]
top_k =  500
Partition function (log Z): -7.5556798475978795

Sorted 5' Splice Sites (High to Low Probability):
Position 355: 0.9686634786838899
Position 151: 0.8362842767942504
Position 1742: 0.49628109475112825
Position 44: 0.15830762615300722
Position 2277: 0.13217219325171375
Position 1961: 0.10149936655937583
Position 2227: 0.05597449275277279
Position 579: 0.030467925403681387
Position 1198: 0.02577971236571189
Position 1847: 0.025466010851390174
Position 1863: 0.02368940536063844
Position 2580: 0.018500715020884906
Position 39: 0.018359279762034865
Position 1521: 0.014622932338693832
Position 746: 0.014141822225893368
Position 791: 0.01150454656603014
Position 1494: 0.010580842803723253
Position 2554: 0.009474252377492892
Position 608: 0.008230068352488117
Position 1954: 0.007962338358270205
Position 4677: 0.007761290990066543
Position 4947: 0.006727960939480362
Position 1206: 0.0060816271802698624
Position 1189: 0.005828470204687995
Position 968: 0.0054815630105482785
Position 2756: 0.005390959851252826
Position 706: 0.005339855584176203
Position 1305: 0.0037646033517629005
Position 1897: 0.0035306971498166918
Position 34: 0.003097903675753016
Position 1789: 0.0029389605962760433
Position 1578: 0.002625779302352862
Position 1697: 0.0015391304861064063
Position 1058: 0.0014323091814007142
Position 1530: 0.0014122639123263058
Position 2690: 0.0013143193479084948
Position 1167: 0.0009771905576225893
Position 333: 0.0008833968958380454
Position 2713: 0.000614524506607412
Position 1665: 0.0006135558802321708
Position 2744: 0.0005809201759142141
Position 1100: 0.0005115014823024245
Position 1004: 0.000506201006465615
Position 999: 0.00035097952536197464
Position 2722: 0.0003384855945377658
Position 619: 0.0003327631344197944
Position 3063: 0.00030735996389990943
Position 3372: 0.00030417758715751416
Position 1605: 0.00026855701858002955
Position 1724: 0.0002512541012014865
Position 978: 0.00024455249930170316
Position 1867: 0.00020388376989974977
Position 1736: 0.0001803822355813766
Position 1308: 0.0001758252501220472
Position 694: 0.00014228091334979299
Position 1802: 0.00013518993973868349
Position 2263: 0.00010612122960190737
Position 131: 0.00010030011541260231
Position 423: 7.729025264346774e-05
Position 555: 7.657590747670965e-05
Position 549: 4.334828198606212e-05
Position 859: 3.9687010969903386e-05
Position 1478: 3.675607358082026e-05
Position 612: 3.522492249678484e-05
Position 155: 3.370642556591507e-05
Position 116: 3.188778952285304e-05
Position 558: 1.9335258659972835e-05
