Gene = Pldn
index = 1384
Annotated 5SS: [  92  360  503 1174]
Annotated 3SS: [ 149  417 1086 1290]
SMsplice 5SS: [ 503 1174]
SMsplice 3SS: [1086 1290]
top_k =  500
Partition function (log Z): -1.6057180143710812

Sorted 5' Splice Sites (High to Low Probability):
Position 1174: 0.9405329847813978
Position 503: 0.7750499405215379
Position 1028: 0.39785649566642767
Position 360: 0.3591793827783335
Position 92: 0.31454657717718915
Position 39: 0.03583959774991704
Position 1226: 0.02992024389187011
Position 537: 0.026390456037979456
Position 970: 0.021401037623191576
Position 1217: 0.014923575591253128
Position 618: 0.007186652638008154
Position 420: 0.006460014028903411
Position 1501: 0.004199897699836511
Position 532: 0.003248600004474693
Position 589: 0.0014652593938420182
Position 334: 0.001227941916485809
Position 1647: 0.0012062737340627512
Position 369: 0.0011569299426284706
Position 1416: 0.000776277021703953
Position 1595: 0.0006305093621935177
Position 927: 0.0005958085730315317
Position 51: 0.0005575917632612543
Position 1525: 0.0004257677234168472
Position 1167: 0.0004125184000507523
Position 547: 0.0003744321648519759
Position 530: 0.0003573454877443763
Position 1443: 0.0002738431728958791
Position 974: 0.00019611820313520273
Position 692: 0.0001913228564591905
Position 1453: 0.0001500976218142089
Position 372: 0.00014836046980610246
Position 111: 0.00014614554889916156
Position 645: 0.00013820231295618788
Position 662: 8.841991046144613e-05
Position 720: 8.246962341262298e-05
Position 1481: 7.430204420864027e-05
Position 288: 6.856816554777204e-05
Position 1514: 6.356689356496987e-05
Position 507: 6.218589105335045e-05
Position 854: 6.0138814473818575e-05
Position 522: 5.294916178647065e-05
Position 131: 4.7456402166948196e-05
Position 109: 4.403146420635014e-05
Position 824: 3.907565627283692e-05
Position 976: 3.0805356561067903e-05
Position 43: 2.720860248942883e-05
Position 20: 2.4524672863092115e-05
Position 1383: 2.3410915595099146e-05
Position 1576: 2.240635398585479e-05
Position 1642: 1.765136986089568e-05
Position 291: 1.2896573611961022e-05
Position 123: 1.0490595989245682e-05
Position 272: 8.852473619439094e-06
Position 262: 7.153810141970775e-06
Position 128: 2.450778821124972e-06
Position 301: 1.6628275311017795e-06
Position 68: 1.0383079152085803e-06
Position 239: 1.0126795025833309e-06
Position 151: 9.626348382362545e-07
Position 406: 9.61579637591063e-07
Position 149: 9.76833942052964e-08
Position 1096: 5.410629986250621e-08
Position 665: 3.370867494756282e-08
Position 648: 7.648800979446318e-09
Position 1570: 2.9732709960462354e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1290: 0.9811094257571368
Position 1086: 0.924787219356041
Position 149: 0.3124948881716715
Position 417: 0.25972347771056586
Position 823: 0.1420166088654416
Position 889: 0.10791447684439613
Position 423: 0.050006433125666605
Position 719: 0.04646519400220958
Position 107: 0.02370030329617995
Position 798: 0.021045921025575783
Position 772: 0.014003907881621943
Position 970: 0.009356889651653587
Position 1270: 0.008260695652079464
Position 178: 0.00727244754887867
Position 1260: 0.005626126024244844
Position 784: 0.004621630239733946
Position 1642: 0.003437215366734359
Position 805: 0.0026475017949083965
Position 1011: 0.00227959026033963
Position 651: 0.00227359207397828
Position 861: 0.002177657888325938
Position 252: 0.0020311707620241115
Position 927: 0.0018319425363598858
Position 1729: 0.0018203846351178903
Position 454: 0.0016811380314590285
Position 1583: 0.0013474514800999539
Position 477: 0.001057396383616831
Position 1610: 0.0009577306834284291
Position 933: 0.0009471213879026385
Position 1323: 0.0005772501082255682
Position 979: 0.0005001703262183148
Position 427: 0.0004985396293542332
Position 1019: 0.0004814627613636077
Position 406: 0.00039467097203242413
Position 226: 0.00035481005431952945
Position 555: 0.0003121345502079316
Position 1507: 0.0002656580256765282
Position 345: 0.0002626017920217567
Position 288: 0.00021249972719980046
Position 1588: 0.00016382618698005796
Position 1320: 0.00014773162649469275
Position 589: 0.00013614442770400133
Position 937: 0.00012793444528817814
Position 1703: 0.00010882213167021795
Position 1492: 7.276351688345506e-05
Position 91: 7.105105201786519e-05
Position 903: 6.568149455519855e-05
Position 689: 5.7894697374643355e-05
Position 457: 5.221554193682561e-05
Position 182: 5.212109783844549e-05
Position 648: 4.415598965944239e-05
Position 1415: 4.068070475550165e-05
Position 1670: 3.706391035505076e-05
Position 1111: 3.0224613776802394e-05
Position 109: 2.000373042756396e-05
Position 691: 1.884364924472166e-05
Position 1131: 1.631966286517315e-05
Position 350: 1.249308212745111e-05
Position 842: 6.8759087661186595e-06
Position 482: 3.1688457721414126e-06
Position 313: 7.776015673185282e-07
Position 74: 4.1982856610086067e-07
Position 272: 2.7381997468330557e-07
Position 79: 1.0110216414519758e-07
Position 277: 6.019073264655499e-08
Position 262: 3.928690912184905e-08
Position 489: 2.5208011189938834e-08
Position 76: 1.677669631015254e-09
Position 526: 8.506381381618544e-11
Position 364: 3.895339643614922e-11
