Gene = Mis12
index = 1280
Annotated 5SS: [184 540]
Annotated 3SS: [246 651]
SMsplice 5SS: [184 540]
SMsplice 3SS: [246 651]
top_k =  500
Partition function (log Z): 3.2936735816777274

Sorted 5' Splice Sites (High to Low Probability):
Position 184: 0.9907258893647161
Position 540: 0.946699934379058
Position 20: 0.04210696242266677
Position 509: 0.03944351126723627
Position 570: 0.01153142250303831
Position 74: 0.0077911693410473255
Position 547: 0.0011263307335506458
Position 802: 0.0005057540142548953
Position 6: 0.0002762209094327221
Position 55: 0.00023185863415152308
Position 458: 0.0001707838267031391
Position 853: 8.829170485221099e-05
Position 66: 8.778639095557961e-05
Position 188: 7.191074618493825e-05
Position 49: 4.160943534426741e-05
Position 473: 2.7677804395729225e-05
Position 280: 2.4629018851932738e-05
Position 170: 1.4537742857028739e-05
Position 907: 1.240484323901042e-05
Position 417: 1.175197272345151e-05
Position 893: 1.0433149901932875e-05
Position 286: 1.0295998234278373e-05
Position 358: 8.021089023955772e-06
Position 361: 7.142295135407507e-06
Position 693: 6.629378684775308e-06
Position 98: 6.25087855128864e-06
Position 173: 6.2416184890183155e-06
Position 745: 6.0861354735283625e-06
Position 217: 4.467426175246173e-06
Position 258: 2.7023473558156198e-06
Position 351: 2.4938072363240474e-06
Position 419: 2.1964016368847423e-06
Position 438: 2.14852279671384e-06
Position 462: 1.8090506276456512e-06
Position 426: 1.3702545696814523e-06
Position 101: 2.1864974641782512e-07
Position 146: 1.967421626231754e-07
Position 108: 2.4733151774222325e-08
Position 620: 3.081363068916749e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 651: 0.998309495372814
Position 246: 0.9588326742665796
Position 66: 0.023586621168587944
Position 127: 0.019883059440739023
Position 263: 0.016070499257922925
Position 290: 0.013293793951410513
Position 132: 0.0034033950202939076
Position 162: 0.002013595382748498
Position 321: 0.0015531178330534052
Position 368: 0.0014875718069403635
Position 678: 0.0011120791751129458
Position 893: 0.0004035639420298664
Position 143: 0.0002995433509665882
Position 970: 0.00025674821001863904
Position 604: 0.00013647304539138945
Position 278: 9.445116471354141e-05
Position 275: 8.422967832614403e-05
Position 146: 8.106483831697535e-05
Position 302: 5.351763273247797e-05
Position 308: 2.3759081542580343e-05
Position 170: 1.144395754469007e-05
Position 344: 1.0983159141999712e-05
Position 400: 8.971406534202497e-06
Position 720: 8.165202258037337e-06
Position 853: 7.018616797062708e-06
Position 473: 5.7320733333909195e-06
Position 347: 5.388317955556308e-06
Position 383: 4.783875450958013e-06
Position 750: 4.095014397848122e-06
Position 336: 3.311149647691441e-06
Position 925: 2.4257993708304813e-06
Position 693: 2.343508244762678e-06
Position 813: 2.282156823820797e-06
Position 180: 2.1343032493687082e-06
Position 723: 1.8140364800434957e-06
Position 412: 1.5542511365810444e-06
Position 738: 1.1885288416805942e-06
Position 690: 1.1218570302202626e-06
Position 907: 8.69852867047842e-07
Position 215: 8.154029413976531e-07
Position 452: 7.931280388785102e-07
Position 393: 7.739922531514826e-07
Position 684: 6.102425958288872e-07
Position 486: 2.8730358125174894e-07
Position 726: 2.8072232560065394e-07
Position 780: 1.3598040516852567e-07
Position 708: 1.304538669422565e-07
Position 687: 1.209024523547242e-07
Position 341: 8.883340275232152e-08
Position 417: 7.413141998116003e-08
Position 802: 4.265267574707743e-08
Position 755: 3.2884127527403426e-08
Position 494: 3.143561322947101e-08
Position 481: 2.8494995692845998e-08
Position 491: 1.5144076603607577e-08
Position 488: 9.732969464107307e-09
Position 497: 8.574279571258448e-09
Position 535: 4.828221328385964e-09
Position 182: 6.442803481839139e-12
Position 188: 4.850003038161459e-13
