Gene = SMSr
index = 1463
Annotated 5SS: [ 854 6070 6295]
Annotated 3SS: [5565 6127 6358]
SMsplice 5SS: [ 854 6070 6295]
SMsplice 3SS: [5087 6127 6358]
top_k =  500
Partition function (log Z): -3.083553012385906

Sorted 5' Splice Sites (High to Low Probability):
Position 6295: 0.987186201118639
Position 6070: 0.8822783759427556
Position 854: 0.7970640854817408
Position 538: 0.1324190352709737
Position 5705: 0.10592686666795496
Position 1011: 0.08834623142042411
Position 6910: 0.02243370466259078
Position 5175: 0.01935429308531928
Position 1030: 0.01180923488466031
Position 1559: 0.011428461912364374
Position 4826: 0.008265919461278763
Position 5922: 0.0070263311535812886
Position 5178: 0.006506457620743348
Position 5272: 0.004589525973973246
Position 5327: 0.004585246009366257
Position 2178: 0.004539866150592236
Position 5690: 0.004253575670032118
Position 652: 0.00406183888112278
Position 542: 0.00403082438344295
Position 5212: 0.0037501472405275784
Position 6231: 0.0032694717338205503
Position 892: 0.0032042507994499893
Position 691: 0.0023362833356432777
Position 6580: 0.0022096886537078518
Position 6842: 0.0020193932502571956
Position 6440: 0.00190089277549733
Position 6267: 0.0018770940959513271
Position 5358: 0.0017356617560166454
Position 2806: 0.0015419153785248953
Position 6672: 0.0012877005558328911
Position 5372: 0.0011629713739561387
Position 2186: 0.0010655646014009843
Position 7260: 0.000975880767730198
Position 18: 0.0009190734670299017
Position 7302: 0.00088016658132493
Position 6033: 0.000861816590281476
Position 6603: 0.0008143436728418446
Position 2142: 0.0007624622457331774
Position 628: 0.0007603702948365851
Position 511: 0.0007249823271037875
Position 3265: 0.0006755667000989663
Position 4670: 0.0006455369414121437
Position 3050: 0.000552017910274855
Position 1682: 0.0005299050277393475
Position 5536: 0.000511832024035758
Position 3308: 0.0004127641751269574
Position 1283: 0.00035349305670654807
Position 6257: 0.0003265584357136968
Position 6229: 0.0002759149421113522
Position 4539: 0.00027283231338247745
Position 6814: 0.0002487925978959473
Position 6753: 0.00024602093869131273
Position 5765: 0.00017446736224964487
Position 6669: 0.00014509599061400725
Position 7025: 0.00013016576049211049
Position 254: 0.00012793614702845591
Position 6789: 0.00011188958592142208
Position 6261: 0.00010521005456635307
Position 6527: 0.00010420075658713848
Position 7065: 9.036621448794011e-05
Position 76: 9.019909280995792e-05
Position 271: 8.006409848780518e-05
Position 6712: 6.109855206677508e-05
Position 7103: 4.347978517889088e-05
Position 2557: 4.192971078368574e-05
Position 296: 4.135278969701139e-05
Position 6556: 3.898780627641704e-05
Position 246: 3.5412445993350065e-05
Position 6180: 2.850688470207554e-05
Position 1018: 2.699162835375873e-05
Position 6926: 2.5318517099774492e-05
Position 7296: 2.5081878088185804e-05
Position 6791: 2.0540294651791793e-05
Position 6428: 1.9428071736603695e-05
Position 7051: 1.7544994125644696e-05
Position 7310: 1.6297863636219624e-05
Position 145: 1.6086981639796354e-05
Position 6406: 1.4893488584450126e-05
Position 777: 8.152206089378218e-06
Position 1043: 6.507046156029351e-06
Position 81: 6.321977656165182e-06
Position 1046: 5.5618793854021595e-06
Position 40: 5.023277252225668e-06
Position 119: 4.982382460172421e-06
Position 437: 4.970760081604787e-06
Position 1549: 4.727719268349499e-06
Position 161: 4.51751187953087e-06
Position 1522: 3.6696509935174183e-06
Position 2674: 2.2133386634204017e-06
Position 430: 1.6720875046669038e-06
Position 1057: 1.6014077236618571e-06
Position 129: 1.5833452867919503e-06
Position 1317: 1.5024475104749748e-06
Position 7246: 1.3232610429219173e-06
Position 1407: 1.0670486001995836e-06
Position 391: 9.507602367959046e-07
Position 2681: 8.86291743304846e-07
Position 3: 8.49575014265545e-07
Position 417: 7.389406355924618e-07
Position 607: 4.215507138637644e-07
Position 414: 3.3053493856427863e-07
Position 858: 3.277105769782012e-07
Position 861: 3.0981342217606063e-07
Position 1766: 1.8637729579741464e-07
Position 749: 1.6795209250705455e-07
Position 669: 1.5790329866133326e-07
Position 899: 1.51206574295758e-07
Position 722: 1.1430192817367564e-07
Position 741: 9.884552573401171e-08
Position 1226: 8.091400511527523e-08
Position 928: 6.555484173426295e-08
Position 83: 5.346814467265498e-08
Position 817: 4.6467813350710815e-08
Position 304: 4.6435551482699796e-08
Position 729: 4.012919134973822e-08
Position 6426: 3.098577263634492e-08
Position 775: 1.2460094792870778e-08
Position 931: 7.701303815739877e-09
Position 6392: 1.1854717394721965e-09
Position 6824: 8.376222393597318e-10
Position 284: 4.687141023056724e-11
Position 406: 1.76223404820828e-13
Position 976: 1.5557073051993345e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 6127: 0.9979681440293551
Position 6358: 0.9890174535568299
Position 5087: 0.4618069316027438
Position 5565: 0.3833688053665817
Position 5770: 0.16138664100399708
Position 5271: 0.03767633501163909
Position 7015: 0.02837755515441987
Position 971: 0.020560395465643016
Position 604: 0.019052120770999704
Position 706: 0.0080892677992784
Position 4510: 0.006354922126300046
Position 756: 0.0043649911030995804
Position 1179: 0.002304502073540183
Position 1484: 0.002245569747325671
Position 7054: 0.0021512738774919684
Position 7037: 0.0019138062555701957
Position 4396: 0.0017695083002102865
Position 2726: 0.0015948529539329336
Position 7405: 0.001430889809152979
Position 2613: 0.0013503252419930648
Position 6411: 0.0012323488247230614
Position 1277: 0.00118278603321578
Position 1101: 0.0011435128710836086
Position 6493: 0.0010640192014013542
Position 4482: 0.001062008088896599
Position 615: 0.000776779160383789
Position 7330: 0.0007477121391123547
Position 1142: 0.0007133819865859332
Position 2120: 0.0006838786933531867
Position 976: 0.00045246932983508085
Position 1805: 0.0004074220458153781
Position 6649: 0.0002968599782314584
Position 1378: 0.0002957365966924844
Position 591: 0.00029064415432768676
Position 7099: 0.0002828609633705371
Position 1592: 0.00026260841908586703
Position 6325: 0.0002287516479468333
