Gene = Nlg2
index = 1324
Annotated 5SS: [  638 23187 26575 27704 28104 28461 28721 28970 29174 29559 29776 30006]
Annotated 3SS: [22193 26341 27346 27907 28358 28524 28780 29030 29232 29619 29843 30064]
SMsplice 5SS: [  638 23187 26575 28104 28461 28721 28970 29174 29559 29776 30006]
SMsplice 3SS: [22193 26341 27907 28358 28524 28780 29030 29220 29619 29843 30064]
top_k =  500
Partition function (log Z): 18.484781499446804

Sorted 5' Splice Sites (High to Low Probability):
Position 29776: 0.9997871426461359
Position 30006: 0.999638090629707
Position 23187: 0.9926246800661105
Position 28970: 0.9917512724596679
Position 28721: 0.9785469208737939
Position 29559: 0.9688564403850753
Position 28104: 0.9555697943555164
Position 28461: 0.9008812738402006
Position 29174: 0.8917049864655615
Position 638: 0.7343665538638534
Position 26575: 0.5871215897543224
Position 6786: 0.09949606555590554
Position 200: 0.09487491130631567
Position 350: 0.09008018758572472
Position 151: 0.07140942161492035
Position 28456: 0.04103902628975192
Position 4038: 0.02298975608201573
Position 29601: 0.019663289904058422
Position 14269: 0.017304039100029155
Position 31327: 0.014076620799775673
Position 28090: 0.012871742532435617
Position 29131: 0.009880661211323211
Position 29545: 0.008343265875485843
Position 10342: 0.008238253447571097
Position 10984: 0.0068346903645042055
Position 31066: 0.004831597098647844
Position 29257: 0.004525320402813081
Position 30727: 0.002882570069229913
Position 28974: 0.0026310855933211258
Position 29188: 0.002309266928567503
Position 663: 0.002174299705184263
Position 399: 0.0017774722735083104
Position 227: 0.0015850217513844157
Position 28470: 0.0012549900057614919
Position 165: 0.0011806943806575462
Position 356: 0.0010475640273460137
Position 29282: 0.0007767189826071867
Position 31064: 0.0007363125717483456
Position 430: 0.0007179530110164183
Position 30768: 0.0006208314552780569
Position 31087: 0.0006117886626571298
Position 317: 0.0005999101725938582
Position 30271: 0.0005503910212900105
Position 31291: 0.0004238604707760052
Position 31445: 0.00034950359566211775
Position 28670: 0.00024161580095762345
Position 31019: 0.00017951458772126966
Position 29346: 0.0001760197404376709
Position 29182: 0.0001620871886990171
Position 31428: 0.00015441176399410626
Position 30440: 0.00012709488305882242
Position 29534: 0.00011452251321053455
Position 31110: 9.128233144315783e-05
Position 31425: 7.56661497639497e-05
Position 30231: 7.495595616576201e-05
Position 1170: 6.863887444046587e-05
Position 30761: 6.64168466247636e-05
Position 28914: 6.557660152658643e-05
Position 29806: 6.173896724516327e-05
Position 30531: 4.973232011176993e-05
Position 29669: 4.861078285113763e-05
Position 31201: 4.019516318909688e-05
Position 30265: 3.5340010036103666e-05
Position 28960: 3.2177878775449734e-05
Position 31688: 3.216572440266524e-05
Position 29849: 2.9660926589845847e-05
Position 153: 2.594699720065266e-05
Position 29592: 1.9573924245148236e-05
Position 31032: 1.876690833401111e-05
Position 30797: 1.5981564293630057e-05
Position 29949: 1.480476525264868e-05
Position 205: 1.3501006290154617e-05
Position 29672: 1.2407240395396228e-05
Position 683: 1.1340064028515949e-05
Position 29563: 1.0941056684060184e-05
Position 30207: 1.0485076366384801e-05
Position 31697: 1.0303634376953484e-05
Position 155: 9.5100562845251e-06
Position 30583: 8.704051048099631e-06
Position 29074: 8.33460889832999e-06
Position 29153: 8.107456620353796e-06
Position 29650: 7.75319530371376e-06
Position 31462: 6.795192019990441e-06
Position 325: 6.7455617871164906e-06
Position 694: 6.685432357099954e-06
Position 1335: 6.511226124234094e-06
Position 652: 6.4871551555270785e-06
Position 29531: 6.267048983215478e-06
Position 29846: 4.5554632851257975e-06
Position 1327: 4.262392780516057e-06
Position 1765: 3.862715110103597e-06
Position 212: 3.4957920609719017e-06
Position 29483: 3.0128151404217877e-06
Position 31530: 2.92552236160966e-06
Position 31501: 2.8380362384608843e-06
Position 947: 2.8304012178862774e-06
Position 31558: 2.7941570302324848e-06
Position 31702: 2.7746941683904486e-06
Position 1071: 2.5580663028933572e-06
Position 1391: 2.0833829747969874e-06
Position 29653: 1.9892619138551064e-06
Position 1244: 1.795833194629305e-06
Position 1131: 1.7190065360732423e-06
Position 578: 1.3970333446709172e-06
Position 160: 1.3781466517461673e-06
Position 28885: 1.3078600140460117e-06
Position 30713: 1.1187864591191376e-06
Position 1273: 1.0900455502700566e-06
Position 28902: 1.0217156364307409e-06
Position 1191: 8.26275803134479e-07
Position 162: 8.186086962752175e-07
Position 323: 7.386887337529253e-07
Position 170: 7.22465359796499e-07
Position 30703: 6.485924150872757e-07
Position 30603: 5.943145142593665e-07
Position 30471: 4.6121825084026505e-07
Position 409: 4.3292101759192936e-07
Position 788: 3.2849327528203303e-07
Position 189: 3.0366521012188397e-07
Position 30511: 2.6837430336381283e-07
Position 30618: 1.581900659525565e-07
Position 30647: 1.5673379973601696e-07
Position 30142: 1.5125794919994064e-07
Position 30645: 1.1371099429975269e-07
Position 29738: 9.083891386216977e-08
Position 30215: 6.276725979581511e-08
Position 30865: 4.725183511246687e-08
Position 30522: 3.4427723515338905e-08
Position 30490: 8.363370462646488e-09
Position 30066: 8.313342760877498e-09
Position 29720: 6.061419307075057e-09
Position 30177: 5.623499483027706e-09
Position 30148: 6.461419107201649e-10
Position 29199: 3.0723464114008114e-10
Position 30669: 3.068638407795533e-10
Position 30443: 2.883053314027153e-10
Position 30493: 2.2172234389589606e-10
Position 29549: 8.51694341702751e-11
Position 30087: 7.207415022487966e-11
Position 30091: 3.4361189628777924e-11
Position 30114: 4.520557279289362e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 30064: 0.9976669998120632
Position 22193: 0.9926246800661085
Position 29030: 0.9741103885438969
Position 29843: 0.9656645186179756
Position 27907: 0.9574871773059934
Position 28358: 0.9461586589184334
Position 28524: 0.9417352201600359
