Gene = Slmap
index = 1504
Annotated 5SS: [ 181 2062 5611]
Annotated 3SS: [ 748 5049 5669]
SMsplice 5SS: [ 181 5611]
SMsplice 3SS: [5049 5669]
top_k =  500
Partition function (log Z): -5.854726316829575

Sorted 5' Splice Sites (High to Low Probability):
Position 5611: 0.8264127579498984
Position 181: 0.7282191149980048
Position 4821: 0.37322505898702557
Position 2062: 0.34269277264899334
Position 210: 0.2168952994394498
Position 4943: 0.14462129306397117
Position 5001: 0.075748502843349
Position 5401: 0.06693334723759607
Position 5983: 0.06079271594579491
Position 1499: 0.046528659005277
Position 1477: 0.03791988111013413
Position 5867: 0.027589390238661554
Position 1382: 0.02370781055615328
Position 4791: 0.017381978154951034
Position 1508: 0.011436354207295215
Position 5187: 0.008687879286265297
Position 4734: 0.008570791440536045
Position 5344: 0.008447198554870347
Position 5871: 0.008175629490024898
Position 1580: 0.007523508081357527
Position 1696: 0.007018965228086022
Position 749: 0.00623539629716747
Position 1123: 0.004095414570889599
Position 5823: 0.0034513921641898837
Position 56: 0.002963826714046767
Position 6227: 0.002631416010664674
Position 5250: 0.002615084182242444
Position 522: 0.00253537534632739
Position 526: 0.0024459982547977315
Position 6262: 0.0022892947722067862
Position 85: 0.0022706808936075696
Position 518: 0.0022232464488028494
Position 514: 0.0020323553523930566
Position 199: 0.0016468016058911968
Position 3686: 0.0016216574137362903
Position 6109: 0.0012726596966019924
Position 510: 0.001244123385792502
Position 142: 0.0012021680534062794
Position 1720: 0.0011876457692730324
Position 697: 0.001183163581917087
Position 135: 0.0008834385215117988
Position 5797: 0.0006941283855435246
Position 476: 0.000632732802489147
Position 315: 0.00038639898479987997
Position 6424: 0.0003579728125522114
Position 1288: 0.0002736208950633096
Position 6220: 0.00025822143813179885
Position 1643: 0.00021981603648501971
Position 1210: 0.00021093659252875683
Position 1058: 0.00020723155624305088
Position 1222: 0.00019949621698033378
Position 93: 0.00016801689044458826
Position 1616: 0.00016649443630094095
Position 5209: 0.00016615043247007248
Position 5430: 0.00013661399347557007
Position 530: 0.00012500852243505306
Position 546: 9.951437043944611e-05
Position 1532: 9.170369657300419e-05
Position 952: 8.642583273514671e-05
Position 695: 8.333344402540868e-05
Position 3523: 8.198887656576517e-05
Position 3855: 7.823395816097874e-05
Position 2855: 6.964330529337692e-05
Position 2945: 6.737033009252153e-05
Position 766: 4.773638743022437e-05
Position 488: 2.9507861675818734e-05
Position 367: 2.8821030605946374e-05
Position 111: 2.7720719991726438e-05
Position 258: 1.864882193603261e-05
Position 434: 1.82629822888331e-05
Position 5587: 1.2917275902477067e-05
Position 5565: 9.99706571279812e-06
Position 22: 7.50424441110182e-06
Position 2674: 7.3509940497501005e-06
Position 761: 6.023986269188696e-06
Position 2217: 5.782533228812651e-06
Position 1537: 5.630011861602435e-06
Position 355: 5.5587385979396644e-06
Position 192: 3.4275716431601923e-06
Position 275: 3.379799800821066e-06
Position 652: 3.3633994849179687e-06
Position 5895: 3.1629820615076854e-06
Position 5292: 3.136179566831726e-06
Position 104: 2.7067578809304553e-06
Position 668: 2.6073896515202e-06
Position 658: 2.3159910984199988e-06
Position 284: 2.0344189435359975e-06
Position 610: 1.5227169493004587e-06
Position 218: 8.244044827027706e-07
Position 677: 7.352563559149294e-07
Position 1258: 6.995854507687985e-07
Position 2159: 6.920239797333987e-07
Position 3457: 6.093783421837624e-07
Position 1071: 5.446523225171821e-07
Position 9: 1.97690701724552e-07
Position 11: 1.1055669065669688e-07
Position 550: 6.299103818626944e-08
Position 564: 3.4219572044648676e-08
Position 361: 3.0117592644254736e-08
Position 87: 2.958384737020471e-08
Position 441: 1.275830903665607e-08
Position 332: 1.1085013852408053e-08
Position 29: 4.899370815643999e-09
Position 4: 3.9620345143578284e-09
Position 364: 1.5297104298307496e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5049: 0.9822131349172954
Position 5669: 0.5603455786712522
Position 748: 0.3339229060051407
Position 4659: 0.30735337549701297
Position 5697: 0.23100686286266148
Position 4627: 0.17504840535471522
Position 4868: 0.1242706832338819
Position 6197: 0.06674582913104853
Position 5476: 0.049203898075437
Position 1576: 0.04443521834316156
Position 5672: 0.03395269933380293
Position 5940: 0.031497504374341505
Position 4703: 0.015382537194574105
Position 1123: 0.014024250476506545
Position 6499: 0.011384214247210834
Position 1345: 0.009719246988597665
Position 5254: 0.00959854076317775
Position 5703: 0.008702979242517865
Position 272: 0.008282327990776566
Position 5728: 0.007365227912179518
Position 6047: 0.0065466841889056234
Position 5700: 0.006381845356537411
Position 1716: 0.006205948248319896
Position 2759: 0.005763490708420963
Position 1537: 0.005467572951915606
Position 1638: 0.0033709333197133448
Position 6306: 0.003275975438506436
Position 1238: 0.002819184066867056
Position 1907: 0.00241065382877645
Position 1610: 0.002295471780105837
Position 5400: 0.0022909206640774754
Position 1826: 0.0021171252468597025
Position 1422: 0.0017558138918791432
Position 1458: 0.0016439526941291868
Position 819: 0.0015990410076785525
Position 814: 0.0015838334316642657
Position 3221: 0.0015597360155424722
Position 1783: 0.001496602604223763
Position 1894: 0.0013746624729683754
Position 629: 0.0013670549019781856
Position 1324: 0.0012002821802564545
Position 1992: 0.0011669434449859788
Position 1283: 0.0011635522230295174
Position 847: 0.0009556476760630508
Position 6424: 0.0009406539329823869
Position 610: 0.0007933928718391382
Position 1904: 0.0007847706559575103
Position 1597: 0.000650538322558276
Position 881: 0.0006169945343974952
Position 1351: 0.0006001452533868656
Position 626: 0.00045411331930799397
Position 1247: 0.0004533576901515267
Position 3429: 0.00044897226774346456
Position 434: 0.00036268534301347457
Position 361: 0.0003520003790425827
Position 6736: 0.00035106856589194274
Position 1271: 0.0002955133291169077
