Gene = Sin
index = 1502
Annotated 5SS: [  97 1227]
Annotated 3SS: [ 155 1290]
SMsplice 5SS: [  97 1227]
SMsplice 3SS: [ 155 1290]
top_k =  500
Partition function (log Z): -3.3973705661487497

Sorted 5' Splice Sites (High to Low Probability):
Position 1227: 0.9414883442470414
Position 97: 0.8877571825106452
Position 482: 0.09443334942890945
Position 513: 0.08637549255860395
Position 105: 0.0733142083875294
Position 1333: 0.05675152540711502
Position 489: 0.020047144082111928
Position 1186: 0.012803969692229829
Position 648: 0.008612554349636132
Position 101: 0.008128726913236383
Position 654: 0.005725316058313047
Position 400: 0.00265159382615217
Position 1107: 0.002240092821696977
Position 285: 0.0018793998692861833
Position 903: 0.0010468511173540422
Position 1167: 0.001030909518860667
Position 1237: 0.0007159636181813827
Position 194: 0.0004289431199274646
Position 636: 0.00032606425920760675
Position 291: 0.0003240920445278297
Position 246: 0.0002827140053528354
Position 460: 0.00027728045909881645
Position 264: 0.00019469428211911014
Position 259: 0.000168782503179111
Position 1396: 7.187449698479652e-05
Position 936: 7.141774351620252e-05
Position 1413: 5.9974102461847646e-05
Position 1455: 5.931938002585683e-05
Position 424: 5.44239968517521e-05
Position 252: 3.790936745993318e-05
Position 1243: 3.7597722757807175e-05
Position 1231: 3.7583155212415426e-05
Position 1149: 3.662499310635147e-05
Position 354: 2.8374396227711587e-05
Position 387: 2.504510515071339e-05
Position 1468: 2.4906780114944264e-05
Position 162: 2.4522026227724982e-05
Position 1152: 2.1921298425187078e-05
Position 1086: 2.119811502062747e-05
Position 749: 1.9409841073098093e-05
Position 1190: 1.1447526805667124e-05
Position 88: 6.850569545729416e-07
Position 314: 3.9597428386663106e-07
Position 262: 2.039857343023882e-07
Position 109: 1.3793012036808444e-07
Position 170: 1.227069673047153e-07
Position 85: 9.782230713757524e-08
Position 474: 7.451244624675413e-08
Position 894: 5.7476694626181945e-08
Position 968: 4.3162577540323305e-08
Position 28: 2.5094332666892842e-08
Position 21: 4.0421838302846784e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1290: 0.9487028297907828
Position 155: 0.773553545995749
Position 562: 0.20925524388307634
Position 540: 0.08386376957049477
Position 1383: 0.06393303336198218
Position 176: 0.03520826042452277
Position 281: 0.028796637727471992
Position 718: 0.014963549236835466
Position 338: 0.013220281199056239
Position 284: 0.007811162862887036
Position 575: 0.007411629153995824
Position 1106: 0.004375117745255822
Position 1332: 0.0032744614528535613
Position 956: 0.002898500736705866
Position 1030: 0.001827529890858249
Position 872: 0.0010765954908760018
Position 989: 0.0008612834381864576
Position 512: 0.0007170494753271469
Position 1166: 0.0007034916346154601
Position 936: 0.0006518954207900678
Position 685: 0.0005572227105870979
Position 728: 0.0005432779881582001
Position 443: 0.0004985214713841181
Position 1440: 0.0003929082597744903
Position 1042: 0.0003203263348263371
Position 1350: 0.00030771096034533987
Position 387: 0.0003064043230933767
Position 1327: 0.0002743221361777209
Position 1506: 0.0002049666413314301
Position 1594: 0.00018458755238838097
Position 224: 0.000150092729371069
Position 290: 0.00014782024398588066
Position 1085: 0.00014464484648203912
Position 899: 7.2873288402869e-05
Position 584: 7.180638061262132e-05
Position 482: 6.788955666153008e-05
Position 1248: 6.046475443743438e-05
Position 190: 4.29564726249449e-05
Position 820: 4.1424092898433434e-05
Position 1197: 2.931363831081371e-05
Position 404: 2.783836674242436e-05
Position 647: 2.7025203622086433e-05
Position 617: 1.5095544484682991e-05
Position 1455: 1.4242945899677426e-05
Position 1472: 1.1987730510879546e-05
Position 1443: 1.1759039655256023e-05
Position 1237: 6.9683010098324085e-06
Position 1532: 4.957668008946749e-06
Position 398: 3.39539548379212e-06
Position 489: 6.317298719993111e-07
Position 454: 5.724076077581639e-07
Position 184: 4.0598225327438876e-07
Position 384: 2.0675864403567413e-07
Position 371: 1.0292861479315957e-07
Position 70: 1.3730291932744468e-11
Position 93: 8.353648195645071e-13
Position 130: 7.209349627755502e-13
Position 96: 3.7412474350953004e-13
Position 314: 5.51396797090614e-14
Position 75: 3.7947508971637654e-14
Position 101: 1.7867732744996025e-15
Position 109: 8.029472175097092e-18
