Gene = GXIVsPLA2
index = 1178
Annotated 5SS: [214 452]
Annotated 3SS: [291 514]
SMsplice 5SS: [214 452]
SMsplice 3SS: [291 514]
top_k =  500
Partition function (log Z): -5.220959870754949

Sorted 5' Splice Sites (High to Low Probability):
Position 452: 0.8118882386317217
Position 214: 0.5851267678123849
Position 219: 0.10876805410213079
Position 233: 0.09234205834160548
Position 457: 0.08434297483733787
Position 476: 0.0332561757750305
Position 498: 0.029058789157393253
Position 244: 0.02035721459914995
Position 6: 0.008734182586983672
Position 454: 0.0073417515578021505
Position 1031: 0.0030790454953327872
Position 58: 0.00282463413205669
Position 890: 0.0025314787565716567
Position 980: 0.002273418407365472
Position 1048: 0.001405498454850399
Position 696: 0.0010669009599832456
Position 145: 0.0006774446352319774
Position 996: 0.0005354366529698839
Position 1238: 0.00043537289235583615
Position 1010: 0.00038543889697101113
Position 708: 0.00017858734943651503
Position 1092: 0.00017041174818907857
Position 63: 0.00014073904716688468
Position 957: 0.0001407062723087132
Position 1269: 0.00011875129117728395
Position 358: 0.00011601230562021822
Position 1026: 9.320200971244258e-05
Position 385: 9.14966510433429e-05
Position 254: 8.737202740055885e-05
Position 902: 7.561366439856508e-05
Position 208: 7.387223661527151e-05
Position 1017: 5.7390195975444786e-05
Position 675: 4.595649076125405e-05
Position 46: 3.863144472666483e-05
Position 500: 2.6645219883332425e-05
Position 1127: 2.055281936357814e-05
Position 702: 1.8211716836193017e-05
Position 269: 1.8081724970994368e-05
Position 1024: 1.5127520602395402e-05
Position 1035: 1.270603291741386e-05
Position 1220: 9.234929707978462e-06
Position 1183: 8.469552591599001e-06
Position 260: 7.5390150494564305e-06
Position 502: 4.910239848238874e-06
Position 1273: 2.52049496523132e-06
Position 29: 1.865917786105937e-06
Position 129: 1.5295342749100178e-06
Position 165: 1.0017362203635753e-06
Position 329: 5.311976340136783e-07
Position 376: 4.961935292619451e-08
Position 423: 4.749700259335658e-08
Position 334: 5.512868181491953e-09
Position 352: 5.123941150182254e-09
Position 1104: 2.7786701805647553e-09
Position 336: 2.6955003776138297e-09
Position 400: 1.9216057427433545e-10
Position 526: 4.417490434627224e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 514: 0.8932877260860248
Position 291: 0.7509437992935116
Position 556: 0.08633744562526738
Position 310: 0.030988005475518422
Position 342: 0.007960237332724466
Position 58: 0.007042254342337012
Position 1104: 0.006910550658878089
Position 296: 0.0026095749452154722
Position 1291: 0.0022663527181871136
Position 118: 0.002164409345298319
Position 1160: 0.0019730869657142514
Position 1035: 0.0012486660973430293
Position 63: 0.0009331787109886269
Position 129: 0.0007667898786252197
Position 1051: 0.0004523513017307081
Position 187: 0.0004380846079179809
Position 352: 0.0003958960384753465
Position 834: 0.0001882904088810278
Position 719: 0.00018792383932270614
Position 756: 0.00015788347489372557
Position 1317: 0.00012593266718004752
Position 384: 0.00011343932376525122
Position 318: 0.00010927614159718633
Position 765: 6.112040178450891e-05
Position 91: 5.876598564641289e-05
Position 537: 5.5184568814856144e-05
Position 1343: 4.641977602557594e-05
Position 521: 4.529398169060182e-05
Position 587: 3.405438166538122e-05
Position 884: 1.95500176409221e-05
Position 423: 1.8015227855392062e-05
Position 662: 1.7680212865831864e-05
Position 831: 1.0805776060055517e-05
Position 488: 1.015933609035876e-05
Position 1331: 1.0069974325104089e-05
Position 236: 6.441118780156028e-06
Position 1232: 4.492204357153367e-06
Position 144: 4.026872594121533e-06
Position 200: 2.7922407538485403e-06
Position 208: 1.0946940823713829e-06
Position 218: 8.21850681114575e-07
Position 248: 3.780894886947714e-07
Position 451: 2.2893967178922272e-07
Position 254: 1.0845340717264075e-07
Position 609: 1.1524046448429397e-09
Position 250: 1.2507997042897328e-18
