Gene = pkaap
index = 1839
Annotated 5SS: [ 182  583 1912]
Annotated 3SS: [ 309  852 1980]
SMsplice 5SS: [ 182  583 1912]
SMsplice 3SS: [ 309  852 1980]
top_k =  500
Partition function (log Z): -1.0888151407882618

Sorted 5' Splice Sites (High to Low Probability):
Position 182: 0.9736048113526496
Position 1912: 0.9654578013950623
Position 583: 0.9268705400700554
Position 746: 0.042385321679001726
Position 6: 0.01582621156227442
Position 1089: 0.009272573550578365
Position 1902: 0.006136582371189265
Position 765: 0.005812369644349713
Position 148: 0.005032831736917735
Position 688: 0.0033449228755606116
Position 526: 0.001341950160842033
Position 774: 0.0010708167395393074
Position 400: 0.0009496413171768992
Position 2626: 0.0008570569747442062
Position 762: 0.0008140054957830159
Position 771: 0.0007917192455359736
Position 1506: 0.0007158864272116594
Position 2829: 0.0006450091788781411
Position 565: 0.0006316224956092414
Position 538: 0.0005636925645345818
Position 1844: 0.0005299570541907684
Position 1299: 0.0004887958203347833
Position 700: 0.0004560078697545124
Position 239: 0.00044957938285090845
Position 2814: 0.00036520713523904825
Position 535: 0.00031593648831300446
Position 2611: 0.0002873783537786125
Position 2491: 0.00027858277153389573
Position 1210: 0.00027750979915520425
Position 727: 0.00027245864455428283
Position 532: 0.0002644534038429819
Position 2421: 0.000255967404003553
Position 604: 0.0002439010978609002
Position 1916: 0.00024077781744797264
Position 186: 0.00022428966766292627
Position 661: 0.00022204840195183385
Position 1196: 0.00020487491749134846
Position 2168: 0.00018094008652221
Position 1271: 0.00017809597744513765
Position 2084: 0.00017460089160954077
Position 529: 0.00014994230880451098
Position 2344: 0.00012273275466450687
Position 1409: 0.00011926213059580298
Position 2635: 0.00011308542159587039
Position 156: 0.00010180484470340739
Position 935: 9.74494900610274e-05
Position 2376: 8.721844820880251e-05
Position 1818: 8.465342117448085e-05
Position 1829: 8.459123028060707e-05
Position 1582: 7.405477135482271e-05
Position 89: 6.818135420045909e-05
Position 365: 6.015681525970666e-05
Position 621: 5.488615707805943e-05
Position 2779: 4.0099528597899484e-05
Position 930: 3.96738545312629e-05
Position 1480: 3.9331838496136524e-05
Position 1887: 3.901557840245926e-05
Position 1212: 3.856553512343184e-05
Position 1281: 3.608121737001658e-05
Position 1944: 3.444221088558985e-05
Position 748: 2.862068922560814e-05
Position 1440: 2.3689945602046236e-05
Position 750: 2.1860402991525876e-05
Position 2337: 2.1029668645203704e-05
Position 387: 2.0918820542446667e-05
Position 1358: 2.015615108218445e-05
Position 900: 1.9362194364333678e-05
Position 2445: 1.859602490435199e-05
Position 2397: 1.6174386036888702e-05
Position 2454: 1.5858082996441303e-05
Position 54: 1.044064279737536e-05
Position 2232: 9.876580274182425e-06
Position 2464: 9.117096176862045e-06
Position 2637: 7.767753070781472e-06
Position 2039: 6.4062680891502295e-06
Position 492: 6.374903854137023e-06
Position 2792: 3.4197495430855803e-06
Position 2251: 3.28451967340707e-06
Position 2589: 1.3395827620564666e-06
Position 2436: 1.0799996670544689e-06
Position 215: 1.0431428778733878e-06
Position 287: 4.4270133482410587e-07
Position 267: 4.1966600138838276e-07
Position 372: 2.5958292181780894e-07
Position 448: 6.298530497715181e-08
Position 316: 4.975319596157811e-08
Position 294: 1.7051458228612845e-08
Position 462: 9.407837068276914e-09
Position 1109: 6.260439391894877e-09
Position 464: 5.345129623801999e-09
Position 1865: 1.9360283063264914e-09
Position 349: 1.2162932292438827e-09
Position 1715: 5.519917225635639e-10
Position 1487: 3.0884854715833927e-10
Position 1726: 1.1019131130337893e-10
Position 1364: 2.337579493709319e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 309: 0.972754538002691
Position 852: 0.8922804975178243
Position 1980: 0.8370174718766297
Position 2009: 0.1329162379723583
Position 1140: 0.05847812995225592
Position 89: 0.014088743317842607
Position 659: 0.013188339153426753
Position 1715: 0.008834076560504146
Position 1531: 0.006674763221029767
Position 953: 0.004701103279783051
Position 2900: 0.003697500331875952
Position 691: 0.0032338014272856857
Position 1721: 0.003147624851194098
Position 2740: 0.0030929263194238057
Position 935: 0.0019158935804714132
Position 448: 0.0017858187520464538
Position 1077: 0.0017800081330783583
Position 2108: 0.0009652121480870353
Position 2088: 0.0009460804355923541
Position 1281: 0.0008268918027754119
Position 1961: 0.0007352614997897111
Position 363: 0.0006635603634555596
Position 2060: 0.0005018283850987565
Position 1865: 0.00048773647066637405
Position 1271: 0.00044836390865265346
Position 2225: 0.0003961143848708783
Position 1103: 0.00038293069269504165
Position 325: 0.00034760246084560617
Position 1457: 0.0003397899333221906
Position 1745: 0.0003193115059986054
Position 1790: 0.0002845710914392725
Position 1387: 0.0002588812301015862
Position 746: 0.0002567659992412292
Position 1571: 0.0002506013915719421
Position 762: 0.00015391185757875436
Position 1742: 0.00012993083677072576
Position 474: 0.00012679085532649485
Position 107: 0.00011838400236155713
Position 471: 0.00011492147928187941
Position 714: 0.00010545506294252118
Position 462: 8.473844740842169e-05
Position 2194: 8.344465371227409e-05
Position 322: 7.74369100225989e-05
Position 1424: 7.272865126162682e-05
Position 2154: 6.630717292983687e-05
Position 1291: 6.620834168020017e-05
Position 2138: 5.789015848875935e-05
Position 1829: 5.569329772560299e-05
Position 1625: 5.458451063232352e-05
Position 998: 5.063428869613352e-05
Position 1649: 4.7108130746578105e-05
Position 1181: 4.4270473522112486e-05
Position 2559: 3.885142014263297e-05
Position 1369: 3.53777820240232e-05
Position 1151: 2.6987903258072888e-05
Position 138: 2.3673507570691215e-05
Position 2696: 2.0543418033694025e-05
Position 2168: 1.7088965484463414e-05
Position 1189: 1.6086525869644893e-05
Position 2868: 1.5110234878847679e-05
Position 1056: 1.0822415719342762e-05
Position 1351: 9.20310517036565e-06
Position 922: 9.164829207578343e-06
Position 116: 8.560640239255115e-06
Position 2746: 8.284200538594891e-06
Position 2586: 7.1217764769933926e-06
Position 2029: 7.082303406647996e-06
Position 1901: 5.630276193777602e-06
Position 1022: 5.55418110799255e-06
Position 408: 5.018914202437272e-06
Position 113: 3.7490243770050536e-06
Position 2872: 2.0625356812656637e-06
Position 504: 1.9391521862563892e-06
Position 479: 6.549802857533057e-07
Position 507: 6.362308063003922e-07
Position 717: 5.303281945050312e-07
Position 396: 2.2089160299685876e-07
Position 330: 1.152491564353925e-07
Position 510: 6.849838413291563e-08
Position 171: 5.3758506488033246e-08
Position 201: 3.143814944018685e-08
Position 153: 6.109087567264717e-09
Position 173: 2.897741768384999e-09
Position 513: 4.987609230271781e-10
Position 516: 4.0545590827656717e-10
Position 565: 2.813905814129857e-10
Position 482: 2.272852450907316e-10
Position 144: 1.0062388528680024e-10
Position 574: 5.287661352018151e-11
Position 485: 3.387881951540495e-11
Position 519: 1.597686217156295e-11
Position 192: 1.2152364689324631e-11
Position 182: 1.1730052945496967e-11
Position 186: 8.929396094554318e-14
