Gene = cpb
index = 1657
Annotated 5SS: [213]
Annotated 3SS: [497]
SMsplice 5SS: [213]
SMsplice 3SS: [497]
top_k =  500
Partition function (log Z): -9.482386358673464

Sorted 5' Splice Sites (High to Low Probability):
Position 213: 0.9791244729334533
Position 960: 0.010460065736119012
Position 379: 0.00832911328955417
Position 446: 0.002448748196315011
Position 171: 0.002008936229743421
Position 217: 0.0012747328705720062
Position 451: 0.0012720604138081607
Position 262: 0.0010723161245300365
Position 443: 0.001062929398736739
Position 840: 0.0008843081947573949
Position 824: 0.0006637295096795429
Position 202: 0.0004949465830044401
Position 389: 0.00042248575847840704
Position 875: 0.00026264310094422776
Position 677: 0.00020740092573867422
Position 812: 0.0001575674867982306
Position 231: 0.00012699914636581891
Position 271: 0.00011674903814881339
Position 517: 6.977832443856691e-05
Position 1437: 6.555677726212083e-05
Position 1042: 5.178107420129853e-05
Position 73: 5.1025295784748115e-05
Position 398: 5.099067266055066e-05
Position 1773: 5.006359207890501e-05
Position 1607: 4.997975329061615e-05
Position 1379: 4.329589548510206e-05
Position 1326: 3.570927029381603e-05
Position 169: 3.400372023124233e-05
Position 1790: 3.136406359240218e-05
Position 1143: 3.109383549018911e-05
Position 1763: 2.7234613281634553e-05
Position 404: 2.617255649115567e-05
Position 1305: 2.480813315129613e-05
Position 1779: 1.4717810826659222e-05
Position 122: 5.45246701344664e-06
Position 16: 9.842539875273482e-07
Position 14: 6.978258679918746e-07
Position 719: 6.624955346631714e-08
Position 82: 6.561628372973503e-08
Position 497: 4.334835316894439e-08
Position 849: 1.1944100572508914e-08
Position 264: 6.9392224843472934e-09
Position 474: 5.687021619058379e-09
Position 476: 1.843292135132465e-09
Position 353: 1.0341897962469023e-09
Position 951: 2.094335759055823e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 497: 0.8764097239015124
Position 582: 0.0513730421392256
Position 1603: 0.01765749739082631
Position 1535: 0.016371320400524594
Position 509: 0.006632431488865926
Position 1085: 0.006013280979013197
Position 1028: 0.004889311777500385
Position 338: 0.004588646025781118
Position 902: 0.003816993256700099
Position 1903: 0.0030295252162748634
Position 1369: 0.002771405078033221
Position 709: 0.0017276276430291976
Position 1088: 0.0017220703997561744
Position 1082: 0.0016438743004013423
Position 629: 0.001588010617483839
Position 293: 0.001538819192519689
Position 812: 0.001500001483760539
Position 1646: 0.0012999651761054505
Position 1040: 0.0012801355242972425
Position 817: 0.0011390817340234823
Position 451: 0.0008356930465262377
Position 1250: 0.00040580442465172335
Position 1205: 0.00038555549957907086
Position 1228: 0.00028985329284026746
Position 1374: 0.0002319812731266349
Position 554: 0.0002027580703282085
Position 327: 0.0002010797322080563
Position 1814: 0.00017522022035235167
Position 2014: 0.0001672143232226032
Position 965: 0.00014265717330531373
Position 250: 0.00012637973402228724
Position 1225: 0.00012304702293179957
Position 1723: 0.00010281090932808187
Position 2036: 9.750299465445563e-05
Position 404: 7.814609854466641e-05
Position 746: 7.64288207212862e-05
Position 1139: 6.0530951654733523e-05
Position 1907: 4.420439195470064e-05
Position 231: 3.891697044907279e-05
Position 1259: 3.372976786814303e-05
Position 1708: 3.217015380496942e-05
Position 1199: 2.986888549658161e-05
Position 638: 2.6870333548908903e-05
Position 551: 2.1066986293644403e-05
Position 116: 1.5774711073572787e-05
Position 1607: 1.4713663142295982e-05
Position 247: 1.2870015881112501e-05
Position 1643: 1.275758989575485e-05
Position 538: 9.925494209750849e-06
Position 982: 9.620808294763533e-06
Position 1431: 9.238630087500196e-06
Position 1959: 8.952090442450558e-06
Position 1163: 7.929592402833965e-06
Position 968: 7.243084365899803e-06
Position 1091: 6.536943616019015e-06
Position 656: 6.241502729607288e-06
Position 916: 4.599966205926331e-06
Position 653: 3.8079209340729536e-06
Position 143: 5.049305252926933e-07
Position 120: 4.664048449103307e-07
Position 189: 4.659598521769136e-07
Position 128: 3.7194079904254765e-07
Position 64: 3.606079437673743e-07
Position 169: 1.1860034953833667e-07
Position 152: 8.34040240013684e-08
Position 103: 6.111686049265367e-08
Position 198: 5.641747338848831e-08
Position 238: 4.176007401533841e-08
Position 82: 2.5104085684067873e-08
Position 791: 1.968481866281153e-08
Position 821: 1.271074012478001e-08
Position 195: 1.204850333927803e-08
Position 605: 1.1906849159111551e-08
Position 71: 1.1772295812138696e-08
Position 122: 9.958943682338003e-09
Position 73: 7.0005610256302525e-09
Position 647: 6.835031049363072e-09
Position 340: 2.033296165344872e-09
Position 411: 2.5717313784331746e-10
Position 217: 2.453607368659565e-10
Position 202: 1.9552743836548417e-11
