Gene = morgue
index = 1793
Annotated 5SS: [217]
Annotated 3SS: [278]
SMsplice 5SS: [217]
SMsplice 3SS: [278]
top_k =  500
Partition function (log Z): -3.401569596129462

Sorted 5' Splice Sites (High to Low Probability):
Position 217: 0.9922629502871146
Position 1341: 0.012796946630477727
Position 193: 0.007191477459756705
Position 477: 0.0009309032503830575
Position 14: 0.0007536498933245591
Position 221: 0.0005312582551972074
Position 21: 0.0003963886089723966
Position 1544: 0.0003075057610548914
Position 1140: 0.00025848741967209065
Position 846: 0.00021912548866689455
Position 1586: 0.0001559428730859323
Position 1577: 8.487969339082398e-05
Position 1449: 8.129058589354428e-05
Position 1646: 4.782548344098105e-05
Position 1289: 4.380008255038045e-05
Position 1165: 2.3855090030740676e-05
Position 1557: 2.2433484447592614e-05
Position 1025: 1.908128852405614e-05
Position 1016: 1.2920634199449299e-05
Position 1671: 8.925018523980291e-06
Position 962: 6.066396136046455e-06
Position 1689: 5.333801031224452e-06
Position 1701: 5.1255345875275996e-06
Position 1345: 5.085866258446416e-06
Position 1668: 2.4862573099063713e-06
Position 362: 2.3426138641922004e-06
Position 525: 1.9534134325917375e-06
Position 994: 1.6151651286022349e-06
Position 1392: 1.2494792075451321e-06
Position 297: 9.262917311718125e-07
Position 236: 9.109653581582325e-07
Position 25: 8.811594633369104e-07
Position 700: 7.217881662990765e-07
Position 437: 6.800033396146029e-07
Position 903: 6.335995252237311e-07
Position 638: 4.963795734082034e-07
Position 68: 4.3367355540867415e-07
Position 338: 2.7943796067298835e-07
Position 40: 2.166539688064175e-07
Position 898: 5.7486418730035585e-08
Position 825: 4.026278535849858e-08
Position 805: 3.0836662744554936e-08
Position 52: 2.982623807585052e-08
Position 1217: 2.5295854163592297e-08
Position 1087: 1.8945671094432243e-08
Position 953: 1.785340502584681e-08
Position 609: 1.5285914338055436e-08
Position 986: 9.162287053279421e-09
Position 63: 8.52677849144646e-09
Position 1081: 6.1252634959320886e-09
Position 927: 2.3109988340241654e-09
Position 840: 1.991261617518647e-09
Position 887: 1.6650997216134883e-09
Position 283: 1.5716667409431951e-09
Position 1270: 9.278257666733014e-10
Position 1440: 8.953559204378321e-10
Position 588: 8.011633691339914e-10
Position 1298: 4.929666707677058e-10
Position 85: 4.457572750291299e-10
Position 140: 4.1142959597604014e-10
Position 1484: 3.000556646095406e-10
Position 117: 2.234584586830728e-10
Position 1424: 2.193409826408912e-10
Position 299: 3.417746255873648e-12
Position 335: 2.382966736238329e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 278: 0.9985556153768583
Position 1415: 0.006269699450156467
Position 1412: 0.00587589509759737
Position 548: 0.0010892327926765573
Position 80: 0.0010720569195402886
Position 283: 0.0009231569011497791
Position 1696: 0.0006346572467930281
Position 1466: 0.0003783668728406357
Position 1757: 0.00027193126816314696
Position 1494: 0.00023671021971224875
Position 374: 0.00020471858121611116
Position 1341: 0.00018361672686848557
Position 91: 7.416115100921682e-05
Position 1244: 6.14421580883776e-05
Position 1610: 5.883537081280204e-05
Position 1613: 5.087693885136973e-05
Position 1186: 4.4771927724373806e-05
Position 911: 3.416852902094239e-05
Position 262: 2.6885410542669597e-05
Position 1701: 2.683278250659524e-05
Position 1535: 1.9833632689407312e-05
Position 898: 1.8741461671734705e-05
Position 1270: 9.86422770603017e-06
Position 1199: 7.255222970732457e-06
Position 994: 6.796358474056006e-06
Position 566: 6.075929866847711e-06
Position 974: 5.030677539084294e-06
Position 1002: 4.782921316450055e-06
Position 605: 4.200648189204016e-06
Position 1170: 3.899586458479742e-06
Position 1543: 3.682834600118826e-06
Position 588: 3.3304387794336195e-06
Position 698: 3.007016043168563e-06
Position 1100: 2.5345486821537816e-06
Position 443: 2.352986501856954e-06
Position 594: 2.12756907759278e-06
Position 947: 1.68558457806228e-06
Position 1091: 1.084698076335486e-06
Position 105: 9.542274075414015e-07
Position 903: 9.130022408210732e-07
Position 140: 8.410829676159831e-07
Position 1448: 8.238217227152613e-07
Position 1769: 7.038646249312e-07
Position 790: 6.948521668766385e-07
Position 63: 5.30340428979582e-07
Position 480: 5.193804168225101e-07
Position 99: 3.612106977305465e-07
Position 452: 2.965999767554978e-07
Position 114: 2.6262343777210116e-07
Position 126: 2.394017990809988e-07
Position 111: 1.335019772613898e-07
Position 1115: 6.381424138335527e-08
Position 117: 3.748571428466779e-08
Position 1281: 3.5436471034285354e-08
Position 137: 1.6696412510015986e-08
Position 971: 1.1040172471929133e-08
Position 177: 9.845371338375206e-10
Position 189: 4.8300431114270155e-11
Position 413: 4.0904487190864864e-11
Position 560: 1.9822158832146586e-11
Position 522: 1.6418943797944166e-11
Position 449: 1.4192746202273049e-11
Position 575: 1.2989858167021846e-11
Position 497: 1.1305279905142315e-11
Position 383: 8.763091095383497e-12
Position 746: 6.255385685831452e-12
Position 150: 6.0203096948862144e-12
Position 506: 4.664250004911065e-12
Position 236: 3.9761293695478955e-12
Position 768: 3.7781036039012345e-12
Position 431: 2.5442506698238513e-12
Position 386: 1.3178098978468072e-12
Position 579: 7.630608061735918e-13
Position 231: 4.655209225994683e-13
Position 196: 1.6219720607158032e-13
Position 198: 1.7962363922691075e-17
Position 332: 5.28463937668894e-23
