Gene = ppl
index = 1847
Annotated 5SS: [322 656]
Annotated 3SS: [376 716]
SMsplice 5SS: [322 656]
SMsplice 3SS: [376 716]
top_k =  500
Partition function (log Z): 2.037879224376154

Sorted 5' Splice Sites (High to Low Probability):
Position 656: 0.9910799785487041
Position 322: 0.9860604787287032
Position 589: 0.007376815601023432
Position 103: 0.0017483551999869023
Position 105: 0.0008838633992582096
Position 804: 0.0007881079147654842
Position 153: 0.0005423615387067888
Position 577: 0.0003932733472336662
Position 871: 0.00035119717401136156
Position 98: 0.000316402237203998
Position 565: 0.00016421346521510707
Position 436: 0.0001562898837439443
Position 877: 8.47705624291888e-05
Position 47: 6.0698505775386376e-05
Position 530: 6.0420347632194875e-05
Position 610: 5.8759398860552094e-05
Position 781: 3.59174108145007e-05
Position 667: 3.263652050897302e-05
Position 402: 3.093985419721411e-05
Position 24: 2.5501846791899006e-05
Position 412: 1.4831383544203324e-05
Position 855: 1.1280277843928717e-05
Position 547: 1.1120074930207721e-05
Position 641: 8.942459027609866e-06
Position 107: 8.370443287468997e-06
Position 207: 8.031379382575212e-06
Position 415: 5.6841682764396485e-06
Position 14: 2.8859922070093718e-06
Position 567: 2.660054802293446e-06
Position 731: 1.981450878341794e-06
Position 631: 1.968439114983007e-06
Position 363: 1.4574684661312967e-06
Position 109: 1.2494400878415938e-06
Position 475: 8.968840725514448e-07
Position 333: 4.997794158148178e-07
Position 887: 3.1603614370611065e-07
Position 186: 3.031183252747167e-07
Position 177: 2.8370842791811384e-07
Position 406: 1.56319950582902e-07
Position 581: 1.3659678180443536e-07
Position 478: 1.1783004725177447e-07
Position 480: 6.660900543054662e-08
Position 4: 4.3724280878271924e-08
Position 259: 3.0055926260505186e-08
Position 279: 2.7229251479716867e-08
Position 261: 1.35442269671123e-08
Position 129: 3.179153164717745e-09
Position 700: 7.483279161890367e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 716: 0.997753632434553
Position 376: 0.9845186572050808
Position 177: 0.0029107313413167537
Position 730: 0.001645823555306399
Position 858: 0.0007346827419795791
Position 496: 0.0005546623782094192
Position 229: 0.0004725702800330944
Position 962: 0.0004482036322317583
Position 425: 0.0004265904521738488
Position 459: 0.00024860748268179555
Position 449: 9.986865467379158e-05
Position 439: 6.232873481793045e-05
Position 638: 6.053556581175189e-05
Position 581: 5.61254827753938e-05
Position 894: 5.2328360910138226e-05
Position 101: 4.6893909989983384e-05
Position 242: 4.181985695221375e-05
Position 881: 4.101516601208793e-05
Position 402: 2.687280046474625e-05
Position 986: 2.064519461857929e-05
Position 436: 1.6962486745375882e-05
Position 588: 1.1903572264199123e-05
Position 284: 1.187425455383607e-05
Position 641: 1.1617057579129767e-05
Position 654: 1.0373485473343806e-05
Position 516: 8.683626773748414e-06
Position 844: 7.215355879574533e-06
Position 742: 5.302580452872738e-06
Position 519: 4.242695571862793e-06
Position 801: 3.6002445904608122e-06
Position 345: 3.5210532637874823e-06
Position 751: 3.4551422294766842e-06
Position 254: 3.355425177730745e-06
Position 609: 2.9791183837486038e-06
Position 259: 2.038652153267107e-06
Position 631: 7.945071314681112e-07
Position 600: 7.587259317379116e-07
Position 462: 5.429070407930599e-07
Position 651: 5.060135364831206e-07
Position 871: 3.234780471810035e-07
Position 315: 2.866702852481675e-07
Position 781: 2.7988815373070014e-07
Position 411: 2.1543734214972014e-07
Position 761: 1.7894281805448584e-07
Position 660: 1.7827527045898622e-07
Position 804: 1.4720718580609035e-07
Position 307: 1.343699390061593e-07
Position 553: 1.0402233242844162e-07
Position 672: 6.740992537475869e-08
Position 543: 6.589432883171627e-08
Position 560: 2.140408214194677e-08
Position 615: 6.9988805431060306e-09
Position 826: 4.565263240261732e-09
Position 54: 2.430776450730781e-09
Position 321: 1.8385493212044108e-12
Position 326: 1.3763764284038074e-12
