Gene = Tim23
index = 1562
Annotated 5SS: [250 631 860]
Annotated 3SS: [347 689 923]
SMsplice 5SS: [250 631 860]
SMsplice 3SS: [347 689 923]
top_k =  500
Partition function (log Z): -3.15950665986614

Sorted 5' Splice Sites (High to Low Probability):
Position 860: 0.9679379437006804
Position 250: 0.8886587743595027
Position 631: 0.698349351673815
Position 617: 0.044483324695551454
Position 91: 0.01123728144298956
Position 686: 0.009759812441180855
Position 533: 0.008050191330612796
Position 567: 0.004672301958641757
Position 269: 0.004069618048225286
Position 817: 0.002339201891672605
Position 79: 0.0013086968138246542
Position 740: 0.00129516602380127
Position 27: 0.0003804545757684914
Position 621: 0.0003196680949441269
Position 852: 0.00031945925109594717
Position 579: 0.00029618887030324377
Position 6: 0.00010357413145054447
Position 657: 7.247522600362441e-05
Position 716: 6.332487326154136e-05
Position 690: 5.2391592696430245e-05
Position 415: 5.0374055116809136e-05
Position 396: 4.80514408366914e-05
Position 320: 3.6437088974563554e-05
Position 407: 3.594258805676449e-05
Position 202: 3.4778997402872775e-05
Position 546: 2.9584771442061293e-05
Position 142: 2.7731064181573287e-05
Position 57: 2.268897495836341e-05
Position 1056: 1.7439843983999004e-05
Position 1053: 1.7056447730882555e-05
Position 460: 1.1317353481445051e-05
Position 1011: 8.547774439546903e-06
Position 107: 8.087839434612054e-06
Position 505: 5.729147152536451e-06
Position 387: 5.31707048857656e-06
Position 110: 3.6774507155748724e-06
Position 937: 3.0033951098903822e-06
Position 751: 2.5909038357980262e-06
Position 948: 1.4895269778794635e-06
Position 1023: 1.109844892941712e-06
Position 304: 7.557103577286729e-08
Position 587: 7.242251535111099e-09
Position 569: 6.448747863411101e-09
Position 492: 2.061495386489692e-10
Position 756: 1.1793643642391354e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 923: 0.961540375347548
Position 347: 0.7659683082689153
Position 689: 0.7537066379459243
Position 297: 0.05091894238976276
Position 445: 0.028329964606603135
Position 399: 0.021970870762835038
Position 739: 0.010847496403238129
Position 905: 0.010403430518167485
Position 396: 0.008357464431190417
Position 476: 0.006911080857193858
Position 711: 0.006114318557769679
Position 783: 0.0041373111552064105
Position 151: 0.004106762018118597
Position 715: 0.002296758416190852
Position 933: 0.0018585885782357791
Position 998: 0.0016602441213119023
Position 127: 0.0016369322552406847
Position 587: 0.0010945944224594508
Position 727: 0.0004640707346624721
Position 520: 0.00038439453769896774
Position 524: 0.00027086408586463485
Position 449: 0.0001972160425781188
Position 607: 0.00012679508708877512
Position 799: 9.89027893163622e-05
Position 490: 9.37400407877265e-05
Position 387: 9.105998129308955e-05
Position 596: 8.768934775165842e-05
Position 356: 8.480434148895475e-05
Position 101: 5.249944397037545e-05
Position 631: 4.9871396090973345e-05
Position 1109: 4.1409349637743314e-05
Position 217: 3.0660715516494525e-05
Position 1039: 2.949430010584169e-05
Position 817: 2.8700944113669933e-05
Position 454: 2.493964720083588e-05
Position 566: 1.8733761893787147e-05
Position 1003: 1.8723469540763685e-05
Position 1063: 1.7217894882205933e-05
Position 772: 1.3534430909495533e-05
Position 69: 1.2964723710854824e-05
Position 859: 8.545439506685757e-06
Position 838: 7.2023532761065154e-06
Position 1011: 5.156329863858855e-06
Position 1085: 4.224553895676371e-06
Position 1056: 3.311970524739262e-06
Position 635: 2.70166450670264e-06
Position 487: 2.3202446994636145e-06
Position 54: 2.1866265649090753e-06
Position 91: 1.8361352379526513e-06
Position 1073: 1.2708326260777353e-06
Position 458: 9.331252875270122e-07
Position 563: 4.847637039483125e-07
Position 352: 3.5408394337376897e-07
Position 1023: 3.2906525577848285e-07
Position 610: 3.14653749385524e-07
Position 460: 3.053994735988374e-07
Position 79: 3.0222964374638495e-07
Position 202: 9.761521750224556e-08
Position 129: 7.316801504607483e-10
Position 254: 8.616266720974564e-11
Position 262: 2.837992313998785e-11
