Gene = Ssb-c31a
index = 1525
Annotated 5SS: [156]
Annotated 3SS: [211]
SMsplice 5SS: [156]
SMsplice 3SS: [211]
top_k =  500
Partition function (log Z): -3.437314636338561

Sorted 5' Splice Sites (High to Low Probability):
Position 156: 0.998768652257711
Position 515: 0.003594066561313288
Position 323: 0.0016804641031410834
Position 186: 0.0010524572112599697
Position 518: 0.0010305499056816395
Position 528: 0.0005150481050061555
Position 493: 0.00021427528243827727
Position 160: 7.965740990388015e-05
Position 195: 5.8220260704125715e-05
Position 370: 3.4476304164874236e-05
Position 356: 2.644893057632681e-05
Position 213: 1.7755044604230603e-05
Position 464: 1.320362304473396e-05
Position 27: 1.1217153886822425e-05
Position 288: 6.117360558455268e-06
Position 452: 4.085808893619925e-06
Position 345: 2.506031081711402e-06
Position 337: 2.3188645222087875e-06
Position 145: 1.6138243423371864e-06
Position 8: 1.398400247720766e-06
Position 68: 2.2454506966721764e-07
Position 77: 6.299879713890356e-08
Position 125: 5.5624591347695705e-08
Position 63: 3.1035462342468266e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 211: 0.9744000838482488
Position 263: 0.023682130494184776
Position 576: 0.006923896359139369
Position 220: 0.0010477404486019934
Position 272: 0.0005202617266925921
Position 409: 0.00012620231143003758
Position 382: 8.410933008368408e-05
Position 406: 8.199043959563494e-05
Position 228: 6.159382586355956e-05
Position 439: 5.42630173014569e-05
Position 311: 3.482923218623074e-05
Position 540: 3.107017413022543e-05
Position 452: 2.8987985841649873e-05
Position 322: 1.7731168209754384e-05
Position 235: 6.282347266072593e-06
Position 232: 3.952610249136699e-06
Position 113: 2.7495891154497e-06
Position 515: 1.927292329324763e-06
Position 241: 1.0728470188744891e-06
Position 116: 7.539600008634269e-07
Position 521: 7.451287871708103e-07
Position 493: 7.123285204851113e-07
Position 464: 6.771456489301217e-07
Position 461: 3.4950045660876174e-07
Position 185: 2.553800289712967e-07
Position 368: 2.516506805855501e-07
Position 132: 1.901197086289482e-07
Position 119: 4.9648668883984406e-08
Position 136: 2.7462117740642326e-08
Position 370: 1.1487349616811628e-08
Position 481: 3.031666941702535e-09
Position 337: 2.4283286543751613e-09
Position 150: 1.5422205097456844e-09
Position 142: 7.675259902075456e-10
Position 168: 1.728820807924523e-11
Position 195: 4.74152128893845e-13
Position 160: 4.164215433368318e-14
