Gene = Spn28Dc
index = 1515
Annotated 5SS: [779]
Annotated 3SS: [1649]
SMsplice 5SS: [779]
SMsplice 3SS: [1649]
top_k =  500
Partition function (log Z): -10.020131528121556

Sorted 5' Splice Sites (High to Low Probability):
Position 779: 0.7743678851273308
Position 454: 0.10088151953534341
Position 720: 0.03762563315734144
Position 947: 0.03022364839807382
Position 108: 0.021899489367184194
Position 1580: 0.018335586556032922
Position 1346: 0.015101382105342492
Position 1177: 0.012048630310995257
Position 1039: 0.01083131542929246
Position 1181: 0.009893934334972036
Position 884: 0.009743795808282083
Position 1350: 0.008638752934535688
Position 1173: 0.008407109008672881
Position 1231: 0.006308524889055891
Position 960: 0.003929696585228232
Position 409: 0.0027782679136560424
Position 333: 0.0021634830742994614
Position 252: 0.001760904369110493
Position 923: 0.0014499413092138843
Position 835: 0.0013757374077789362
Position 1021: 0.001234292810741777
Position 30: 0.0010999881654792036
Position 1114: 0.0008179070439839129
Position 709: 0.00046618168961533394
Position 276: 0.000394402109692981
Position 587: 0.00031651318282037937
Position 411: 0.0002603337624918922
Position 1946: 0.00017566829821154037
Position 846: 0.00015052642941091384
Position 967: 0.0001396150197507538
Position 1024: 0.00011554734611271462
Position 1502: 0.00011327249135715316
Position 1192: 0.00010953479747260816
Position 117: 9.22590534335162e-05
Position 486: 8.414983277907244e-05
Position 1338: 8.275736637624958e-05
Position 39: 7.872844959198633e-05
Position 124: 6.0807528521238184e-05
Position 549: 5.503912289393611e-05
Position 529: 2.1184360716966055e-05
Position 523: 7.122334649980566e-06
Position 375: 7.0154562488841445e-06
Position 308: 2.6250772340434645e-06
Position 539: 2.2331449151840952e-06
Position 142: 9.150155344672955e-07
Position 894: 8.726962248106355e-07
Position 112: 6.377142594851021e-07
Position 542: 3.738259626721579e-07
Position 569: 3.379342505122464e-07
Position 1010: 3.051909205445355e-07
Position 48: 2.960158895542653e-07
Position 1260: 2.6014684400317097e-07
Position 119: 2.2972991073006392e-07
Position 41: 7.708392578721041e-10
Position 740: 6.807452446199435e-10
Position 43: 6.189484519798591e-10
Position 80: 9.059315578101964e-11
Position 34: 1.4428502513952747e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1649: 0.7035046658299301
Position 1456: 0.12750094076685484
Position 1513: 0.07002808657233381
Position 778: 0.0328053410959305
Position 1103: 0.027471808981796356
Position 1547: 0.024344834172475304
Position 521: 0.022007062213901835
Position 1686: 0.013399433391606794
Position 574: 0.009472319940967365
Position 1598: 0.007304690308906247
Position 1145: 0.006837207574228357
Position 1502: 0.006040413055064129
Position 1337: 0.003863203033016939
Position 1836: 0.00311560103511713
Position 1328: 0.002887102961844306
Position 1479: 0.002453784418413445
Position 959: 0.0019871473974259067
Position 605: 0.0019387493087866727
Position 1059: 0.001856452911471402
Position 1263: 0.0017617278836016758
Position 529: 0.0013776333878467628
Position 1001: 0.0011001302824988953
Position 1797: 0.0009793869271377226
Position 825: 0.0008480158084687543
Position 947: 0.0006240683536774121
Position 587: 0.0005919212705898856
Position 1231: 0.0005638035472281306
Position 2232: 0.0004859272972165157
Position 194: 0.0004599629737341406
Position 1008: 0.00044770033309845836
Position 2222: 0.0004372895516537646
Position 1521: 0.00043476264102717096
Position 973: 0.000428857848253403
Position 2006: 0.0004046012421275251
Position 1749: 0.0003636335099193094
Position 464: 0.0003608221576485729
Position 1861: 0.0003478151657162431
Position 1692: 0.000292891092992464
Position 2037: 0.00028362173960704256
Position 749: 0.0002515229996166486
Position 1308: 0.0002050626590902181
Position 1197: 0.0001819978036873357
Position 907: 0.00017270410599791257
Position 1244: 0.00016059433267048257
Position 870: 0.0001544204630863465
Position 1784: 0.00013243184277030858
Position 642: 0.00011536080140448244
Position 154: 0.000112123076711713
Position 2154: 0.00011139905430902872
Position 1349: 0.00010325288338997882
Position 625: 8.25974008175068e-05
Position 673: 7.482195119994053e-05
Position 2613: 7.309379675661384e-05
Position 617: 6.86135841417706e-05
Position 1385: 6.794937295707725e-05
Position 1151: 5.459907460760509e-05
Position 409: 4.8703212786739175e-05
Position 2617: 2.916961119470104e-05
Position 536: 2.4522731776463708e-05
Position 629: 1.440881882343753e-05
Position 440: 1.1301846874130108e-06
Position 296: 9.939604239846843e-07
Position 951: 8.325990243192228e-07
Position 218: 7.197707976268372e-07
Position 206: 2.314640261468939e-07
Position 701: 1.9617623336532252e-07
Position 215: 1.1888978515836636e-07
Position 539: 4.66295093675324e-08
Position 227: 3.722398700010107e-08
Position 1035: 3.715798069589253e-08
Position 791: 3.0829303186137626e-08
Position 112: 2.3210926068539072e-08
Position 883: 6.653268335460101e-09
Position 224: 3.528053843802474e-10
Position 236: 2.626444753572723e-10
