Gene = Aprt
index = 23
Annotated 5SS: [329 697]
Annotated 3SS: [458 770]
SMsplice 5SS: [697]
SMsplice 3SS: [770]
top_k =  500
Partition function (log Z): -3.420146665967815

Sorted 5' Splice Sites (High to Low Probability):
Position 697: 0.9506357928166563
Position 329: 0.5370856871534001
Position 416: 0.07878721788402525
Position 180: 0.06992748001144863
Position 692: 0.043575558759056846
Position 885: 0.010582120976079714
Position 349: 0.008735916628549851
Position 166: 0.005519022659882171
Position 427: 0.003661510581023002
Position 123: 0.0031111796776251053
Position 155: 0.0022601846086691513
Position 687: 0.0014123103014510867
Position 980: 0.001051777590407907
Position 989: 0.0009987379461990115
Position 963: 0.0009803059810890064
Position 419: 0.0006496186469043212
Position 1001: 0.00041494278962239846
Position 425: 0.0003217855660036514
Position 701: 0.00027671640217304263
Position 553: 0.00025690466875390535
Position 202: 0.00023821905857618984
Position 187: 0.0002020962968009358
Position 138: 0.00015228974992322202
Position 536: 9.877699483513429e-05
Position 559: 7.667703556095771e-05
Position 494: 7.469896803910705e-05
Position 273: 6.724741429553867e-05
Position 58: 6.268286251959502e-05
Position 847: 5.987163648076386e-05
Position 51: 3.99408006722847e-05
Position 661: 3.964349780435838e-05
Position 372: 3.704153193497486e-05
Position 226: 3.3036372753794696e-05
Position 293: 2.1353028614247558e-05
Position 333: 1.2115868029719141e-05
Position 323: 7.860894220053044e-06
Position 927: 5.527540232313388e-06
Position 498: 5.111212268746784e-06
Position 517: 3.817143079574808e-06
Position 664: 3.7271104353537575e-06
Position 912: 3.587817621150265e-06
Position 940: 3.1355483527217106e-06
Position 118: 1.8761453625186338e-06
Position 458: 9.643845216578796e-07
Position 1112: 4.903999180255981e-07
Position 60: 2.054088287192205e-07
Position 670: 1.2621391365311648e-08
Position 623: 3.561108361750147e-09
Position 439: 8.585465796875936e-10
Position 816: 5.390013713258044e-10
Position 339: 2.9847039830426905e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 770: 0.9922780661125009
Position 601: 0.3751232826324105
Position 489: 0.17731106154238382
Position 458: 0.064031364937369
Position 250: 0.05827473865889042
Position 415: 0.020649090150287954
Position 229: 0.007682967223636189
Position 1135: 0.004389045488325311
Position 1107: 0.00410120497291982
Position 1061: 0.003325041539228517
Position 536: 0.002796281772812156
Position 803: 0.002671697258181427
Position 226: 0.0018189270433125074
Position 1041: 0.0016627579303386275
Position 840: 0.0012540208165156557
Position 846: 0.0008642345942765535
Position 1214: 0.0004504401690310512
Position 311: 0.0004498279248343694
Position 1202: 0.0003612462284435938
Position 1195: 0.00022844624088335432
Position 472: 0.00020381121295918013
Position 552: 0.00016624541377230034
Position 884: 0.00016585126313766444
Position 314: 0.00013756012200281066
Position 740: 0.00010576899758484722
Position 356: 0.00010416390057919733
Position 642: 0.00010263364113209199
Position 980: 0.00010064867385795226
Position 284: 9.154217109771583e-05
Position 816: 9.06939893079855e-05
Position 1065: 6.974762621702372e-05
Position 733: 6.0953408981286585e-05
Position 103: 5.914884384063391e-05
Position 639: 4.976587041941208e-05
Position 202: 4.5336338441234145e-05
Position 258: 4.119082574189476e-05
Position 372: 3.758237730921399e-05
Position 1009: 3.7015473036529744e-05
Position 187: 1.6337982135878358e-05
Position 278: 1.3894926997736457e-05
Position 938: 1.3725037512044088e-05
Position 949: 1.0340428203542758e-05
Position 138: 9.011743782007881e-06
Position 280: 7.252884732748487e-06
Position 115: 7.232916367531171e-06
Position 609: 5.319194215271086e-06
Position 546: 3.992501015593342e-06
Position 927: 3.011430496047602e-06
Position 263: 3.005042250908642e-06
Position 963: 2.990547929305453e-06
Position 348: 1.8883101798611942e-06
Position 648: 1.8795252444491873e-06
Position 293: 1.4290488099166842e-06
Position 166: 1.1906088636261851e-06
Position 687: 2.8099789577862146e-07
Position 267: 2.670246183133692e-07
Position 170: 2.616765598027521e-07
Position 333: 3.404311417817526e-08
Position 158: 3.265387665440869e-08
Position 782: 1.149121735435492e-09
Position 238: 8.876795655427565e-10
Position 363: 3.299339273938546e-11
