Gene = Gug
index = 1204
Annotated 5SS: [  536  2207 12182 13316 18153 18337 18562 18783 19002 19572 19761 20266
 20458 20562]
Annotated 3SS: [ 1852 12049 13081 13378 18212 18416 18621 18944 19487 19642 20165 20362
 20508 21229]
SMsplice 5SS: [  536 18153 18337 18562 18783 19572 19770 20266 20608 21118]
SMsplice 3SS: [16402 18212 18416 18621 19487 19642 20165 20362 20832 21229]
top_k =  500
Partition function (log Z): 17.219570944501555

Sorted 5' Splice Sites (High to Low Probability):
Position 18562: 0.9989451570988137
Position 18783: 0.9958683162968677
Position 19572: 0.9938144435145245
Position 536: 0.9627659294763712
Position 20266: 0.9346470704711456
Position 20608: 0.5398454438874479
Position 21118: 0.5067313989146692
Position 19761: 0.4939260452560183
Position 19770: 0.4798701800616843
Position 20562: 0.4471833185705349
Position 2207: 0.3732017142206016
Position 10132: 0.20858933175112943
Position 21122: 0.20260074343391138
Position 12167: 0.19328232912803966
Position 19002: 0.16185322729013735
Position 22371: 0.07894382153943827
Position 9386: 0.07336751095538427
Position 9390: 0.0682057834370716
Position 21671: 0.04467601854170307
Position 20458: 0.04378816503424565
Position 21111: 0.0303446182562438
Position 21430: 0.024532376662098305
Position 19328: 0.023524077430067823
Position 1418: 0.0163378656402215
Position 8851: 0.013796585795034204
Position 20288: 0.011133455418428728
Position 21083: 0.010813317773217956
Position 20911: 0.009217046839227628
Position 9784: 0.007869889617858577
Position 766: 0.006914061339589444
Position 245: 0.006186216721033989
Position 22325: 0.005804930867501834
Position 8855: 0.005499073785575718
Position 8859: 0.004608304961724636
Position 1614: 0.0033339317746039323
Position 9365: 0.0032281405365699846
Position 21039: 0.0029196425939579003
Position 8863: 0.002846885836804991
Position 21170: 0.0027681953158078094
Position 19576: 0.002710006295220513
Position 21150: 0.0026366223494317556
Position 20928: 0.0026036226578859427
Position 9509: 0.0025940258936377235
Position 19739: 0.002498235666082935
Position 19586: 0.002422531874035929
Position 19765: 0.002137857119702542
Position 557: 0.0021285453492424695
Position 19223: 0.0019246395107976179
Position 9984: 0.0018848965354801336
Position 19335: 0.001749901830713425
Position 9782: 0.001652615850156946
Position 275: 0.001627953471735375
Position 18990: 0.0015523092266890859
Position 9999: 0.0013877529732780744
Position 9994: 0.0013828469276582435
Position 21103: 0.00127513272146164
Position 21828: 0.001204247266146438
Position 20926: 0.0011450467897842233
Position 582: 0.0010896028889928304
Position 18720: 0.001046635307639551
Position 1444: 0.0010058345630881566
Position 21222: 0.0009398571222283393
Position 18916: 0.0009339171036760494
Position 18548: 0.0008891366156954363
Position 1104: 0.0008376492921259925
Position 20612: 0.0008301972436817437
