Gene = nvd
index = 1826
Annotated 5SS: [  337 23857 41197 76101 76329]
Annotated 3SS: [23462 40892 75988 76154 76388]
SMsplice 5SS: [  337  1059  5579  5766 76101 76329]
SMsplice 3SS: [  401  5438  5642 75831 76154 76388]
top_k =  500
Partition function (log Z): -82.16037970544762

Sorted 5' Splice Sites (High to Low Probability):
Position 5579: 0.9813652341458307
Position 5766: 0.9752890057906866
Position 337: 0.937824505914194
Position 6170: 0.8665600535405679
Position 1059: 0.537599182412454
Position 651: 0.2223472599071909
Position 1099: 0.09903007858782106
Position 6016: 0.08920392383659895
Position 554: 0.059399935669175064
Position 2022: 0.02358963624979837
Position 5811: 0.016803222006324687
Position 16510: 0.006655913500512309
Position 20: 0.0065488624472415154
Position 409: 0.0025851880251769183
Position 5781: 0.0021449846617490787
Position 353: 0.0017040410397843623
Position 5972: 0.0014230382119287373
Position 5900: 0.0013649301649492488
Position 341: 0.0013426894027373946
Position 1980: 0.00096503209381054
Position 5711: 0.0007709797821054392
Position 370: 0.0006264030888583162
Position 1807: 0.000593709564267814
Position 141: 0.000519492220922633
Position 357: 0.0005036238801657448
Position 381: 0.0003695106368163687
Position 122: 0.00030789376178222514
Position 136: 0.00029678407510477735
Position 899: 0.00021929558738242226
Position 97: 0.00018343274322363002
Position 595: 0.00017028163879410552
Position 402: 0.00015236575023700672
Position 248: 0.00013251934111472904
Position 826: 0.0001143399718387484
Position 25: 0.00010787131539599304
Position 879: 9.811405201961979e-05
Position 27: 7.45002465310404e-05
Position 120: 6.986143856007606e-05
Position 470: 5.525421709243915e-05
Position 459: 4.827119303788779e-05
Position 12563: 4.6540334841141574e-05
Position 149: 3.828428761376133e-05
Position 48: 3.20409904559068e-05
Position 103: 2.611257988007795e-05
Position 517: 2.5264995543470734e-05
Position 339: 2.3403941028114985e-05
Position 283: 1.4531676730044956e-05
Position 266: 1.1460722751049278e-05
Position 1323: 9.62554004754972e-06
Position 429: 8.421519969467073e-06
Position 1120: 7.458267807385814e-06
Position 1785: 7.433689430945556e-06
Position 1286: 6.248963255374979e-06
Position 9394: 5.139955255093805e-06
Position 903: 4.428226626837278e-06
Position 630: 3.87799012368803e-06
Position 146: 3.4606328016070993e-06
Position 621: 3.315105968252672e-06
Position 316: 2.9162024006218013e-06
Position 9550: 2.524580435067796e-06
Position 1063: 1.1719995825827207e-06
Position 1478: 7.404928914191023e-07
Position 989: 6.97825701461337e-07
Position 7215: 6.318499048635602e-07
Position 771: 6.043561509828746e-07
Position 259: 4.933847028227754e-07
Position 203: 3.4080375840140225e-07
Position 7049: 1.8668612346409558e-07
Position 7164: 1.7973385905038113e-07
Position 507: 1.7918626793722318e-07
Position 6177: 1.6877091165301197e-07
Position 7726: 6.128547786497875e-08
Position 6265: 3.546611295646318e-08
Position 6188: 3.2145108965053696e-08
Position 216: 2.3440778155175384e-08
Position 270: 8.87966463086296e-09
Position 6952: 4.90108492157678e-09
Position 6761: 3.27703548177781e-09
Position 1682: 4.567252601942704e-10
Position 1647: 2.9431731844745285e-10
Position 6376: 2.6957170896458323e-10
Position 2828: 1.7642399809799303e-10
Position 1402: 6.684302205196675e-11
Position 1043: 4.479787980868406e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 5642: 0.9783175278398956
Position 401: 0.7751479096959777
Position 20985: 0.7711013805117334
Position 5438: 0.7212974026418094
Position 5882: 0.6086694386987417
Position 5298: 0.2532164545761003
Position 17782: 0.20936189794891624
Position 5836: 0.14801575890624513
Position 5839: 0.14123641524153444
Position 937: 0.050746781085260845
Position 6071: 0.02070147107861648
Position 15569: 0.01894458354659152
Position 6090: 0.016282609360664273
Position 5461: 0.016275235986818272
Position 5863: 0.013956226421455435
Position 528: 0.012967755744485669
Position 850: 0.012568749981400206
Position 5253: 0.007326726129666429
Position 902: 0.007054343201310324
Position 1834: 0.0069910305408972355
Position 16584: 0.006655913500512309
Position 5971: 0.006201950476104323
Position 558: 0.005307901799384617
Position 1182: 0.005198242105299098
Position 992: 0.004983357109583047
Position 5662: 0.0034054987685902863
Position 1019: 0.002951891532333529
Position 771: 0.00291479671718037
Position 1866: 0.002273362059330719
Position 174: 0.0013168976635689622
Position 879: 0.0009088289773751072
Position 1311: 0.0009036939435497357
Position 564: 0.0007580866255042444
Position 1473: 0.0006699586902593012
Position 914: 0.0006698997532010314
Position 459: 0.0005148068386155164
Position 650: 0.0005127061269440997
Position 749: 0.00048114092760313674
Position 413: 0.0004670198264357937
Position 1766: 0.00043886666047645445
Position 429: 0.000432684908780691
Position 12608: 0.00032977478368720277
Position 962: 0.0002681858233000028
Position 12454: 0.00025793613198836176
Position 989: 0.0002524241095625469
Position 5012: 3.7361839202751565e-05
Position 1535: 2.881894191499033e-05
Position 203: 2.2568238711726856e-05
Position 1373: 1.5738821425157468e-05
Position 1217: 1.544096554968263e-05
Position 8611: 6.572447677570121e-06
Position 280: 6.47645977665619e-06
Position 11480: 6.087635692045818e-06
Position 9849: 5.986209294479677e-06
Position 228: 5.855572848290663e-06
Position 248: 5.773412109216392e-06
Position 9444: 5.139955255093732e-06
Position 11102: 4.006869854731918e-06
Position 6256: 3.945462086884798e-06
Position 141: 3.4015815871628785e-06
Position 10850: 2.7492751862429067e-06
Position 10817: 2.629621245862785e-06
Position 9611: 2.524580435067796e-06
Position 436: 2.276641592941387e-06
Position 325: 2.2751848218753744e-06
Position 10342: 1.5926847551550802e-06
Position 492: 1.2839208485624692e-06
Position 7287: 1.156551146148523e-06
Position 9672: 6.308257538241789e-07
Position 381: 5.162430316144001e-07
Position 6223: 4.7661324400090335e-07
Position 7145: 4.4487168858983946e-07
Position 7582: 2.4158919547031115e-07
Position 7237: 2.345989183914118e-07
Position 7377: 2.1412186097223263e-07
Position 146: 2.0821923568470223e-07
Position 6681: 1.5628784098740505e-07
Position 500: 1.328629761857816e-07
Position 595: 1.2517971084349785e-07
Position 826: 1.0793903972507833e-07
Position 6774: 1.0701519487051406e-07
Position 1043: 9.828649262592276e-08
Position 6802: 9.21747920352015e-08
Position 7258: 6.377588400088596e-08
Position 7819: 6.128547786497903e-08
Position 7449: 4.957583209528977e-08
Position 1025: 4.541405275682206e-08
Position 796: 2.2011035606840717e-08
Position 6777: 1.699849994677356e-08
Position 6482: 1.4211933860711921e-08
Position 6112: 1.3053999699540333e-08
Position 6049: 1.0518087615750507e-08
Position 6122: 2.3958702948209043e-09
Position 2185: 1.5212491217709512e-09
Position 6097: 9.772912072376472e-10
Position 589: 7.545611373288318e-10
Position 197: 3.8309835355592185e-10
Position 370: 1.802437481010306e-10
Position 2891: 1.7642399809799217e-10
Position 2220: 1.0272576681449891e-10
Position 2492: 1.3445705662677021e-11
Position 336: 1.3191264667922458e-11
Position 1134: 3.5814091176845436e-12
Position 378: 2.9805897199728643e-19
