Gene = psd
index = 1850
Annotated 5SS: [207]
Annotated 3SS: [528]
SMsplice 5SS: [207]
SMsplice 3SS: [528]
top_k =  500
Partition function (log Z): -9.0857113020252

Sorted 5' Splice Sites (High to Low Probability):
Position 207: 0.2826052525054261
Position 459: 0.27598830091929305
Position 272: 0.17229644843985456
Position 244: 0.16307408984413987
Position 81: 0.13550050518202744
Position 1170: 0.12495363794293853
Position 871: 0.10795495343484746
Position 419: 0.06386312462730234
Position 612: 0.044323515014075256
Position 773: 0.011592390566503017
Position 868: 0.01158994584900335
Position 277: 0.008490274726819687
Position 170: 0.0075169219602416355
Position 821: 0.005532420370806455
Position 642: 0.0047557862181529815
Position 140: 0.002497215643936801
Position 1174: 0.0018342072639859408
Position 1453: 0.001640165995813436
Position 49: 0.0015706282917693428
Position 813: 0.001373532012531209
Position 165: 0.0012925145272040257
Position 628: 0.0010965678182332137
Position 391: 0.0004311359005286479
Position 404: 0.00041728625007472926
Position 393: 0.00032832937435414516
Position 818: 0.00026821561333614823
Position 62: 0.0001926360367816509
Position 1481: 0.00011104699536742346
Position 606: 4.807816027556104e-05
Position 615: 1.279284896393273e-05
Position 582: 1.0729366835040775e-05
Position 566: 8.806600777341478e-06
Position 51: 5.340991519495335e-06
Position 150: 5.24432498003576e-06
Position 335: 3.91658435599476e-06
Position 145: 3.331760013096223e-06
Position 143: 1.8507766584496364e-06
Position 411: 1.545816326125474e-06
Position 385: 3.0558345841439796e-07
Position 14: 1.2685610100854222e-07
Position 529: 2.8363795879065694e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 528: 0.713391648460387
Position 340: 0.2869645218126988
Position 944: 0.1557697239851763
Position 1223: 0.048406313094023115
Position 1601: 0.047623825051325674
Position 1061: 0.03539103878830893
Position 684: 0.03020044723102388
Position 297: 0.025458030421677335
Position 359: 0.02282429985751424
Position 690: 0.01296471760795275
Position 1395: 0.009252634812695271
Position 1241: 0.008951253250598534
Position 1733: 0.006160919224951541
Position 143: 0.005462696447964946
Position 1301: 0.004695367233069494
Position 458: 0.0040509231109201365
Position 1412: 0.0030986530586494918
Position 1564: 0.0024769735469014806
Position 1651: 0.0022368696519249843
Position 1271: 0.0013398623473442534
Position 351: 0.0012131517597552559
Position 1232: 0.0012042280848559611
Position 1501: 0.0010539558215826733
Position 1433: 0.000627265834029118
Position 868: 0.0006161729580152896
Position 130: 0.0002921927528552243
Position 582: 0.00027841674669553795
Position 1021: 0.0002113766967551587
Position 140: 0.00016666901656271028
Position 1286: 0.00014257344368997238
Position 579: 0.00012371565294944564
Position 248: 0.00011704874808260996
Position 1549: 0.00011459500326657197
Position 1855: 6.42417178255405e-05
Position 109: 5.852715925154519e-05
Position 994: 5.211501144274867e-05
Position 1065: 3.560849958678213e-05
Position 277: 3.1340880428507655e-05
Position 1813: 2.7549226236890258e-05
Position 364: 1.0068756124281745e-05
Position 272: 9.655729256016299e-06
Position 118: 4.632536923802016e-06
Position 372: 3.2818998771835437e-06
Position 391: 3.2472986786914104e-06
Position 165: 2.993027777746126e-06
Position 385: 2.6158808309164875e-06
Position 1126: 1.6391335690787425e-06
Position 114: 1.3078548822182268e-06
Position 844: 1.1960030113964835e-06
Position 377: 8.055219730922543e-07
Position 150: 2.3917745929426554e-07
Position 77: 3.518108991762074e-10
Position 85: 1.6874750776209564e-10
Position 265: 9.511368386407642e-12
