Gene = aph-1
index = 1611
Annotated 5SS: [475]
Annotated 3SS: [533]
SMsplice 5SS: [237 475]
SMsplice 3SS: [300 533]
top_k =  500
Partition function (log Z): -3.7007985900729463

Sorted 5' Splice Sites (High to Low Probability):
Position 475: 0.9673969549665571
Position 237: 0.9074400407355198
Position 490: 0.01413127261060651
Position 234: 0.008172883745862175
Position 636: 0.007186601054120113
Position 27: 0.0059238937333185755
Position 141: 0.0020749697646220183
Position 883: 0.0019728556628511923
Position 63: 0.0017166146290988127
Position 869: 0.0012410789881552064
Position 169: 0.0010396002330953606
Position 854: 0.0009367942008169662
Position 454: 0.00013171256941313844
Position 602: 0.00010004571733379753
Position 704: 9.174256463563513e-05
Position 896: 6.0330053236984916e-05
Position 807: 4.872754030743264e-05
Position 829: 4.2524335412977355e-05
Position 460: 4.0423839470971505e-05
Position 605: 3.4730712548694325e-05
Position 479: 2.6309599236377487e-05
Position 687: 1.971133881012609e-05
Position 145: 1.5034977030358423e-05
Position 444: 1.447690708916868e-05
Position 312: 9.558851176299774e-06
Position 494: 8.688333601904682e-06
Position 6: 5.174922625975192e-06
Position 928: 4.93543568054747e-06
Position 379: 4.8432524966763655e-06
Position 289: 3.249339645024612e-06
Position 690: 1.698780472317143e-06
Position 96: 1.3692037090645206e-06
Position 280: 1.2082878155963945e-06
Position 943: 1.0371181270609847e-06
Position 526: 6.1150203065766e-07
Position 499: 5.659625774855505e-07
Position 535: 4.445555280895551e-07
Position 277: 2.985851153785175e-07
Position 87: 1.989435806406379e-07
Position 261: 5.318965801378274e-08
Position 291: 4.136975797703643e-08
Position 409: 7.240426942933311e-10
Position 582: 5.808807136398032e-10
Position 361: 1.6045911011830655e-10
Position 538: 9.74485578343542e-11
Position 774: 1.3104800731427158e-11
Position 708: 1.8068906479239077e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 533: 0.9575100325817977
Position 300: 0.9246430633096048
Position 681: 0.016946111250716853
Position 697: 0.011678376644880516
Position 943: 0.004628805412190842
Position 560: 0.0011381650720788082
Position 76: 0.0008714345181152597
Position 993: 0.0008186409022495813
Position 81: 0.0005012965394837574
Position 517: 0.00036810681858170664
Position 599: 0.00025632950615523927
Position 304: 0.0001729997477228777
Position 890: 7.659326168338548e-05
Position 1018: 7.114026510700083e-05
Position 338: 6.794551065739646e-05
Position 258: 5.5698602591360485e-05
Position 835: 3.243061015470188e-05
Position 1010: 2.792137898585807e-05
Position 169: 1.976812440919209e-05
Position 96: 9.888065144164581e-06
Position 883: 5.160768168715746e-06
Position 535: 2.4174864348868366e-06
Position 854: 3.355935050980516e-07
Position 869: 2.0430339661077823e-07
Position 348: 1.1093500996637338e-07
Position 63: 1.0458296198578017e-07
Position 261: 7.540979106189645e-08
Position 48: 4.576357988183152e-08
Position 393: 4.221214880427525e-08
Position 369: 2.879096873995893e-08
Position 345: 1.9431313430878107e-08
Position 54: 7.0440285103553765e-09
Position 379: 6.910556306435844e-09
Position 484: 2.1501989587444666e-09
Position 489: 1.0089261208569224e-10
Position 479: 8.522490401357074e-11
