Gene = Muc26B
index = 1291
Annotated 5SS: [95]
Annotated 3SS: [157]
SMsplice 5SS: [95]
SMsplice 3SS: [157]
top_k =  500
Partition function (log Z): -4.54787033704931

Sorted 5' Splice Sites (High to Low Probability):
Position 95: 0.9985923052308258
Position 1124: 0.025244756993845482
Position 341: 0.0049859850360877206
Position 267: 0.004762441410200208
Position 332: 0.0037137621646612454
Position 451: 0.0024245401795442902
Position 1225: 0.001347874559830632
Position 1471: 0.0012381360425125136
Position 106: 0.0011502919493599944
Position 544: 0.0008741664219143338
Position 479: 0.0006315384623745252
Position 392: 0.0003413912995684904
Position 1273: 0.00020695272723380095
Position 1142: 0.00020592866796433927
Position 1115: 0.00017047630252005377
Position 16: 0.00012696851761608515
Position 321: 8.755384590110899e-05
Position 1467: 8.284645336753665e-05
Position 265: 7.022196065932195e-05
Position 1303: 6.984963802358275e-05
Position 336: 5.139979871041269e-05
Position 1113: 4.6766049054409886e-05
Position 472: 3.520432676698516e-05
Position 1291: 1.630683762870908e-05
Position 110: 8.823592889578292e-06
Position 530: 7.132877067328592e-06
Position 1168: 6.441390897647307e-06
Position 1067: 5.231081032287766e-06
Position 358: 4.809275902150397e-06
Position 20: 4.735896915217745e-06
Position 311: 3.7378734936327477e-06
Position 1381: 3.4403259056157144e-06
Position 1625: 3.16024780693961e-06
Position 37: 2.9530219588416888e-06
Position 1540: 2.4220554964120942e-06
Position 397: 1.7660645470406988e-06
Position 1263: 1.760754720845134e-06
Position 271: 1.657022959325342e-06
Position 1332: 1.5225582787256882e-06
Position 229: 1.2544001169609705e-06
Position 1267: 1.1266597858632772e-06
Position 423: 1.1011831441739083e-06
Position 1535: 7.546447627009803e-07
Position 1410: 7.223786799868983e-07
Position 1234: 6.352202103688788e-07
Position 70: 3.158056813047121e-08
Position 51: 2.0569879739719623e-08
Position 352: 1.8857194201368395e-08
Position 217: 1.6401147634087822e-08
Position 1091: 1.4488959068969564e-08
Position 203: 1.3452014400683691e-08
Position 1043: 9.966075079465432e-09
Position 205: 6.1143207237727885e-09
Position 395: 5.401491996377767e-09
Position 1019: 4.076453195455706e-09
Position 301: 3.6231561077820157e-09
Position 330: 3.464278574648941e-09
Position 995: 2.435635640421431e-09
Position 971: 2.1157494662736537e-09
Position 214: 2.034290767025533e-09
Position 947: 1.615597367198631e-09
Position 923: 1.6085801404616417e-09
Position 260: 8.199128472767006e-10
Position 157: 7.961754198368481e-10
Position 181: 3.3612594401704486e-12
Position 343: 3.7525645173933543e-13
Position 167: 2.306706067177448e-13
Position 803: 1.6696380844742459e-13
Position 827: 1.5871808967423511e-13
Position 779: 1.5250253409224103e-13
Position 851: 1.486835390367376e-13
Position 875: 1.4558785285124877e-13
Position 731: 1.402019042784887e-13
Position 683: 1.3848887936313048e-13
Position 899: 1.3767236329945818e-13
Position 635: 1.3156628700569528e-13
Position 659: 1.2386537336176076e-13
Position 707: 1.2290206826547918e-13
Position 755: 1.2078332694894798e-13
Position 500: 1.1968908836958598e-13
Position 611: 9.19641744564137e-14
Position 563: 7.871464028176595e-14
Position 587: 5.99580481061289e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 157: 0.9996876426970746
Position 1174: 0.01522740102534228
Position 1724: 0.008267282015903567
Position 1213: 0.008203405021882456
Position 1123: 0.004672854523375732
Position 1176: 0.0015378376002123898
Position 538: 0.001327747186925492
Position 454: 0.0011474627227894062
Position 1187: 0.0011386114833571352
Position 1150: 0.0010314729426288225
Position 429: 0.0008700504025614738
Position 1506: 0.0004593317226395382
Position 1425: 0.00045416891996485697
Position 321: 0.0004455905431635034
Position 1345: 0.0002619991975040921
Position 384: 0.00024620650776148705
Position 340: 0.00022544194372296823
Position 1251: 0.00019979789880885242
Position 390: 0.0001942663835568087
Position 1545: 0.00017447817060087966
Position 1706: 0.00015899080829030472
Position 1395: 0.00014509772073745177
Position 1527: 9.741782452284131e-05
Position 1676: 8.021747337460877e-05
Position 1229: 5.5493830962868256e-05
Position 330: 5.447521563941128e-05
Position 542: 3.795389337571053e-05
Position 472: 3.2749753251769973e-05
Position 336: 2.1602734969300556e-05
Position 457: 1.9200388361678163e-05
Position 1273: 1.4144957926040913e-05
Position 1282: 1.3002156425589435e-05
Position 188: 7.432656733415462e-06
Position 443: 6.5623016170347666e-06
Position 311: 5.851981920558319e-06
Position 1686: 5.761231186575102e-06
Position 122: 5.282867359157499e-06
Position 1461: 3.897874226134186e-06
Position 210: 2.5482768219144287e-06
Position 279: 2.254629930794263e-06
Position 203: 2.1736064900808982e-08
Position 222: 1.9219785574380684e-09
Position 94: 1.0923131159170396e-09
Position 77: 3.012894663339753e-10
Position 233: 2.673725151688106e-10
Position 67: 1.8776438498251626e-11
Position 133: 4.566711391602147e-12
Position 59: 2.4542500824397187e-13
Position 61: 2.1191961570318228e-13
