Gene = Diap1
index = 1135
Annotated 5SS: [577]
Annotated 3SS: [10968]
SMsplice 5SS: [577]
SMsplice 3SS: [10968]
top_k =  500
Partition function (log Z): -13.335050824630398

Sorted 5' Splice Sites (High to Low Probability):
Position 577: 0.9813369134732516
Position 10597: 0.1799010022223156
Position 10116: 0.050542221683904154
Position 4550: 0.04430642190057159
Position 8628: 0.039778614404912524
Position 11100: 0.026527268617054865
Position 1861: 0.021421328747894274
Position 339: 0.0175700880908596
Position 3814: 0.01332435782141563
Position 8481: 0.011740190142907253
Position 8249: 0.010017412084282909
Position 29: 0.009944516094857407
Position 26: 0.007265693867486488
Position 10447: 0.005863735821299412
Position 7767: 0.002598587284593787
Position 7729: 0.0021554379275243386
Position 1173: 0.0015553275258082277
Position 403: 0.0014745232569708933
Position 15: 0.0008857252172416314
Position 9193: 0.0007392016827188349
Position 581: 0.000665092830162773
Position 17: 0.0005363366383764191
Position 33: 0.000458631950414912
Position 6521: 0.0004455240064742101
Position 7778: 0.00033882790841661655
Position 7664: 0.00032929972091198855
Position 1345: 0.00031694098439168723
Position 1582: 0.0002819671489099787
Position 3811: 0.00025155967037924685
Position 7682: 0.00021722482055433807
Position 81: 0.0002037844030484557
Position 3677: 9.99596518064153e-05
Position 157: 9.898048710549582e-05
Position 417: 6.186017356208351e-05
Position 367: 4.3742041394802444e-05
Position 412: 2.9070194763158625e-05
Position 1108: 2.8041500465403096e-05
Position 373: 2.5214068101886556e-05
Position 2694: 2.348698558038403e-05
Position 595: 1.8547362791665294e-05
Position 483: 1.7870432455571522e-05
Position 1177: 1.0756852070903048e-05
Position 869: 7.565949232471882e-06
Position 1818: 6.151026815367079e-06
Position 552: 5.680270928250466e-06
Position 370: 4.404626178632458e-06
Position 1099: 4.100569698769752e-06
Position 221: 4.07962591322625e-06
Position 471: 2.934954480719814e-06
Position 449: 1.7647934688392994e-06
Position 615: 1.7001797072845997e-06
Position 561: 1.6390105405060687e-06
Position 1287: 1.4240435403179194e-06
Position 103: 1.3623745963279566e-06
Position 1339: 1.299533734722418e-06
Position 1373: 1.2106545732609956e-06
Position 1382: 8.884085053857601e-07
Position 1419: 4.342017349817361e-07
Position 1356: 3.8405305877906377e-07
Position 1323: 3.5631336624687625e-07
Position 123: 2.313063258258169e-07
Position 832: 1.5097065869062523e-07
Position 2212: 1.4751883532229256e-07
Position 1004: 1.4448839305381776e-07
Position 949: 1.1856550174555049e-07
Position 415: 1.117213603391273e-07
Position 964: 1.0929052078433961e-07
Position 397: 3.09054927970432e-08
Position 235: 2.74864025603011e-08
Position 468: 1.376102466835873e-08
Position 508: 8.004170161729324e-09
Position 570: 6.743093295259286e-09
Position 922: 4.646771535867639e-12
Position 977: 4.5087495355759915e-12
Position 891: 3.9696548615942786e-12
Position 637: 9.268354359630967e-13
Position 599: 4.886036386622187e-13
Position 597: 2.231949305812859e-14
Position 686: 1.527836945583021e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 10968: 0.6147027033850428
Position 10115: 0.23234878660474761
Position 10349: 0.13312405291360652
Position 7916: 0.07614009341799395
Position 10066: 0.03930266161533755
Position 9421: 0.038971179774153875
Position 11155: 0.03298095664779561
Position 12450: 0.030858687743483732
Position 10588: 0.030678457684399654
Position 4134: 0.027408889319229673
Position 10894: 0.018053086064745906
Position 12471: 0.017762948530712298
Position 123: 0.017389200289832533
Position 7962: 0.015649500208764235
Position 10980: 0.009899286970834547
Position 10392: 0.008112259881678562
Position 3345: 0.007848103251698785
Position 1166: 0.006932146752786888
Position 7968: 0.005692149345818653
Position 3301: 0.005403406644333275
Position 9360: 0.004852358593904146
Position 4200: 0.004494956897280623
Position 3742: 0.004451701608109034
Position 7575: 0.0044285738217646545
Position 622: 0.004018725319710012
Position 4337: 0.0032907015793165097
Position 4103: 0.0028687234912357896
Position 6343: 0.0026905409924416167
Position 676: 0.0025175982415907884
Position 9017: 0.0024680587017285524
Position 8712: 0.0021475977157202337
Position 1559: 0.0019531859424931977
Position 1553: 0.0018597540641053815
Position 6639: 0.0018373782898403023
Position 397: 0.0017924676956862832
Position 9070: 0.0013829628433876832
Position 9033: 0.0012331576090739804
Position 7879: 0.0011643768423069884
Position 7603: 0.0010726599065187983
