Gene = Fas3
index = 1162
Annotated 5SS: [  629 63618 64079 64792]
Annotated 3SS: [63299 63736 64356 66054]
SMsplice 5SS: [  629 36374 37268 37417 63618 64079 64792]
SMsplice 3SS: [36167 36434 37322 63299 63736 64356 72623]
top_k =  500
Partition function (log Z): -73.30194194727339

Sorted 5' Splice Sites (High to Low Probability):
Position 629: 0.9218967295635574
Position 1124: 0.10725374633930254
Position 23922: 0.05209960923436287
Position 201: 0.00978037722978261
Position 14354: 0.008889802831588812
Position 657: 0.0006178222180738478
Position 13585: 0.0005864599241965122
Position 13549: 0.0005711372404471421
Position 203: 0.00041426971215635395
Position 149: 0.00030671262522880834
Position 888: 0.0002672222550745421
Position 727: 0.00021454301598574166
Position 906: 0.00011546052562422409
Position 717: 0.00011162396558197257
Position 14: 9.82699552451149e-05
Position 215: 9.608971314149924e-05
Position 871: 7.379237688298882e-05
Position 571: 5.7510323403923274e-05
Position 899: 5.325329113926951e-05
Position 153: 5.2555279593706505e-05
Position 1943: 4.2827173111849896e-05
Position 3503: 3.776686646467432e-05
Position 2435: 3.272603161251554e-05
Position 402: 3.214220214149344e-05
Position 131: 2.697171135208336e-05
Position 752: 2.5837037898103015e-05
Position 412: 2.1192500030947258e-05
Position 290: 1.7721991136762125e-05
Position 8578: 1.7706897887825237e-05
Position 442: 1.7409115168275187e-05
Position 88: 1.7342059293305503e-05
Position 143: 1.530637144162566e-05
Position 873: 1.4448165198044852e-05
Position 384: 1.344712357004153e-05
Position 1036: 7.863206591070595e-06
Position 719: 7.645124868516305e-06
Position 668: 6.618488945441257e-06
Position 998: 5.094163917541896e-06
Position 460: 4.6981407106473556e-06
Position 113: 4.5960652665148825e-06
Position 147: 4.540154634274293e-06
Position 1025: 3.5669854491744163e-06
Position 876: 3.5343158498061687e-06
Position 864: 2.9619983005883736e-06
Position 801: 2.2646711398169376e-06
Position 389: 2.200509676041919e-06
Position 913: 2.1029693540869628e-06
Position 71: 2.0497907137669442e-06
Position 205: 1.7334957558757837e-06
Position 543: 1.7276702633003278e-06
Position 698: 1.4094505340511379e-06
Position 817: 1.2541165238691518e-06
Position 964: 4.5438856718484776e-07
Position 1000: 3.983270170647583e-07
Position 1099: 3.276137768813752e-07
Position 1472: 3.055578161833411e-07
Position 1058: 2.8387015233449414e-07
Position 2053: 2.332961542983178e-07
Position 1090: 1.579513109869832e-07
Position 1628: 1.2561947293532501e-07
Position 1370: 1.2498898369413132e-07
Position 1283: 1.1996148679857267e-07
Position 1678: 8.759274617841676e-08
Position 2041: 6.577850713353548e-08
Position 1395: 2.1675756551828638e-08
Position 1499: 8.546315180341446e-09
Position 1357: 7.391012799744024e-09
Position 1255: 4.772273278753374e-09
Position 1201: 4.738157596021873e-09
Position 1247: 2.7511282279183483e-09
Position 8481: 1.8283679110213305e-10
Position 8851: 1.6085271284298347e-10
Position 8485: 1.269384482962212e-10
