Gene = Eip78C
index = 1152
Annotated 5SS: [ 1783  4504  4702 37028 37379]
Annotated 3SS: [ 4270  4559 36386 37102 37436]
SMsplice 5SS: [ 1783  4504  4702 37028 37379]
SMsplice 3SS: [ 4270  4559 36386 37102 37436]
top_k =  500
Partition function (log Z): -17.092711742627927

Sorted 5' Splice Sites (High to Low Probability):
Position 4702: 0.9999999959631677
Position 4504: 0.9979398453300783
Position 1783: 0.3784520053586008
Position 338: 0.2261974083464585
Position 1119: 0.20316863362635348
Position 198: 0.08404007616879874
Position 54: 0.05114270333654552
Position 361: 0.014232675289218615
Position 247: 0.0103490287467782
Position 455: 0.008208617789799848
Position 439: 0.00586451183066362
Position 272: 0.0055264309258111375
Position 1122: 0.0021843354764910774
Position 870: 0.002071482282902147
Position 241: 0.001966833253490811
Position 1510: 0.0014169868166807099
Position 969: 0.00141547354977814
Position 49: 0.0008778427010131725
Position 295: 0.0007832801300684118
Position 103: 0.0007684041596437514
Position 2326: 0.0006897457183657327
Position 685: 0.0005859178478945881
Position 1692: 0.0004206371862077551
Position 3453: 0.000392046103512483
Position 1861: 0.0002903377767655138
Position 1300: 0.00020029493024070354
Position 1504: 0.00019224971382003815
Position 4496: 0.00013105799667959342
Position 4508: 0.00013094827407764535
Position 4478: 0.00010612178845403382
Position 4518: 8.762896236631707e-05
Position 4444: 7.284918385773808e-05
Position 4526: 4.961597993489231e-05
Position 4113: 2.9026660570202355e-05
Position 4480: 7.346785938625178e-06
Position 725: 2.5607504353327383e-06
Position 478: 2.20802181830938e-06
Position 3236: 1.5244532991421619e-06
Position 5003: 5.476294207036845e-07
Position 569: 5.449370752782286e-07
Position 22257: 3.7281519821296814e-07
Position 537: 3.4676612786977224e-07
Position 1985: 2.671951255604518e-07
Position 4972: 1.7479865163588273e-07
Position 510: 1.4033149890770409e-07
Position 786: 1.232796846773452e-07
Position 521: 1.1826751578838064e-07
Position 5444: 1.1724812141566365e-07
Position 105: 2.2996136214917498e-08
Position 795: 1.723311035570902e-08
Position 5232: 1.2687857965669373e-08
Position 20: 9.763166111630217e-09
Position 5245: 4.0290161073134365e-09
Position 4965: 3.1359246615114266e-09
Position 4983: 2.8699331565684857e-09
Position 5049: 1.7998501409149806e-09
Position 5043: 5.744179491649695e-10
Position 4785: 5.341255675249873e-10
Position 4706: 3.775308122031286e-10
Position 4969: 3.25529422853167e-10
Position 4895: 3.146308474052419e-10
Position 15234: 2.3703429278330957e-10
Position 4993: 2.2495717815239066e-10
Position 2277: 1.4598309002620173e-10
Position 2215: 1.289115555505718e-10
Position 4884: 1.236141279823328e-10
Position 5111: 6.823336675100784e-11
Position 5114: 3.0195667312889826e-11
Position 5021: 2.960600890210802e-11
Position 5057: 2.655945284531274e-11
Position 5249: 2.0922471971557594e-11
Position 4655: 5.269693189455323e-12
Position 11131: 3.152039028414306e-12
Position 10022: 4.861891047656926e-13
Position 4817: 6.8300725755322355e-15
Position 6067: 4.889619122622856e-15
Position 4925: 2.7030365022580245e-15
Position 6081: 8.625360622386082e-16
Position 5123: 2.67645916359234e-16
Position 4806: 1.513464319355822e-16
Position 4899: 1.7619772186729842e-19

Sorted 3' Splice Sites (High to Low Probability):
Position 34805: 0.9999977947569413
Position 4270: 0.9977902048369467
Position 4559: 0.7523471890008884
Position 4576: 0.2449486730490363
Position 3445: 0.0008827780216479285
Position 4583: 0.0006705433053705225
Position 4586: 0.0005858541239216017
