Gene = Mon1
index = 1284
Annotated 5SS: [703 919]
Annotated 3SS: [766 972]
SMsplice 5SS: [703 919]
SMsplice 3SS: [766 972]
top_k =  500
Partition function (log Z): 0.578093701151795

Sorted 5' Splice Sites (High to Low Probability):
Position 703: 0.9987906754063093
Position 919: 0.9842597245609072
Position 557: 0.3296955596232484
Position 1134: 0.012049368960498201
Position 904: 0.00690224636595102
Position 1191: 0.0033892624422567027
Position 1461: 0.0029976079355758935
Position 23: 0.0022068396915863172
Position 1265: 0.0020946901277011988
Position 1092: 0.0017615395952205485
Position 37: 0.001256420181643359
Position 907: 0.0011407002173757746
Position 1739: 0.0010971682932633584
Position 438: 0.0007316683441432548
Position 136: 0.0006034785861891548
Position 246: 0.0005912887607716169
Position 1250: 0.00032084606388949467
Position 1148: 0.00026450893621625594
Position 1841: 0.00015341893415505382
Position 127: 0.00013538693432901778
Position 1101: 0.0001044442140761462
Position 910: 0.00010374708236632354
Position 1775: 8.808368865070473e-05
Position 1464: 7.633672489747071e-05
Position 1325: 6.540013998850427e-05
Position 707: 4.743152057121306e-05
Position 116: 3.2388705179674856e-05
Position 1094: 3.233617977399602e-05
Position 1784: 3.01255667611468e-05
Position 34: 2.6918990401553618e-05
Position 187: 1.9110189505794163e-05
Position 540: 1.4566952593376551e-05
Position 1286: 1.148187776473144e-05
Position 160: 8.08061485648919e-06
Position 1920: 7.724577171349955e-06
Position 1760: 7.366666944638703e-06
Position 878: 6.721331249201533e-06
Position 94: 6.11290373971871e-06
Position 131: 5.5378994278748975e-06
Position 349: 4.988522317592835e-06
Position 890: 4.820585787150795e-06
Position 542: 4.7763425547903846e-06
Position 1694: 4.3859066935148345e-06
Position 675: 3.5388710618464024e-06
Position 566: 2.979692113835378e-06
Position 442: 2.088359219180042e-06
Position 344: 1.8541975373337505e-06
Position 294: 1.595417657038836e-06
Position 303: 8.589720953494422e-07
Position 677: 6.75801803996199e-07
Position 76: 2.644589732629395e-07
Position 650: 2.560650590013175e-07
Position 800: 1.558662772567166e-07
Position 616: 8.839660517559682e-08
Position 1174: 6.85218145607245e-08
Position 1196: 6.005724588464891e-08
Position 771: 2.6377972182279516e-08
Position 1281: 7.858509077570293e-09
Position 1312: 6.206110051903868e-09
Position 974: 5.589458706160484e-09
Position 1205: 2.1878029417795067e-09
Position 1014: 6.809492782827866e-10
Position 972: 9.512932586665256e-11
Position 788: 9.689018124601044e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 766: 0.9989898648983073
Position 972: 0.9743808068311296
Position 636: 0.3127033191370372
Position 616: 0.017461559002293285
Position 1194: 0.015062285142430295
Position 1460: 0.011182406976576907
Position 1537: 0.004108241802922894
Position 1359: 0.0033067425613970344
Position 1054: 0.0031248878462543607
Position 550: 0.001882055446341888
Position 1250: 0.0015387997662834238
Position 82: 0.0014616001416546715
Position 94: 0.00068767943794646
Position 1888: 0.0006700777484283516
Position 1618: 0.000583590889121295
Position 1064: 0.0005546249702898534
Position 1336: 0.0005205283640700786
Position 1815: 0.0004823441839215815
Position 1307: 0.0002652859307247
Position 119: 0.00021918606772081855
Position 1148: 0.00020599238837619977
Position 1512: 0.00020371444320296976
Position 1615: 0.00020324306889344673
Position 1128: 0.00015699209418382765
Position 1909: 0.00011994449183146263
Position 1821: 0.00011803713019990727
Position 1145: 0.00011688153689195792
Position 1499: 0.00011523519417641617
Position 827: 0.00011372628769881528
Position 663: 9.337277032176422e-05
Position 206: 9.319009865511514e-05
Position 303: 8.48317785924239e-05
Position 1983: 8.008639973993941e-05
Position 294: 3.178746900583941e-05
Position 685: 2.9804078944828317e-05
Position 1214: 2.5621206101516934e-05
Position 208: 2.3878357655575204e-05
Position 660: 2.2782340074069114e-05
Position 1079: 2.2397332716628384e-05
Position 477: 2.0339229508057266e-05
Position 868: 1.3268202629663922e-05
Position 246: 1.1411629409809866e-05
Position 124: 8.419921855340187e-06
Position 1834: 8.207190694478652e-06
Position 167: 8.005453376382456e-06
Position 1939: 7.96123375887477e-06
Position 580: 6.2109678295089774e-06
Position 116: 5.654356417492866e-06
Position 264: 5.336593435291055e-06
Position 223: 3.87405067591322e-06
Position 375: 2.738516074866887e-06
Position 319: 2.68709626530302e-06
Position 266: 2.654349506903456e-06
Position 173: 2.557140807556987e-06
Position 386: 1.6933200613575792e-06
Position 853: 1.597479164812045e-06
Position 322: 1.4095563881117622e-06
Position 259: 1.10820632388977e-06
Position 438: 8.686630971897642e-07
Position 160: 6.625183097181986e-07
Position 121: 6.623169163036801e-07
Position 490: 6.246392366509459e-07
Position 430: 4.580718116621904e-07
Position 691: 4.4529129017289796e-07
Position 729: 4.2540124046514146e-07
Position 829: 4.0886870635872105e-07
Position 836: 4.011253128767164e-07
Position 135: 3.687912235542087e-07
Position 850: 3.6819373358694085e-07
Position 904: 3.078528051192227e-07
Position 349: 2.614675444917487e-07
Position 448: 2.1466074900347438e-07
Position 682: 1.7276081091278284e-07
Position 226: 1.1200672900110681e-07
Position 328: 1.0931064583236283e-07
Position 666: 7.503511984127609e-08
Position 310: 5.4518007470663444e-08
Position 1505: 4.818091960673804e-08
Position 1066: 4.177230350287492e-08
Position 1568: 3.839821191867325e-08
Position 907: 3.452526073960137e-08
Position 187: 3.123527295716446e-08
Position 1085: 2.259061318447407e-08
Position 910: 1.9435348358370515e-08
Position 1631: 1.3526887299062477e-08
Position 457: 1.2614365078392266e-08
Position 388: 5.803687349108312e-09
Position 412: 5.687155483515438e-09
Position 481: 2.6678079997007644e-09
Position 517: 2.5868479113544727e-09
Position 917: 1.5419732874444257e-10
Position 131: 4.910253519788894e-11
Position 232: 1.1563108643521034e-14
Position 175: 2.753814103243513e-15
