Gene = vtd
index = 1932
Annotated 5SS: [  345   712  3718 10050 10359 11171 19647]
Annotated 3SS: [  420  3593  9869 10102 10419 19484 21284]
SMsplice 5SS: [  345   712  3718 10050 10359 11171 19647 20557]
SMsplice 3SS: [  420  3593  9869 10102 10419 19484 20442 20613]
top_k =  500
Partition function (log Z): 3.8159515330537515

Sorted 5' Splice Sites (High to Low Probability):
Position 10359: 0.999801915178803
Position 712: 0.9911204350877852
Position 345: 0.9869553893806008
Position 10050: 0.9841739431916863
Position 3718: 0.9701705136736661
Position 19647: 0.8881570973064322
Position 11171: 0.859113112207102
Position 19922: 0.2759311806343307
Position 20557: 0.266118855753836
Position 5002: 0.13085490935360414
Position 8202: 0.11423842761108094
Position 12130: 0.09578826803633694
Position 10647: 0.07562163094812167
Position 10503: 0.06886519074813381
Position 4617: 0.04957302431347194
Position 13324: 0.04370212396761463
Position 8966: 0.03661953730801167
Position 16279: 0.035580853909468795
Position 19981: 0.03103287485090753
Position 4134: 0.029375151228764003
Position 4570: 0.02660948431677839
Position 19950: 0.024701209955662114
Position 12735: 0.024000253881211478
Position 8229: 0.023594893456837348
Position 11777: 0.02069928786636504
Position 19927: 0.01986809664880778
Position 4488: 0.017780173479110813
Position 4420: 0.017374581331399238
Position 7708: 0.01525079564701783
Position 4894: 0.012260341133022427
Position 5694: 0.011188796992925807
Position 611: 0.005321168079316436
Position 5223: 0.0053154282098819535
Position 367: 0.0048370636036192145
Position 11072: 0.004709207643189388
Position 4751: 0.004442394802414788
Position 12589: 0.00397792873456652
Position 6925: 0.003781836398499232
Position 231: 0.003676886354561772
Position 8932: 0.003134639009661594
Position 4990: 0.0030698296802972934
Position 4782: 0.0028866133123193038
Position 8256: 0.0026961994875305427
Position 12162: 0.002636025034602171
Position 11076: 0.002422039313144548
Position 10754: 0.002368062844684458
Position 874: 0.002344523861195489
Position 19575: 0.002294449146889687
Position 3201: 0.0017711011295906728
Position 1401: 0.0016978429784266147
Position 4436: 0.001647783535981451
Position 10022: 0.0014844775419819588
Position 11996: 0.0008338586764438927
Position 4148: 0.000793211798134815
Position 11846: 0.0007693320452517659
Position 2214: 0.0006894424846013375
Position 647: 0.0006697662536228636
Position 7140: 0.0005910461379621556
Position 716: 0.0005909953206532644
Position 36: 0.0005888220961464794
Position 499: 0.0004068629971830807
Position 302: 0.0003912255408634394
Position 2060: 0.0003350831290956176
Position 4427: 0.0003183183325657243
Position 180: 0.0003077580235858826
Position 4633: 0.0003044266418487602
Position 3722: 0.0002864330397160679
Position 10638: 0.0002842589825071161
