Gene = mtgo
index = 1803
Annotated 5SS: [   423  14929 107897 112937]
Annotated 3SS: [ 12862 107726 112482 113007]
SMsplice 5SS: [   423 107897 112937]
SMsplice 3SS: [107726 112482 113007]
top_k =  500
Partition function (log Z): -132.36366161697106

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.9998177198388698
Position 23200: 0.7617334397159121
Position 14929: 0.00017508843108549675
Position 74: 0.0001640049905822985
Position 15749: 0.00011091575360288323
Position 3807: 4.301347378349322e-05
Position 143: 2.7643318062942435e-05
Position 305: 1.211870394395992e-05
Position 327: 1.2056245775566014e-05
Position 4081: 1.0736853113814462e-05
Position 120: 9.925058983737818e-06
Position 178: 4.788113625808514e-06
Position 1998: 2.374016821920666e-06
Position 1631: 1.4101590163958977e-06
Position 1329: 4.14722896156758e-07
Position 309: 3.6054618923172506e-07
Position 82: 3.0907734013538e-07
Position 961: 1.873106390684511e-07
Position 323: 1.8016807477108404e-07
Position 1008: 1.7667037094846234e-07
Position 897: 1.7407442100073093e-07
Position 152: 9.399419963781835e-08
Position 3418: 5.321270345034826e-08
Position 159: 4.788445842408779e-08
Position 3189: 3.116720210493703e-08
Position 1573: 3.060697491501536e-08
Position 1965: 2.255226098156292e-08
Position 53: 2.1143476274718863e-08
Position 2282: 1.5777472995505016e-08
Position 185: 1.4588950679117852e-08
Position 2091: 1.4141428680544353e-08
Position 1036: 1.3910861074276648e-08
Position 644: 1.1592623318521476e-08
Position 1085: 1.1492180880143833e-08
Position 188: 1.1487141726189446e-08
Position 8137: 1.1280698509527523e-08
Position 3398: 9.81531065496365e-09
Position 8141: 9.72347707362916e-09
Position 1358: 9.184789571326403e-09
Position 311: 8.743961280789216e-09
Position 1029: 8.528386261808513e-09
Position 101: 8.336132237398664e-09
Position 648: 7.798251055055307e-09
Position 8523: 5.842302064224684e-09
Position 2782: 4.410516388952289e-09
Position 447: 3.9762594968221445e-09
Position 1338: 3.2231646090675924e-09
Position 8108: 3.0448752724572374e-09
Position 192: 2.509665049230543e-09
Position 915: 2.4958235820021518e-09
Position 968: 2.264900219274976e-09
Position 255: 1.7428938385508223e-09
Position 20: 1.6877609506264982e-09
Position 768: 1.6667928970876775e-09
Position 1040: 1.6647288749049439e-09
Position 546: 1.6224111667746102e-09
Position 684: 1.4358405423191402e-09
Position 1744: 1.4148802521603952e-09
Position 1055: 1.31871937112301e-09
Position 773: 1.2828207360849663e-09
Position 444: 1.15036204705702e-09
Position 113: 1.1262543812310881e-09
Position 652: 1.0679257360079363e-09
Position 1350: 1.0099388336457418e-09
Position 640: 9.56837936380364e-10
Position 442: 7.286557316587161e-10
Position 211: 6.979248612897982e-10
Position 682: 5.473020824770942e-10
Position 296: 5.438964494927075e-10
Position 598: 4.809490510186568e-10
Position 1188: 3.322968982589116e-10
Position 1034: 3.162551232973476e-10
Position 331: 2.795668825359687e-10
Position 1082: 2.7750272160128636e-10
Position 89: 2.446422457982105e-10
Position 1822: 2.368426547788662e-10
Position 2702: 2.2437717433621184e-10
Position 1747: 2.184298929464396e-10
Position 214: 1.0813190222193008e-10
Position 321: 8.273238478314281e-11
Position 294: 7.812960867789199e-11
Position 315: 5.969522828947875e-11
Position 604: 4.9403712574576607e-11
Position 688: 4.867318258581166e-11
Position 633: 4.655733890988037e-11
Position 636: 4.464698777887365e-11
Position 313: 2.9717583635665414e-11
Position 2125: 7.698857004855028e-13
Position 488: 6.50018320737969e-14
Position 427: 1.3602497617065456e-14
Position 1590: 9.768585922801401e-15
Position 1944: 6.937560438059486e-15
Position 1969: 6.223667483102686e-15
Position 1690: 5.9704054191966485e-15
Position 548: 4.576324848836887e-15
Position 555: 3.7263717912462614e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 23310: 0.7617334397159061
Position 23018: 0.6882807423747289
Position 22846: 0.310128848175293
Position 19137: 0.0009092654143740743
Position 16057: 0.0003740534693872801
Position 15225: 0.00027622622374476417
Position 12862: 0.00017610511939454278
Position 17160: 0.00010996665601980053
Position 203: 4.591136223733161e-05
Position 3674: 4.377314838055416e-05
Position 13270: 2.880393610813531e-05
Position 1470: 4.656235292422474e-06
Position 2871: 3.555467166434981e-06
Position 119: 2.724993917501249e-06
Position 3730: 2.5631538068509312e-06
Position 3365: 1.8782093970501869e-06
Position 255: 7.165614426804329e-07
Position 12989: 4.957114281447457e-07
Position 301: 4.7131386995106665e-07
Position 3711: 4.092256354713861e-07
Position 12729: 3.8461550836059645e-07
Position 11668: 3.45945660067869e-07
Position 3369: 3.1530738906000216e-07
Position 10894: 3.076926255151137e-07
Position 407: 2.93875211417457e-07
Position 3896: 2.7167507924605576e-07
Position 327: 1.8002471099025455e-07
Position 9341: 1.5881305246439077e-07
Position 8321: 1.2537065267053944e-07
Position 4012: 9.65920291960216e-08
Position 11605: 9.277244260296069e-08
Position 374: 7.521245864962934e-08
Position 252: 7.319361283669585e-08
Position 356: 6.525158022911053e-08
Position 10496: 3.362105484410803e-08
Position 477: 2.70487374829007e-08
Position 8065: 2.091773449062834e-08
Position 1658: 2.0660721783479012e-08
Position 7770: 1.9987040435378848e-08
Position 9402: 1.577485535696941e-08
Position 9492: 6.617900393236047e-09
Position 9265: 5.054025352947019e-09
Position 7325: 3.700029608030551e-09
Position 2200: 1.930637390715675e-09
Position 6570: 1.2286926623233252e-09
Position 1498: 1.031831777782647e-09
Position 7707: 7.657536874435773e-10
Position 1884: 6.277485114510074e-10
Position 4544: 5.868716736500245e-10
Position 838: 5.541299447857697e-10
Position 3629: 4.551952968591238e-10
Position 5612: 3.7593286490701193e-10
Position 2925: 3.5013837905636307e-10
Position 5105: 3.4560128526226905e-10
Position 3256: 3.315744468485503e-10
Position 3289: 2.8804048008961927e-10
Position 1216: 2.7965078169132645e-10
Position 553: 2.2459362104993274e-10
Position 4654: 1.9849028664965783e-10
Position 1188: 1.946836434400267e-10
