Gene = Mtp
index = 1290
Annotated 5SS: [ 191 1605 2591 3191 3426]
Annotated 3SS: [ 804 1659 2649 3257 3483]
SMsplice 5SS: [ 191 1605 2591 3191 3426]
SMsplice 3SS: [ 600 1659 2649 3257 3483]
top_k =  500
Partition function (log Z): 11.860482963311249

Sorted 5' Splice Sites (High to Low Probability):
Position 2591: 0.9991081998420192
Position 3426: 0.9960633328496601
Position 3191: 0.99311935337238
Position 1605: 0.9796074410401743
Position 191: 0.976540129255006
Position 1734: 0.07522186315037195
Position 2288: 0.047166801893086197
Position 456: 0.04706989702785977
Position 433: 0.045839274415585086
Position 2971: 0.044406271304832025
Position 2251: 0.04095643993233936
Position 2835: 0.028533827867933802
Position 451: 0.021597632230806914
Position 2113: 0.018140815306224623
Position 394: 0.010935125937502515
Position 736: 0.008589727891120627
Position 1978: 0.008522905836171914
Position 1210: 0.008453724306208964
Position 981: 0.007712965886761269
Position 222: 0.007605414174715846
Position 742: 0.006832037869173324
Position 409: 0.006322494120747527
Position 1821: 0.004336695852241161
Position 492: 0.0043298951194257265
Position 1609: 0.004030186541207922
Position 195: 0.0030887216010337787
Position 2845: 0.0025408628433505435
Position 3141: 0.0023692369021904476
Position 46: 0.0022952880663444247
Position 469: 0.0021284377483212664
Position 693: 0.002123394596932979
Position 1738: 0.0019628119818116616
Position 2938: 0.0019517852708864816
Position 1068: 0.0017784834056282948
Position 1002: 0.001718063613391216
Position 385: 0.0015042366213763366
Position 2929: 0.0014887134757276563
Position 1825: 0.001369293060759294
Position 400: 0.0011698351559276256
Position 1089: 0.0010959156384287556
Position 260: 0.0010657026629045509
Position 2958: 0.0007278619563617952
Position 2888: 0.0006566378098314258
Position 3195: 0.00051030716397196
Position 2713: 0.0004911850918483794
Position 1838: 0.0003796349391159209
Position 420: 0.0003529840620778791
Position 867: 0.00034117932777887153
Position 2135: 0.0003172219024062065
Position 1224: 0.000307626759862471
Position 720: 0.0003007800155041107
Position 2560: 0.00027296510586692884
Position 445: 0.0002721425739351353
Position 1242: 0.0002549472953646509
Position 474: 0.0002458577291301965
Position 1851: 0.0002391957224833507
Position 2931: 0.00023315323399511646
Position 1541: 0.00023126220159762126
Position 2724: 0.0002103884481014965
Position 2989: 0.00020127224936326225
Position 755: 0.00017285395843682008
Position 2994: 0.0001727278538162313
Position 3542: 0.00016021774944017256
Position 2996: 0.0001496874449413177
Position 2726: 0.00012563007251442036
Position 1569: 0.00011172170947326255
Position 2907: 9.564145760530532e-05
Position 1585: 9.515157556765083e-05
Position 3430: 9.3427073812513e-05
Position 264: 5.696697602553702e-05
Position 529: 5.23264763379065e-05
Position 3634: 5.056621379936414e-05
Position 1444: 4.541285156944122e-05
Position 801: 4.4103331186815854e-05
Position 95: 3.299482111823085e-05
Position 3345: 2.7418512750153626e-05
Position 1562: 2.59092364928368e-05
Position 435: 1.7612640538378597e-05
Position 2595: 1.5627671050915642e-05
Position 3007: 1.1747967030148645e-05
Position 3390: 1.174129011336827e-05
