Gene = hay
index = 1723
Annotated 5SS: [ 117  381 2240]
Annotated 3SS: [ 286  440 2296]
SMsplice 5SS: [ 117  381 2240]
SMsplice 3SS: [ 182  440 2296]
top_k =  500
Partition function (log Z): -1.7643347651011227

Sorted 5' Splice Sites (High to Low Probability):
Position 2240: 0.9978330028347876
Position 117: 0.9410030732244024
Position 381: 0.7397397913730666
Position 1900: 0.045861938885132035
Position 803: 0.04212469199805964
Position 1915: 0.02460839089086282
Position 1271: 0.01807540911172154
Position 1763: 0.012253250668257588
Position 1318: 0.010554242654856695
Position 1481: 0.009176558589325675
Position 1964: 0.008059339261995833
Position 583: 0.0076895124179212305
Position 2558: 0.00733360959127593
Position 914: 0.0070810144846497405
Position 2056: 0.005339811930927138
Position 650: 0.004235026882880305
Position 968: 0.0029178606586612687
Position 106: 0.002299681708141018
Position 419: 0.0020827546607680965
Position 159: 0.0016004877644273856
Position 2439: 0.0014261350471369172
Position 56: 0.000839372028941676
Position 1250: 0.0005057292279150277
Position 109: 0.0003730229499036145
Position 1605: 0.0003566435622852209
Position 2415: 0.00034561052044910194
Position 1505: 0.0003362047802473175
Position 2418: 0.0002956058515296547
Position 2427: 0.0002796200462824508
Position 376: 0.0002754448877584337
Position 121: 0.0001909518249510123
Position 369: 0.00016992621831257075
Position 940: 0.0001274520873590312
Position 531: 8.729088667701249e-05
Position 2527: 8.234250257305372e-05
Position 979: 8.163953176138542e-05
Position 783: 6.677730000030238e-05
Position 387: 5.505448433161879e-05
Position 2534: 5.203752380431401e-05
Position 763: 4.565971077542955e-05
Position 2409: 4.257254995241706e-05
Position 2394: 3.252910986735357e-05
Position 2790: 2.2764915798255027e-05
Position 1443: 2.2618294260694234e-05
Position 1464: 2.1426514171676706e-05
Position 385: 2.0367734497209015e-05
Position 2297: 1.9872979395328522e-05
Position 366: 1.5853921306632796e-05
Position 46: 7.4749113233494476e-06
Position 42: 6.745541818738718e-06
Position 2202: 4.350435505884787e-06
Position 2357: 2.9067148061515907e-06
Position 417: 2.4442958626770674e-06
Position 2321: 2.1536627952954955e-06
Position 2480: 1.9660251264859824e-06
Position 142: 1.7921410349981224e-06
Position 136: 1.504778815477934e-06
Position 169: 1.272628049366449e-06
Position 2602: 1.104805585914619e-06
Position 48: 8.728157891226474e-07
Position 2810: 7.906778103417225e-07
Position 923: 6.224607392328418e-07
Position 453: 6.131036931924425e-07
Position 538: 5.855706699735299e-07
Position 604: 4.667471917193856e-07
Position 737: 3.809344252497435e-07
Position 220: 3.7547284032079074e-07
Position 236: 3.1747958763538095e-07
Position 663: 3.141895370592947e-07
Position 621: 3.109211838211932e-07
Position 225: 3.1037591987552335e-07
Position 272: 3.0948991149649577e-07
Position 227: 2.950289193830757e-07
Position 6: 1.0020041241608826e-07
Position 8: 7.133878649121358e-08
Position 298: 7.002962081084018e-08
Position 668: 6.570761494196696e-08
Position 482: 4.2154530538869965e-08
Position 498: 3.517884188448073e-08
Position 260: 2.7364745314530874e-08
