Gene = ND-B14.5B
index = 1299
Annotated 5SS: [321 544]
Annotated 3SS: [399 598]
SMsplice 5SS: [321 544]
SMsplice 3SS: [399 598]
top_k =  500
Partition function (log Z): 2.855972549376913

Sorted 5' Splice Sites (High to Low Probability):
Position 544: 0.9982002695692747
Position 321: 0.9593388897077354
Position 303: 0.03828461126512858
Position 10: 0.0011538293197937458
Position 126: 0.0011499183706806665
Position 710: 0.0005389461805624481
Position 349: 0.0003377200324630758
Position 8: 0.0002993643277896442
Position 537: 0.0002354129276074776
Position 344: 0.00019490972505383964
Position 686: 0.00017211413157320167
Position 817: 0.00014324975850740632
Position 823: 0.0001317883712982551
Position 548: 6.0481186144797377e-05
Position 689: 5.96151447426378e-05
Position 759: 3.972171689418459e-05
Position 258: 2.6507090729696626e-05
Position 629: 2.1876648464456623e-05
Position 311: 2.1679257127351343e-05
Position 14: 1.687175930859324e-05
Position 640: 1.4158378794561221e-05
Position 146: 1.065409378087356e-05
Position 269: 1.0645097785188574e-05
Position 649: 8.665487847540797e-06
Position 634: 7.872705432885178e-06
Position 325: 5.113223110952286e-06
Position 70: 4.666639325241098e-06
Position 45: 3.4071528304596682e-06
Position 130: 2.0861338814069026e-06
Position 109: 1.600508169419672e-06
Position 75: 1.0181753116738475e-06
Position 100: 8.931970944325672e-07
Position 619: 5.339022583725858e-07
Position 668: 4.187564838615459e-07
Position 473: 3.8781148915486e-07
Position 313: 3.8619426149125533e-07
Position 665: 3.698502344001911e-07
Position 495: 1.578630414648932e-07
Position 173: 9.968702019080913e-08
Position 168: 7.747037869685394e-08
Position 58: 3.2931640150915626e-08
Position 391: 7.593226440790896e-09
Position 358: 7.319644453009222e-09
Position 435: 3.820094622797464e-09
Position 260: 2.054691816429057e-09
Position 582: 1.5642626972837837e-09
Position 364: 9.37235297672623e-22

Sorted 3' Splice Sites (High to Low Probability):
Position 598: 0.9977636237205514
Position 399: 0.996939659320248
Position 70: 0.001170513902443414
Position 407: 0.0010461960024416644
Position 205: 0.0009436533261589792
Position 774: 0.0006673451079492361
Position 802: 0.0006277990658237942
Position 873: 0.0004588764953953173
Position 93: 0.00023791829965284387
Position 410: 0.00015871335312609103
Position 444: 0.00015781473455870926
Position 606: 0.00010276797273485314
Position 464: 6.623942800831995e-05
Position 168: 3.410753303761465e-05
Position 461: 3.0263015946933744e-05
Position 75: 2.7965564407663375e-05
Position 130: 2.107794535420216e-05
Position 847: 1.9514493093084308e-05
Position 736: 8.617996378629792e-06
Position 619: 5.7950926840367646e-06
Position 487: 4.501602238187426e-06
Position 701: 4.0962337075984485e-06
Position 542: 1.3852006071774696e-06
Position 109: 1.2680487042291273e-06
Position 689: 7.761394029154351e-07
Position 640: 1.8140033818874285e-07
Position 426: 1.0536566713532633e-07
Position 649: 8.152389292487937e-08
Position 447: 5.8881593035591415e-08
Position 307: 5.537931328032307e-08
Position 627: 4.3059554156608186e-08
Position 686: 1.0648905449342125e-08
Position 325: 9.208544283826684e-09
Position 629: 3.3833565975721248e-09
Position 548: 2.472241437593131e-09
Position 473: 1.886927947226414e-09
Position 466: 6.765691498823322e-10
Position 98: 4.560915054423898e-10
Position 217: 1.6362137724642552e-10
Position 100: 1.7012215497783618e-12
