Gene = Tdrd3
index = 1549
Annotated 5SS: [  91  228 2423]
Annotated 3SS: [ 142  301 2527]
SMsplice 5SS: [  91  228 2423 2807]
SMsplice 3SS: [ 142  301 2527 2868]
top_k =  500
Partition function (log Z): 7.200406084187487

Sorted 5' Splice Sites (High to Low Probability):
Position 228: 0.994000260701882
Position 91: 0.9880855652504466
Position 2423: 0.9826703276365336
Position 2807: 0.8472001619106736
Position 1218: 0.053637136312966245
Position 366: 0.04438175466715747
Position 1622: 0.012406441038909472
Position 1922: 0.009323878523159457
Position 724: 0.008581578044894395
Position 2448: 0.006402488050580778
Position 2606: 0.004353296634608033
Position 383: 0.004015109295741284
Position 1890: 0.0038478976456061873
Position 2462: 0.0034365217890920422
Position 235: 0.00261782068078891
Position 2456: 0.0019161183703976326
Position 1064: 0.0013650936856287317
Position 2465: 0.0008802337328918354
Position 1381: 0.0006104142421225223
Position 2826: 0.0005625357905702972
Position 1953: 0.000539941160645396
Position 1430: 0.0005241313290225751
Position 926: 0.0004716687780549948
Position 2404: 0.0004163669510466265
Position 2433: 0.000412817154299446
Position 1046: 0.000411590170120766
Position 687: 0.0003913848832860599
Position 88: 0.0003148861743203494
Position 2817: 0.0002772198072845432
Position 2427: 0.0002164251622851583
Position 1434: 0.0002157254139519968
Position 210: 0.00019970934546899576
Position 465: 0.00019794100831872015
Position 1133: 0.00017603063702601845
Position 2026: 0.00016981779254005103
Position 1110: 0.00015370485237694475
Position 95: 0.00015159652008484982
Position 1168: 0.00014004082591042156
Position 232: 0.0001383251830254954
Position 2615: 0.00013811500955459425
Position 2765: 0.0001101368369666927
Position 1655: 9.84235946450969e-05
Position 83: 9.46000470342893e-05
Position 392: 9.11834972982471e-05
Position 2475: 8.960348386657536e-05
Position 1599: 8.780967221215545e-05
Position 598: 8.690087668121024e-05
Position 390: 8.599970850262446e-05
Position 1050: 6.823921960272226e-05
Position 527: 5.3517017122126575e-05
Position 454: 4.474155857903286e-05
