Gene = serp
index = 1869
Annotated 5SS: [ 596 1791 2207]
Annotated 3SS: [1617 1956 5516]
SMsplice 5SS: [ 596 1791 2207]
SMsplice 3SS: [1617 1956 5516]
top_k =  500
Partition function (log Z): 8.629146931229586

Sorted 5' Splice Sites (High to Low Probability):
Position 2207: 0.9984489000271715
Position 1791: 0.9981886305216451
Position 596: 0.9368052828687465
Position 5304: 0.19502525408942165
Position 5237: 0.1117472372603065
Position 785: 0.06862500285628167
Position 2652: 0.04000498084206845
Position 443: 0.03533018498714435
Position 1554: 0.033546801047117915
Position 5458: 0.02501763537376914
Position 855: 0.016164378308316355
Position 375: 0.01395234000932141
Position 1200: 0.013476534341399992
Position 3550: 0.0133788632951835
Position 2563: 0.011549548308310188
Position 5327: 0.010205218208470814
Position 287: 0.005211086351633179
Position 5315: 0.003406279771803192
Position 3217: 0.0024068163787868374
Position 255: 0.0018458280393533334
Position 5213: 0.0013906312373046725
Position 2479: 0.0013591031066880802
Position 5269: 0.001334007523263573
Position 5598: 0.0013120189772082653
Position 1048: 0.0012845235941525454
Position 1780: 0.0012370972143289187
Position 851: 0.0011711399941190111
Position 4252: 0.001052726892235294
Position 2615: 0.0009490252533639727
Position 4846: 0.000909530794498738
Position 1063: 0.0005795093364372631
Position 339: 0.0005111909950300428
Position 426: 0.0004889826037078076
Position 5343: 0.00046932546820230964
Position 6025: 0.0004513254721155431
Position 1539: 0.00044647007061285966
Position 1819: 0.00038047551543202824
Position 3194: 0.00033608293992885905
Position 552: 0.0003320264492581584
Position 1251: 0.00032954126451935074
Position 601: 0.0002930117441120883
Position 3716: 0.00029094981188454357
Position 3475: 0.0002804227370603073
Position 5957: 0.0002612638991496608
Position 351: 0.00024730783297830465
Position 1453: 0.00021310332214923204
Position 809: 0.00020343054270791232
Position 2680: 0.00015249685951526523
Position 3134: 0.00015173082331201385
Position 6665: 0.00013744187640582942
Position 3317: 0.00013510869335752924
Position 844: 0.00013245519381763034
Position 363: 0.00012227094913921872
Position 328: 0.00011997629127780644
Position 1419: 0.00011957395046107965
Position 2671: 0.00011826608883547219
Position 1194: 0.00011734887211723741
Position 188: 0.0001166705861325099
Position 2297: 0.0001027335590577258
Position 1224: 0.00010236965147554997
Position 447: 8.965819254352065e-05
Position 3967: 8.711813258012036e-05
Position 1177: 8.630486312494536e-05
Position 490: 8.322978671273306e-05
Position 1812: 7.983000523416648e-05
Position 3721: 6.776783292756896e-05
Position 559: 6.510540480056929e-05
Position 2309: 6.040364202747091e-05
Position 445: 5.51707322296849e-05
Position 373: 5.396851829221318e-05
Position 2211: 5.0237249302500864e-05
Position 5692: 4.579786758645888e-05
Position 3944: 4.429547158927429e-05
Position 2664: 4.3532213076878965e-05
Position 907: 4.098492033656902e-05
Position 428: 4.085629869014577e-05
Position 2204: 3.9996056959708707e-05
Position 1795: 3.9730923011237856e-05
Position 2251: 3.9133926124579084e-05
Position 940: 3.3744563536658406e-05
Position 1302: 3.280756223795101e-05
Position 1815: 2.958419667846123e-05
Position 1439: 2.9003942107545778e-05
Position 160: 2.7720107473914238e-05
Position 2316: 2.6359557598933063e-05
Position 204: 2.4784531035760072e-05
Position 529: 2.1660455122246066e-05
Position 1413: 2.1184008102914833e-05
Position 1160: 2.0062345222826697e-05
Position 1831: 1.9285082277096844e-05
Position 3252: 1.6791791297671053e-05
Position 3334: 1.4472518589869868e-05
Position 789: 1.4001054944658691e-05
Position 1329: 1.390064802699436e-05
Position 556: 1.3714081939435097e-05
Position 636: 1.2540559955063103e-05
Position 1310: 1.0886638642712236e-05
Position 270: 9.560062924437413e-06
Position 326: 8.577002730667427e-06
Position 31: 8.121948976806156e-06
Position 836: 4.472987854614216e-06
Position 1740: 4.376504342826547e-06
Position 285: 4.01608894307293e-06
Position 902: 3.7968107729416104e-06
Position 1727: 3.6202583058828304e-06
Position 1770: 3.379017639060039e-06
Position 2307: 3.157436536779278e-06
Position 52: 2.505182417348967e-06
Position 2932: 2.3400785649918226e-06
Position 1885: 1.2803710045843353e-06
Position 2691: 1.225761334458346e-06
Position 1730: 1.1425328593274125e-06
Position 2527: 5.529204522849173e-07
Position 891: 5.506006956853921e-07
Position 313: 5.29113148110795e-07
Position 2032: 5.065967688033666e-07
Position 2909: 3.3858275869080397e-07
Position 2952: 2.784845396809127e-07
Position 2068: 1.998647123580329e-07
Position 2525: 1.5111313364131897e-07
Position 11: 1.409630059149726e-07
Position 646: 1.3918951301840523e-07
Position 2580: 1.0767843925278789e-07
Position 492: 8.05592679584033e-08
Position 687: 3.328844743059508e-08
Position 2028: 3.2938880155042184e-08
Position 2046: 2.4787845913108026e-08
Position 2231: 1.772612072218609e-08
Position 1935: 1.735339140919551e-08
Position 639: 1.1746866219207426e-08
Position 568: 8.73740506329669e-09
Position 1703: 7.941068195033904e-09
Position 868: 6.725281859903789e-09
Position 799: 3.650413772704396e-09
Position 1985: 2.191452438753212e-09
Position 2100: 3.1775668970454637e-10
Position 2278: 2.446577727925327e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1956: 0.9978805634344051
Position 1617: 0.987155469117203
Position 5516: 0.9499499655987177
Position 5119: 0.36057487481285083
Position 528: 0.044034852014383064
Position 1459: 0.03501205324208534
Position 2380: 0.031316552443015525
Position 639: 0.018884095150801358
Position 1000: 0.017006106587872428
Position 5437: 0.014805734224239446
Position 731: 0.012841485354869354
Position 5382: 0.008603262910748343
Position 2525: 0.008377334251680295
Position 443: 0.006350600115545171
Position 2798: 0.005970094674626958
Position 2499: 0.005962159849601996
Position 5325: 0.0050788500245069045
Position 2538: 0.004768202691869637
Position 3550: 0.003550517832589787
Position 2387: 0.003246487172559571
Position 1430: 0.003243705997252146
Position 3389: 0.002230589334707725
Position 5062: 0.0019025409823099026
Position 3316: 0.0017694633722089782
Position 949: 0.0017597284815008755
Position 2261: 0.0017419172891694323
Position 2278: 0.001545369802978313
Position 2007: 0.0015149958534247446
Position 2590: 0.0012624736635660678
Position 455: 0.00116516796848626
Position 2999: 0.001025948212796681
Position 1621: 0.0009277939188527868
Position 6816: 0.0008323075495837099
Position 6121: 0.0007943397862756237
Position 1649: 0.0007142962008013008
Position 2807: 0.0006287527292090596
Position 497: 0.0005982751114816041
Position 922: 0.0005700210656285477
Position 6439: 0.0005612291991953328
Position 3342: 0.0004991806476742779
Position 5414: 0.000438315771762654
Position 646: 0.00041758909566756003
Position 2010: 0.00040636220658499933
Position 3036: 0.0003771328878157955
